abstract,date_published,image_link,link,text,title
"Caribou Coffee, Minneapolis, announced the launch of a new coffee blend — Amy’s Blend 2019 — that pays tribute to the company’s first roastmaster, Amy Erickson, celebrating the way she lived and her enduring legacy of leadership, the company says. For 20 years, Caribou has been celebrating the life of Amy, who passed away from breast cancer in 1995, donating a percentage of Amy’s Blend sales to a charitable cause, it adds. This year, Caribou Coffee has partnered with Girls on the Run International for . . .","February 5, 2019",https://www.bevindustry.com/ext/resources/2019/News-Images/Amys_web.png?1549382770,https://www.bevindustry.com/articles/91822-caribou-coffee-celebrates-female-empowerment,"Caribou Coffee, Minneapolis, announced the launch of a new coffee blend — Amy’s Blend 2019 — that pays tribute to the company’s first roastmaster, Amy Erickson, celebrating the way she lived and her enduring legacy of leadership, the company says.

For 20 years, Caribou has been celebrating the life of Amy, who passed away from breast cancer in 1995, donating a percentage of Amy’s Blend sales to a charitable cause, it adds. This year, Caribou Coffee has partnered with Girls on the Run International for Amy’s Blend 2019 to continue to celebrate Amy, also while supporting the next generation of female leaders.

""Amy's Blend has become a signature coffee that our guests look forward to every year, and this year we are also excited to launch a new line of beverages and products that we believe honor Amy's spirit,"" said Jenifer Hagness, vice president of global marketing, product and merchandising at Caribou Coffee, in a statement. ""Amy was vibrant, energetic, and a true leader. Our partnership with Girls on the Run is a way to honor Amy, but also support young girls who will soon lead our coffeehouses, our communities and our world.""

Theresa Miller, chief engagement officer at Girls on the Run, added: ""What a thrill to partner with Caribou Coffee. We're proud to be a part of a promotion that honors Amy, but also focuses on shaping the women of tomorrow to be joyful, healthy and confident.""

Caribou Coffee will donate 10 percent of all sales of Amy’s Blend beans, specialty drinks and merchandise to Girls on the Run. Amy's Blend coffee is available in light and dark roast 10-ounce packages for $9.99 as well as two specialty Caribou Coffee drinks: Pomegranate Acai Tea Latte with coconut milk and Matcha Tea Latte with coconut milk.

Other items like T-shirts and drinkware also are available for purchase through Amy’s Blend Pop Up Shop.",Caribou Coffee celebrates female empowerment
"Although 2018 has come to a close, the readers of Beverage Industry had one more celebration for the calendar year. In Beverage Industry’s annual Readers’ Choice: New Product of the Year poll for 2018, readers selected Stillhouse Black Bourbon as their favorite new product release of the year. With 67 percent of the vote, Stillhouse Black Bourbon is a blend of corn, rye barely and limestone, distilled and barreled in charred new American oak barrels before being charcoal filtered, the company says. The product is . . .","February 5, 2019",https://www.bevindustry.com/ext/resources/2018/New-Products/March/SH_Bourbon_BlackLabel_web.jpg?1523979318,https://www.bevindustry.com/articles/91823-readers-name-their-favorite-new-beverage-of-2018,"Although 2018 has come to a close, the readers of Beverage Industry had one more celebration for the calendar year. In Beverage Industry’s annual Readers’ Choice: New Product of the Year poll for 2018, readers selected Stillhouse Black Bourbon as their favorite new product release of the year.

With 67 percent of the vote, Stillhouse Black Bourbon is a blend of corn, rye barely and limestone, distilled and barreled in charred new American oak barrels before being charcoal filtered, the company says. The product is then rested and mellowed in roasted small-batch coffee beans, the company says. Stillhouse Black Bourbon features a 40 percent alcohol-by-volume content and is packaged in the company’s signature stainless steel 750-ml can.

In second place for New Product of the Year is Boom Boom Energy Drink. Tempire Group, manufactured under a license from Argo Food & Beverage International, introduced Boom Boom Energy Drink, a beverage designed to provide a boost of energy within a few minutes of ingestion for athletes, college students, businessmen and other professionals, the company says. The functional beverage is available nationwide in 250- and 355-ml cans.

Rounding out the No. 3 spot is Sebago Lake Distillery’s (SLD) Barrel Rested Portland Rum. The rum features oaky flavors similar to old bourbon, some spiciness from the rye that formerly inhabited the barrels, as well as the full mouthfeel and caramel goodness similar to a 100 percent pot still rum, the company says. SLD rums are available at select retailers in the New England area.

There are never a shortage of new product releases, so be sure to check back Feb. 12 for the launch of the January Reader’s Choice poll.",Readers name their favorite new beverage of 2018
"Heineken USA, White Plains, N.Y., announced the March relaunch of Newcastle Brown Ale brewed by Lagunitas Brewing Co. The new brew celebrates the Altogether Uncommon by bringing together a unique blend of pale and roasted malts with American hops, the company says. “Lagunitas Brewing Co. is one of the most recognized and respected brewers in the craft beer space,” said Amy Tay, brand director at Heineken USA, in a statement. “Now with Lagunitas in the family, we have the perfect partner to reimagine our beloved . . .","February 8, 2019",https://www.bevindustry.com/ext/resources/2019/News-Images/NewcastleBrownAle_900.jpg?1549650444,https://www.bevindustry.com/articles/91837-newcastle-brown-ale-returns-with-american-influence,"Heineken USA, White Plains, N.Y., announced the March relaunch of Newcastle Brown Ale brewed by Lagunitas Brewing Co. The new brew celebrates the Altogether Uncommon by bringing together a unique blend of pale and roasted malts with American hops, the company says.

“Lagunitas Brewing Co. is one of the most recognized and respected brewers in the craft beer space,” said Amy Tay, brand director at Heineken USA, in a statement. “Now with Lagunitas in the family, we have the perfect partner to reimagine our beloved Newcastle Brown Ale.”

The new liquid is brewed with American Centennial and Chinook hops, fermented using the Lagunitas’ English house ale yeast. The medium-colored brown ale is smooth, crisp slightly roasty and complete with a hoppy twist that is not too sweet and not too bitter, the company says.

""We are not known for malty beers,” said Jeremy Marshall, Lagunitas brew master, in a statement. “We are really honored and excited to re-imagine the new Newcastle Brown Ale using our malts, hops, and yeast for a silky smooth flavorful experience.”

To support the launch along with highly targeted digital outreach, the team is leading with retail sampling, brew tastings at community events and fan influencer engagement.

In addition, a range of point-of-sales and merchandising materials for retail and on-premise accounts will be available to encourage shoppers and on-premise drinkers to try the new brown ale.

“Newcastle Brown Ale is all about our consumers,” Tay added. “With this significant move we are showing these drinkers that, while uncommon, it isn’t impossible to teach an old dog new tricks.”

Newcastle Brown Ale will be produced at Lagunitas’ breweries in Petaluma, Calif., and Chicago. It will be available in 12-ounce can in 6-, 12- and 24-pack bottles; and a 7.75-gallon slim steel keg. The brand will continue to be marketed by Heineken USA and distributed through its network.",Newcastle Brown Ale returns with American influence
"San Diego-based VitaCup, the coffee company that introduced vitamin-infused coffee pods, announced the introduction of its Genius Blend in ground coffee bags. This is the first of the company's ""functional coffees"" to be offered ground in bags for use in drip coffee makers. Genius Blend features MCT oil, turmeric and cinnamon. ""Our customers asked for ground coffee and we listened,"" said Brandon Fishman, founder and chief executive officer for VitaCup, in a statement. ""The response to our 'better for you brews' of functional coffees in pods . . .","February 11, 2019",https://www.bevindustry.com/ext/resources/2019/News-Images/VitaCup_GeniusBlend_900.jpg?1549900301,https://www.bevindustry.com/articles/91840-vitacup-unveils-genius-blend-in-ground-coffee-bags,"San Diego-based VitaCup, the coffee company that introduced vitamin-infused coffee pods, announced the introduction of its Genius Blend in ground coffee bags.

This is the first of the company's ""functional coffees"" to be offered ground in bags for use in drip coffee makers. Genius Blend features MCT oil, turmeric and cinnamon.

""Our customers asked for ground coffee and we listened,"" said Brandon Fishman, founder and chief executive officer for VitaCup, in a statement. ""The response to our 'better for you brews' of functional coffees in pods has been tremendous, but we recognize that many coffee drinkers prefer to brew their own. We want them to enjoy the benefits Genius Blend has to offer too.""

For now, customers only will be able to purchase the new bags of Genius Blend on the company's website, VitaCup.com. In addition to MCT oil, turmeric and cinnamon, Genius Blend is infused with VitaCup's proprietary metabolism and energy boosting ""essential vitamin blend"" of B vitamins (B1, B5, B6, B9, and B12); D3 for immune health; and free-radical neutralizing antioxidants, it says. This medium roast coffee is produced from 100 percent Arabica beans sourced from Mexico and Brazil. The price for a 12-ounce bag of the premium ground coffee is $19.99.

In the next several months, VitaCup will roll out the rest of its functional coffees in bags. Next up is Beauty Blend, which is infused with collagen, biotin (B7), folic acid (B9) and cinnamon; followed by Probiotic Blend to promote gut health; and Slim Blend for balance and metabolism.",VitaCup unveils Genius Blend in ground coffee bags
"As part of the continued innovation from St. Louis-based Anheuser-Busch, the beer-maker launched Ritas, originally marketed as Bud Light Lime Lime-A-Rita, in 2012. Ritas is the first brand in the Anheuser-Busch InBev portfolio to explicitly target women and last year introduced ""The Ritas,"" legendary women who take a ""life's-a-party attitude in every situation,” according to the company. Ritas Spritz is available in White Peach Rosé, Pear Orange Sangria and Strawberry Blueberry Sangria and contain a lower alcohol content, the company says. . . .","February 11, 2019",https://www.bevindustry.com/ext/resources/2019/News-Images/RitasSpritz_900.jpg?1549900591,https://www.bevindustry.com/articles/91841-anheuser-busch-announces-launch-of-ritas-spritz,"As part of the continued innovation from St. Louis-based Anheuser-Busch, the beer-maker launched Ritas, originally marketed as Bud Light Lime Lime-A-Rita, in 2012. Ritas is the first brand in the Anheuser-Busch InBev portfolio to explicitly target women and last year introduced ""The Ritas,"" legendary women who take a ""life's-a-party attitude in every situation,” according to the company.

Ritas Spritz is available in White Peach Rosé, Pear Orange Sangria and Strawberry Blueberry Sangria and contain a lower alcohol content, the company says.

""As a brand, we want to stand for more than just Margaritas,"" said Chelsea Phillips, vice president of Beyond Beer Brands at Anheuser-Busch, in a statement. ""Ritas is about embracing bold individuality and a party attitude. This newest innovation responds to a growing consumer desire for ready-to-drink beverages. With spritz dominating as the consumer beverage of choice, and canned wines on the rise, we felt there was no better time to shake up the status quo with Ritas Spritz.""

Debuting this month, ""The Ritas"" are back. These women believe life's too short not to love what you drink. They've tried new Ritas Spritz (love it!), and they're here to tell the world you don't have to pretend to like wine anymore, the company says.

Produced by Fallon New York, the creative campaign first appeared in broadcast during the Grammys in the brand's top-performing markets. Ritas Spritz will continue to be supported through the year with additional broadcast, print, digital and social media creative.

Ritas Spritz is available at retailers nationwide and online in four-packs of 12-ounce slim cans, 16-ounce single cans, and flavor variety pack of 12-pack of 12-ounce slim cans.",Anheuser-Busch announces launch of Ritas Spritz
"Adult beverages play a huge part in attracting customers and the on-premise channel is vital to an alcohol brand's success, according to Chicago-based Technomic. Technomic's “On-Premise Intelligence Report,” developed with New York-based Beverage Marketing Corporation, examines trends in the on-premise market as consumers' demands for quality, variety and authenticity increase and their flavor preferences shift. The report acts as a guide for on-premise operators and adult beverage brand marketers to better understand consumer attitudes, behaviors and usage, it says. . . .","February 11, 2019",https://www.bevindustry.com/ext/resources/Generic_Images/responsive-images/BeverageNews_DefaultWebImage.jpg?1549903763,https://www.bevindustry.com/articles/91842-report-details-trends-impacting-on-premise-channel,"Adult beverages play a huge part in attracting customers and the on-premise channel is vital to an alcohol brand's success, according to Chicago-based Technomic. Technomic's “On-Premise Intelligence Report,” developed with New York-based Beverage Marketing Corporation, examines trends in the on-premise market as consumers' demands for quality, variety and authenticity increase and their flavor preferences shift.

The report acts as a guide for on-premise operators and adult beverage brand marketers to better understand consumer attitudes, behaviors and usage, it says.

The following are highlights from the report:
• Slow to Grow: Identifying growth brands, categories and sub-segments, as well as targeting key consumer groups and occasions, is crucial as alcohol sales growth continues to lag total food and beverage growth in the channel.
• Margaritas Waning?: With cocktail innovation accelerating, Margaritas face stiff competition for drink menu space from restaurant originals and unique specialty drinks.
• Italian Imports: Challenges remain for wine, but imports from Italy have traction, with Italian wine varietals among the fastest-growing red wines on menus last year and Prosecco also gaining menu placement.
• Properly Briefed Bartenders: Consumers' knowledge of drink selections and quality is expanding along with their expectations of bartenders' expertise.

The report includes channel, category and brand performance metrics, consumer insights and menu trend information developed via primary research. To provide enhanced consumer insights, profiles of Technomic's Drinker Archetyes are included, using psychographic and attitudinal metrics to identify archetypes and deliver insights around motivations.",Report details trends impacting on-premise channel
abstract,date_published,image_link,link,text,title
"Sufferfest Beer Co., San Francisco, will join Sierra Nevada Brewing Co., Chico, Calif., and Mills River, N.C., the breweries announced. Sierra Nevada will acquire 100 percent of Sufferfest, which is the company’s first-ever acquisition. The breweries stated shared values, commitment to innovation, and common goals as the root of the partnership, they add.   “While still in its infancy, Sufferfest is at the front of the wave of ‘functional’ alcoholic beverages,” said Sierra Nevada President and Chief Executive Officer Jeff White, in a statement. “By . . .","February 4, 2019",https://www.bevindustry.com/ext/resources/Generic_Images/responsive-images/BeverageNews_DefaultWebImage.jpg?1549903763,https://www.bevindustry.com/articles/91821-sierra-nevada-brewing-acquires-sufferfest-beer,"Sufferfest Beer Co., San Francisco, will join Sierra Nevada Brewing Co., Chico, Calif., and Mills River, N.C., the breweries announced. Sierra Nevada will acquire 100 percent of Sufferfest, which is the company’s first-ever acquisition. The breweries stated shared values, commitment to innovation, and common goals as the root of the partnership, they add.

 

 “While still in its infancy, Sufferfest is at the front of the wave of ‘functional’ alcoholic beverages,” said Sierra Nevada President and Chief Executive Officer Jeff White, in a statement. “By joining with Sierra Nevada, Sufferfest will be better positioned to grow and continue to lead the way in a rapidly growing and highly competitive space.”

 

 Sufferfest, which launched in 2016, is known for its gluten-removed line of beers like its 95-calorie Kolsch brewed with bee pollen and its FKT (Fastest Known Time) Pale Ale brewed with salt and black currant.

 

 “The complementary nature of our offerings and their position at the cusp of this emerging category are not the only reasons Sufferfest made sense,” White said. “From the moment we met, it was clear that our two companies are deeply aligned in our values and our commitment to do the right thing.”

 

 Sufferfest is a Certified B Corp. and a values-driven company. Founder and Chief Executive Officer Caitlin Landesberg, a long-distance trail runner, started the company with a vision to create the perfect post-sweat beer for herself and fellow sufferers.

 

 “I’ve always craved a beer after a race, but when I couldn’t find a beer that agreed with my dietary and performance needs, it left a genuine void in the post-race social experience,” Landesberg said. “The finish line is where we get to celebrate the ail, anguish and suffering we’ve all been through together. I so wanted to continue to be part of this occasion, but didn’t want to keep compromising on taste or ingredients.”

 

 A homebrewers course in 2012 followed by coursework at UC Davis enlightened her on the microbiology of beer and its many positive attributes. She started her quest to develop a beer by athletes, for athletes, and after years of improvements and sampling her beers among fellow runners, local heroes and professional athletes, Sufferfest Beer Co. was born.

 

 “Sierra Nevada is the perfect fit,” Landesberg said. “If it were any other company, this would not be a consideration for us. Sierra Nevada is a family owned and operated business that isn’t driven by shareholder pressure to meet quarterly numbers. I’ve always been so impressed by their commitment to the communities they serve. They are really driven by their own north star.”

 

 White added: “Sufferfest represents an authentic and genuine platform for us to connect with more and different people. This isn’t something cooked up by an ad agency. Sufferfest is a group of tireless, deeply committed people who love to have fun. In other words, they feel like us.”",Sierra Nevada Brewing acquires Sufferfest Beer
"In anticipation of the Super Bowl, Atlanta-based craft brewery Monday Night Brewing has an important announcement: Don't Call It Hotlanta. ""It's become kind of a joke for people who live in Atlanta,"" Co-founder Joel Iverson said in a statement. ""Everyone here has a friend or relative who calls our city 'Hotlanta.' It's one of those cringe-worthy nicknames that nobody ever uses except out-of-towners. So we brewed this beer as a not-so-subtle way for locals to get the point across.""  Don't Call It Hotlanta is an unfiltered double IPA which features . . .","January 29, 2019",https://www.bevindustry.com/ext/resources/2019/New-Products/Hotlanta_web.png?1548776267,https://www.bevindustry.com/articles/91809-craft-brewer-launches-dont-call-it-hotlanta-double-ipa,"In anticipation of the Super Bowl, Atlanta-based craft brewery Monday Night Brewing has an important announcement: Don't Call It Hotlanta.

""It's become kind of a joke for people who live in Atlanta,"" Co-founder Joel Iverson said in a statement. ""Everyone here has a friend or relative who calls our city 'Hotlanta.' It's one of those cringe-worthy nicknames that nobody ever uses except out-of-towners. So we brewed this beer as a not-so-subtle way for locals to get the point across.""

Don't Call It Hotlanta is an unfiltered double IPA which features tropical notes on the nose, drinks dank, and finishes with a bit of bitterness, the company says. Checking in at 8.5 percent alcohol by volume, the brew is dry hopped four times with Columbus, Citra and Galaxy hops. This beer pairs well with grilled meats, chicken wings, an afternoon in Piedmont Park, and your couch after a 90-minute long commute, according to the craft brewer.

Don't Call It Hotlanta is available for a limited time on draft and in cans for to-go purchase at Monday Night Brewing's West Midtown location. The beer also will be on tap and in cans at select retailers in Monday Night Brewing's distribution areas.",Craft brewer launches Don’t Call It Hotlanta Double IPA
"The Washington, D.C.-based Beer Institute released the results of its latest survey, finding 76 percent of Americans celebrating the Super Bowl this year plan to drink beer as part of their festivities. Additionally, the poll found 78 percent of those planning to enjoy beer while taking part in Super Bowl activities said it was an important part of the experience, with half of those respondents saying beer was very important to their Super Bowl celebration. “Across the country, men and women will take a few . . .","January 30, 2019",https://www.bevindustry.com/ext/resources/Generic_Images/responsive-images/BeverageNews_DefaultWebImage.jpg?1549903763,https://www.bevindustry.com/articles/91812-poll-finds-76-of-american-watching-super-bowl-plan-to-drink-beer,"The Washington, D.C.-based Beer Institute released the results of its latest survey, finding 76 percent of Americans celebrating the Super Bowl this year plan to drink beer as part of their festivities.

Additionally, the poll found 78 percent of those planning to enjoy beer while taking part in Super Bowl activities said it was an important part of the experience, with half of those respondents saying beer was very important to their Super Bowl celebration.

“Across the country, men and women will take a few hours this Sunday to enjoy good friends, good food, good football, and of course good beer,” said Jim McGreevy, president and chief executive officer of the Beer Institute, in a statement. “Our nation’s more than 5,600 brewers and beer importers are proud to be part of Super Bowl Sunday, and they have poured their talent and dedication into making sure each celebrant has the right beer for Sunday’s game and future occasions throughout the year.”

The nationwide survey, by Quadrant Strategies, was conducted from Jan. 21 to Jan. 25 on behalf of the Beer Institute. The survey was conducted online to 1,175 American adults age 21 years old and older. The survey features a margin of error of plus or minus 2.86 percentage points.",Poll finds 76% of Americans watching Super Bowl plan to drink beer
