abstract,date_published,image_link,link,text,title
"– Those yearning for an early taste of spring are in for a real-brewed delight. Pure Leaf announced today the launch of Pure Leaf Herbal Iced Teas, a new line of premium iced teas that are caffeine free, have no artificial sweeteners and are brewed with real hibiscus flowers. Leave it to the Pure Leaf tea masters to develop this unique, flavor forward blend that is also trend setting. In fact, hibiscus was recently named 2019 “Flavor of the Year” by flavor experts at Firmenich.",2019-02-8,https://dg6qn11ynnp6a.cloudfront.net/wp-content/uploads/2019/02/08143840/76a9d38598b183d39b94.jpg,https://www.bevnet.com/news/2019/pure-leaf-announces-herbal-iced-tea-line,"PURCHASE, N.Y.– Those yearning for an early taste of spring are in for a real-brewed delight. Pure Leaf announced today the launch of Pure Leaf Herbal Iced Teas, a new line of premium iced teas that are caffeine free, have no artificial sweeteners and are brewed with real hibiscus flowers. Leave it to the Pure Leaf tea masters to develop this unique, flavor forward blend that is also trend setting. In fact, hibiscus was recently named 2019 “Flavor of the Year” by flavor experts at Firmenich.

With its vibrant color and petals, the Insta-worthy hibiscus flower has been popping up in fashion, food, beauty and now, bottled iced tea. Hibiscus is in full bloom with Pure Leaf’s newest line up that looks as good as it tastes.

Pure Leaf Herbal Iced Teas are already hitting store shelves in three delicious varieties: Mango Hibiscus, Peach Hibiscus and Cherry Hibiscus. Made from real-brewed herbal hibiscus tea, real sugar and natural fruit flavors, Pure Leaf Herbal Iced Teas contain 100-110 calories per serving and add a distinct taste experience to the existing Pure Leaf collection of premium iced teas.

“We’re excited to bring real-brewed hibiscus iced tea to all of the places you buy your favorite beverage,” said Amy Tran, Pure Leaf Tea master. “We’ve listened to feedback from our iced tea lovers, who shared that they love the quality and real-brewed taste that’s synonymous with Pure Leaf, but also wanted a naturally caffeine-free option that can be enjoyed anywhere, anytime.”

Pure Leaf Herbal Iced Tea is available now at retailers nationwide and on e-commerce for a suggested retail price of approximately $1.99 for an 18.5 oz. single-serve bottle. Multi-packs of Mango Hibiscus are available for a suggested retail price of $6.29, which includes six 16.9 oz. bottles. There is also a large 59 oz. Hibiscus Lemonade and Mango Hibiscus bottle available in the chilled section of your retailer that is perfect to share with friends and family.

Pure Leaf is also introducing a new flavor to the Tea House Collection – Organic Hibiscus Tea Passionfruit & Pineapple, at just 70 calories per serving. It is available nationwide in a 14 oz. single-serve glass bottle for a suggested retail price of $2.59. The launch will be supported with a new advertising campaign featuring print ads and a new TV commercial which is airing now.

For more information, visit pureleaf.com and find us on Facebook, Instagram and Twitter @pureleaf.",Pure Leaf Announces Herbal Iced Tea Line
"– Zaya Gran Reserva Rum of Trinidad and Tobago, imported by Infinium Spirits, has announced the release of a newly-designed bottle with a revised age statement, which is now included on the label.",2019-02-8,https://dg6qn11ynnp6a.cloudfront.net/wp-content/uploads/2019/02/08142557/H4YDBBQZ-79x320.png,https://www.bevnet.com/news/spirits/2019/zaya-gran-reserva-rum-relaunches-with-new-package-and-age-statement/,"ALISA VIEJO, Calif.– Zaya Gran Reserva Rum of Trinidad and Tobago, imported by Infinium Spirits, has announced the release of a newly-designed bottle with a revised age statement, which is now included on the label.

Zaya Gran Reserva, the number one ultra-premium rum (Nielsen, Nov. 3, 2018), is comprised of a blend of rare rums aged up to 16 years, carefully selected by the Zaya master blender to achieve a delicate balance and unique profile. On the palate, Zaya offers rich notes of vanilla, caramel, cocoa, apple, banana and cherry and gives way to a heavy, velvety smooth finish.

The new Zaya Gran Reserva Rum bottle pays homage to Trinidad and Tobago, also known as the “Land of the Hummingbird,” by including this phrase and a golden hummingbird on a medallion imprinted in the glass between the neck and the label. Golden hummingbirds can also be found alongside imagery of the country’s national flower, the chaconia, on the bottle’s new teal neck. Mirroring the teal neck are teal accents on the medallion and label, as reference to the tropical waters surrounding the island.

Now in a slimmer, sleeker glass bottle, Zaya also features a longer neck for ease of pouring and a cork closure on top. This rum is ideal for sipping on its own or mixing in tiki-style cocktails.

The new Zaya Gran Reserva Rum (40 percent ABV) is now available for a suggested retail price of $29.99 at select retailers nationwide and through online retailers including ShopWineDirect. For more information on Zaya Rum, please visit infiniumspirits.com/brands/zaya/.",Zaya Gran Reserva Rum Relaunches With New Package And Age Statement
"The announcement comes on the heels of an unprecedented expansion year, with DeLeón achieving double digit sales growth in the last 12 months. The liquid joins DeLeón Platinum, Reposado, Diamante, Extra Añejo and Leona, expanding the top-selling super-premium and luxury tequila lines. The newest variant hits the shelves of top hot spots nationwide this month.",2019-02-11,https://dg6qn11ynnp6a.cloudfront.net/wp-content/uploads/2019/02/08172533/741ac450dc2bc51c9c9c-448x320.jpg,https://www.bevnet.com/news/spirits/2019/deleon-tequila-launches-anejo-reserve/,"The announcement comes on the heels of an unprecedented expansion year, with DeLeón achieving double digit sales growth in the last 12 months. The liquid joins DeLeón Platinum, Reposado, Diamante, Extra Añejo and Leona, expanding the top-selling super-premium and luxury tequila lines. The newest variant hits the shelves of top hot spots nationwide this month.

Under the precise guidance of our master distiller Miguel Cedeño Cruz, DeLeón Añejo defies the conventions of the category to establish the next level in Tequila. This full-bodied Tequila is made from our finest 100 percent Highland Blue Weber agave sourced from the rich earth of the Los Altos region of Jalisco, each plant is hand-selected at harvest for ripeness to deliver the sweetest piñas. Once selected, the agave is slow roasted in uniform pieces in traditional brick and clay ovens. Combined with slow fermentation, the liquid develops rich depth and complexity, creating a remarkably nuanced character.

With relentless attention to detail our master distiller artfully cuts the beginning and end of the distillation, allowing only the absolute best portion, or Corazon, to find its way into every bottle. The liquid is artfully aged first in bold American oak barrels and finished in French wine casks to impart a distinctive, balanced character, taking the final product to the next level. The result is a full-bodied tequila with notes of rich vanilla, caramel, sweet oak and subtle dried fruit.",DeLeón Tequila Launches Añejo Reserve
"— Ghost Beverage, Inc. secured a distribution deal in the state of New York with Master Beverages. The deal will take Ghost products in to over 5,700 retail locations throughout New York state, with many the locations concentrated in New York City. The people behind Master Beverages were behind the rapid expansion of Vitamin Water, Arizona Tea and several other brands in their region. They were a key distributor in the metro area for Vitamin Water before their $4.1 billion-dollar buyout from Coca-Cola in 2007.",2019-02-11,https://dg6qn11ynnp6a.cloudfront.net/wp-content/uploads/2019/02/11102817/527120774.full_.ghost_.logo_.with_.white_.bg_.no_.casper-480x265.png,https://www.bevnet.com/news/2019/ghost-beverage-secures-new-york-distribution-with-master-beverages,"LOS ANGELES— Ghost Beverage, Inc. secured a distribution deal in the state of New York with Master Beverages. The deal will take Ghost products in to over 5,700 retail locations throughout New York state, with many the locations concentrated in New York City. The people behind Master Beverages were behind the rapid expansion of Vitamin Water, Arizona Tea and several other brands in their region. They were a key distributor in the metro area for Vitamin Water before their $4.1 billion-dollar buyout from Coca-Cola in 2007.

In addition to the physical distribution, Ghost Beverage through their entertainment network (GTV), is partnering with Master Beverages and My Jam Network founder David Zucker for the launch of MyHemp TV. This new network follows in the foot steps of the Home Shopping Network and QVC, but instead selling exclusively cannabis-based products.

Aleksandr Veyg, vice president of Master Beverages said, “We have been in talks with Ryan about his Ghost Beverages brand for some time now. We knew we’d be working together because Ryan meant business. We appreciate his motivation, his energy, and his willingness to do whatever it takes to build a brand. As someone with beverage and marketing experiences, we knew it would be a good fit to work with the Ghost team to see how we can build on our synergy.”

The Ghost Founder and CEO Ryan Carter had this to say about the news, “We built Ghost because we believe in helping people and healing the world. This deal will take us in to a key metropolitan market that will yield rapid growth.”

Ghost Beverage is a wellness brand producing tasty, natural and refreshing functional beverages that are enriched with the right amount of vitamins and other functional ingredients to allow the consumer to overcome the day-to-day challenges of a busy work life, both from physical & cognitive perspectives. Our aim is to help our consumers embrace life with performance and happiness: make every day better, easier and more productive by changing the way people think and drink.",Ghost Beverage Secures New York Distribution With Master Beverages
Cannabidiol (CBD) retailer Ceres Natural Remedies announced on Tuesday it has acquired maple water maker Tretap for an undisclosed sum.,2019-02-7,https://dg6qn11ynnp6a.cloudfront.net/wp-content/uploads/2019/02/08164654/ceres-update_full-width_2.jpg,https://www.bevnet.com/news/2019/ceres-natural-products-acquires-tretap,"Cannabidiol (CBD) retailer Ceres Natural Remedies announced on Tuesday it has acquired maple water maker Tretap for an undisclosed sum.

Speaking with BevNET, Ceres executive director Shayne Lynn said the two Vermont-based companies came together last year when Tretap began exploring the CBD beverage space. Ceres, which has multiple retail locations throughout Vermont, is vertically integrated with medical cannabis cultivator and dispensary Southern Vermont Wellness. According to Lynn, the company produces several of its own CBD products under the Ceres brand name, including oils and edibles, but did not previously have a beverage in its portfolio.

Working with Tretap founder and president Aaron Harris, Ceres will launch a line of sparkling CBD-infused maple waters under the Tretap name. The of four SKUs is set to launch later this month, with additional varieties planned to launch this summer.

“We really have a nice brand of products now, and this drink category fits with the other products we’re developing under Ceres, so it’s going to be a really nice package altogether,” Lynn said. “One of the most exciting things about going out on the road, talking to people and saying hey we have this suitcase of products all under one brand and we’re looking for Tretap to really be the anchor for all those other products.”

Harris told BevNET his focus is to grow distribution for both Tretap, available throughout New England, and Ceres branded products, which are currently available in Vermont. While the space for tree-sourced waters, such as maple or birch, is still nascent, Harris said CBD is an extra selling point for many distributors and retailers, with multiple buyers expressing interest in carrying Tretap’s original and CBD-infused products.

The company is also exploring launching additional CBD-infused maple products under the Tretap banner, Harris said, but there are no immediate plans for non-beverage lines.

“We don’t have any short-term plans but there’s been a lot of discussion about how do we extend the brand,” Harris said. “It’s definitely something we’re thinking about right now but we have a lot going on just with our existing portfolio at Tretap and our existing portfolio at Ceres that we’re really excited to bring to market.”

The announcement of the acquisition comes just days after state and city officials in Maine and New York began crackdowns on businesses selling CBD food and beverage products. Lynn said Ceres works closely with the Vermont Departments of Health and Agriculture and is in frequent contact with regulator to ensure the company is following all legal requirements.

“We’re really looking for our agriculture department to come forward, confirm their program with the USDA and say they meet all the standards in the Farm Bill and that’s going to take some time, but we’re confident in the short term that we’re following all the rules and regulations here in the state of Vermont.” Lynn said. “It can be a little bit of a dance when you have this whole new industry is coming about. But I think we have the experience to handle that.”",Ceres Natural Remedies Acquires Tretap
"A lot of people think that Terrell Davis’ NFL career ended too soon, forced out by knee injuries after just eight years. They were unquestionably great ones, as he was elected to the league’s Hall of Fame.",2019-02-8,https://dg6qn11ynnp6a.cloudfront.net/wp-content/uploads/2019/02/07164032/DEFY_Full-Width_1.jpg,https://www.bevnet.com/news/2019/cbd-sports-wellness-beverages-emerge-as-possible-new-category,"A lot of people think that Terrell Davis’ NFL career ended too soon, forced out by knee injuries after just eight years. They were unquestionably great ones, as he was elected to the league’s Hall of Fame.

But chronic pain followed him into retirement. After using prescription medication for some time, he feared that long-term use could damage his kidneys and decided to seek an all-natural pain reliever. When Davis tried CBD — cannabidiol, the non-psychoactive cannabis derivative — he claimed it transformed his body; not only did his joints feel looser but, after struggling with migraines since childhood, he said he has not experienced any in over a year.

Now Davis is the co-founder of Defy, a CBD-infused sports drink set to launch in three flavors this spring.

“It just was a real eye-opener to me how it affected my body,” said Davis. “I was like ‘Wow, we’ve got to do something with this. We’ve got to be able to share this with other people who were like me, who didn’t know it was so effective.’’”

Davis isn’t the only athlete-turned-entrepreneur in a sharing mood.

CBD seems to be the functional ingredient of the moment, with new infused beverages — from kombuchas to seltzers to millennial-aimed elixirs — popping up with increasing frequency, especially since the 2018 Farm Bill legalized industrial hemp. Sports drinks are emerging as one of the main established categories facing disruption by the new ingredient, as a new wave of brands aims to expand the sports drink category and its ability to deliver a range of physical and mental benefits to athletes, and amateurs and pros are getting into the game.

Take Jim Bailey, the CEO of OKI, an active hemp extract water, fruit water and iced tea brand launching this spring. He created the company after he was hit by a car while riding his bike. Recovering after surgery, he sought out a natural pain reliever rather than continuing to take prescribed opiates from his surgeon, and found that active hemp extract — which contains CBD — helped him bounce back quickly.

Bailey said since entering this beverage space, he has noticed a building anticipation surrounding such products, comparing this hype to his experience working on the team that launched Red Bull in Canada. “The demand for it is like nothing I’ve ever seen,” he said. According to Bloomberg, analysts at market research group Canaccord Genuity expect the CBD-infused beverage market to reach $260 million by 2022.

Defy co-founder and CEO Beau Wehrle similarly emphasized the product’s potential use as a natural treatment for injuries.

“A lot of the alternatives aren’t a solution, they’re a Band-Aid that might temporarily fix the problem,” said Wehrle. “On the flip side, there are consequences that could impair your health or even worse.”

One of Defy’s primary goals, Davis noted, is to provide an alternative to treating chronic pain and anxiety with addictive painkillers, helping to fight the opioid abuse problem in sports. According to a study by the Washington University School of Medicine in St. Louis, retired NFL players use painkillers four times more than the general population, with 71 percent of these players meeting the criteria for opioid misuse.

“I’m really looking and envisioning that there’s a time when CBD becomes the solution to what they’re already doing right now in professional sports,” Davis said.

Aethics, which markets H20 Balance: CBD Water for Sports, was founded with a similar goal in mind. Co-founders Glenn Dooley and Brad Wyatt, both athletes and coaches, launched the brand in January after noticing a void in the sports wellness space and exploring CBD’s potential as a pain management alternative to prescription and over-the-counter medication.

“We saw a natural solution to address many of the issues that those medications were intended to resolve,” said Aethics general manager Matt Olenski. “And that’s a big part of why individuals gravitate to CBD products.”

While this nascent category may be generating buzz, hemp-derived sports beverages still remain a fairly new concept for consumers and uncharted territory for companies, and these brands face challenges in the marketplace both in ensuring the quality of their products and educating consumers about how CBD’s effects differ from those of THC.

According to Bailey, OKI purposely did not put CBD in their product due to advice they received from Hoban Law Group, a Denver-based cannabis business law firm. In order to be “compliant with the FDA,” it instead uses active hemp extract, which Bailey claimed to be the “exact same thing.” However, in researching CPG consumer data, it found that public awareness for hemp was even less than that of CBD. He said that the first question people often ask him is if OKI provides a euphoric effect.

“I tell people this feeling of balance, of centeredness, both physically and emotionally,” he said.

For Aethics, the solution to the lack of consumer knowledge is transparency. Aethics gets its name from a fusion of the words “athletics” and “ethics,” with the ethics portion stemming from the company being what Olenski describes as “seed-to-sale.” Five years ago, the company launched Strasburg Pharms, where they grow organic, chemical- and pesticide-free industrial hemp, allowing them to control creation and delivery of their products.

Defy’s founders were also concerned with delivering a quality, THC-free product. “The delta of what I would consider bad CBD and great CBD is exponential,” said Wehrle. “We did extensive due diligence and met with hundreds and hundreds of people to finally find the right partner who can actually deliver what they’ve promised.”

Despite rising interest in CBD’s athletic applications, the NFL, like most other professional sports leagues, has not changed its policies banning athletes from using CBD, despite the World Anti-Doping Association having removed it from its list of banned substances in 2017. However, a few leagues and sports figures have worked to push the ball forward. In June of 2018, the BIG3 basketball league became the first professional sports league in the country to allow its players to use CBD.

Besides Davis, the hemp and cannabis industries have also attracted other influential ex-sports stars as entrepreneurs. Joe Montana, the iconic former San Francisco 49ers quarterback, recently participated in a $75 million investment in California-based cannabis company Caliva, while former undisputed heavyweight champion Mike Tyson, who is also a partner in a “cannabis ranch” compound in California, briefly entered the CBD sports beverage space with the hemp-infused flavored water TKO Powered By Tyson.

A possible obstacle to sports leagues’ — and many consumers’ — widespread acceptance of CBD is the lack of scientific research available regarding its health benefits, which has forced brands to conduct their own research to determine the amount of CBD or active hemp extract they deemed an effective dosage for athletes.

“Based upon our research with a number of scientific partners, we’ve identified 20 mg of CBD as the ideal dosage for our beverage due to its anti-inflammation properties for this audience,” said Defy COO Megan Bushell in an email.

After initially settling on a 10 mg dose, OKI later also determined 20 mg of hemp extract would be the most effective amount for its products after conducting consumer research and consulting a doctor on its advisory board.

According to Olenski, the Aethics team arrived at 12 mg of CBD for their water after testing on an audience and themselves. The CBD water even has a dosage on the bottle tracker to provide reference for consumers. For Aethics, taste was also of concern when determining the amount of CBD to use in its unflavored infused water.

“There is a balance between how much CBD you can include in the water relative to the water’s taste and odor, so you want to find that balance between a really clear crisp flavor, especially in a clear water, and the amount of CBD included in the water,” Olensky said.

Wehrle and Bailey both claimed that Defy and OKI are suitable for both pre- and post-workout hydration, while Olensky stated that consumers mostly use its CBD water product for post-workout recovery.

Though these hemp-derived products were formulated to aid athletic performance and recovery, the companies have also expressed interest in proving CBD’s other functional benefits. Olenski noted that, in addition to inflammation and pain relief, benefits of Aethics products include relief from anxiety and insomnia. The brand also sells non-beverage products such as CBD Muscle Rescue Lotion. After the release of its flagship sports drink, Defy plans to release a lifestyle beverage containing less CBD that is focused on “defying your everyday” and “performing in life,” according to Wehrle. OKI plans to lean into an “aspirational lifestyle” aesthetic, Bailey said, with “vibrant” and “playful” marketing campaigns that still focus on educating consumers on the benefits of using active hemp extract.

With Aethics on the market for only a few weeks, and Defy and OKI’s launches coming this spring, it has yet to be seen how the emerging category of sports wellness products will be received by its audience.

Terrell Davis, however, is confident in the potential for CBD. “It is the most transformative ingredient in the last decade.”",CBD Sports Wellness Beverages Emerge as Possible New Category
".– Red Bull is answering the question to “You’re a peach, who’s your pear?” in advance of Valentine’s Day and Galentine’s Day, with the launch of the perfect “pearing” — The Red Bull Peach Edition offering the Wings of Red Bull with the taste of peach-nectarine and The Red Bull Pear Edition Sugarfree offering the taste of sugarfree crisp pear.",2019-02-8,https://dg6qn11ynnp6a.cloudfront.net/wp-content/uploads/2019/02/08095842/51640185_10161783041210352_7033837867298193408_o-447x320.jpg,https://www.bevnet.com/news/2019/red-bull-expands-editions-line,"SANTA MONICA, Calif.– Red Bull is answering the question to “You’re a peach, who’s your pear?” in advance of Valentine’s Day and Galentine’s Day, with the launch of the perfect “pearing” — The Red Bull Peach Edition offering the Wings of Red Bull with the taste of peach-nectarine and The Red Bull Pear Edition Sugarfree offering the taste of sugarfree crisp pear.

Winning over new and existing consumers since 2013, the Red Bull Editions stand for taste and choice. The line offers a delicious taste option for every palate whether new to the energy drink category, or currently enjoying Red Bull while working, studying, traveling, working out or juggling the daily demands of life.

The introduction of The Red Bull Pear Edition Sugarfree, which joins with The Red Bull Lime Edition Sugarfree and The Red Bull Purple Edition Sugarfree (açaí berry), offers consumers an additional choice when looking for variety and sugar-free offerings.

The Red Bull Editions line also includes The Red Bull Red (cranberry), Blue (blueberry), Yellow (tropical), Orange (tangerine), Green (kiwi apple), Coconut (coconut and berry) and now Peach (peach-nectarine) Edition.

The new products will be available nationwide in 12 oz. single serve cans.

Red Bull is available in 170 countries worldwide and more than six billion cans were consumed last year, two billion of those in the U.S. alone. The caffeine concentration is consistent across the entire portfolio of Red Bull Energy Drink products: 80 mg of caffeine in an 8.4 oz. can and 114 mg in a 12 oz. can — about the same as a similarly sized home-brewed coffee. For more information, visit energydrinkus.redbull.com.",Red Bull Expands Editions Line
"— The first of its kind hybrid has hit the beverage industry. PathWater has combined a reusable bottle with purified reverse osmosis water. Visionary Vernon Davis sees this sustainability model as the future for bottled water. After years of witnessing single-use plastics plague the NFL, Davis is taking a stand to educate his fellow teammates on a better path for the league.",2019-02-7,https://dg6qn11ynnp6a.cloudfront.net/wp-content/uploads/2019/02/07170048/40143816_2144052369211137_6908750277696815104_n-320x320.jpg,https://www.bevnet.com/news/2019/super-bowl-champion-vernon-davis-invests-in-pathwater,"FREMONT, Calif.— The first of its kind hybrid has hit the beverage industry. PathWater has combined a reusable bottle with purified reverse osmosis water. Visionary Vernon Davis sees this sustainability model as the future for bottled water. After years of witnessing single-use plastics plague the NFL, Davis is taking a stand to educate his fellow teammates on a better path for the league.

“We (athletes) have a huge responsibility. We are looked at as leaders in our community and within our fan base. If we can use that influence to encourage our fans to make greener choices we can be the catalyst for great change,” said Davis.

As the current tight end for the Washington Redskins, Davis has joined yet another winning team, PathWater. After meeting the founders, Vernon quickly aligned with the mission and became part of a growing movement of sustainable investing. “I think they (single-use plastic water bottles) are a tremendous waste,” said Davis. “After meeting with PathWater and learning more about how the tremendous amounts of plastic we dispose of daily destroy our oceans, it upset me.”

Davis has charged forward with the purpose to end single-use plastic waste on football fields and school campuses across the U.S. Visiting schools and speaking at rallies, Davis is using his influence to educate youth about the harms of single-use plastic water bottles and the solution, a movement for reusability. In a recent visit to Sequoia High School, he encouraged students to BAN single-use plastic water bottles at their campus by signing this petition.

PathWater and Davis believe it is important for youth to know what single-use plastic is made of and how destructive it has become to ocean life and human health. Davis, a father of three, said, “You know when you become a parent, you start thinking about the next 100 years rather than the next 40 or 50, which makes up your estimated lifespan. You think about the future of your kids and their kids. It gives me an even greater sense of responsibility to do what I can to leave this earth better than it was when I was born.”

PathWater is the new hybrid, combining the best in purified water with a BPA-free, infinitely reusable bottle. The PathWater bottle is solving the dilemma of single-use plastic bottles by creating a superior option that is environmentally friendly. When taken from the refrigerator section, the bottle makes for an extremely cold drinking experience, unmatched by plastic water bottles. PathWater is on a dedicated mission to provide solutions to the plastics crisis for bottled water consumers and to disrupt the beverage industry as a whole. PathWater’s three main goals are: to provide a sustainable option to reduce and reuse; to educate others about the plastics crisis; and to change a stagnant, polluting industry of single-use plastics. PathWater is the first in the beverage industry to offer reusable packaging bottled water that finally puts people and the planet before profits. For more information, visit drinkpathwater.com.",Super Bowl Champion Vernon Davis Invests in PathWater
"– M.S. Walker, a New England-based national importer and distributor of fine wines and spirits, has launched Garnish Island Gin in the U.S. Market. This small batch gin is crafted at West Cork Distillers in Skibbereen, Ireland by Deirdra Bohane, Ireland’s only female Master Gin Distiller.",2019-02-8,https://dg6qn11ynnp6a.cloudfront.net/wp-content/uploads/2019/02/08133329/a126081f7f9ea4e2060a.jpg,https://www.bevnet.com/news/spirits/2019/m-s-walker-introduces-garnish-island-gin-to-u-s-market/,"BOSTON– M.S. Walker, a New England-based national importer and distributor of fine wines and spirits, has launched Garnish Island Gin in the U.S. Market. This small batch gin is crafted at West Cork Distillers in Skibbereen, Ireland by Deirdra Bohane, Ireland’s only female Master Gin Distiller.

The team at West Cork Distillers hand-built a custom copper pot still exclusively for the production of Garnish Island Gin. The gin, itself, is inspired by the Italian Botanical Gardens of Garnish Island, located off the southern coast of Ireland. The botanicals have been carefully selected to create a classic Gin that exhibits light floral notes of hibiscus, iris and rose matching beautifully with rosemary and thyme. This is complimented by luscious hints of dark chocolate and strawberry. This exotic Gin has a soft lingering glow on the finish.

Garnish Island Gin is now available with a retail price of $26.99 for a 750ml.

Founded in 1933, M.S. Walker, Inc. is a New England-based national importer and distributor of fine wines and spirits, serving both national and international brands. Based in Massachusetts, the company acts as an Agency Importer of select national spirit brands and several wine brands from around the world, in addition to manufacturing its own brands in Boston, Massachusetts.

Founded by John O’Connell, Denis McCarthy and Ger McCarthy in 2003, West Cork Distillers has become a recognized leader in innovation, distilling and bottling. With a careful eye for detail, West Cork Distillers uses only pot stills in all their whiskey distillation and only fresh, local spring water. It is the only Irish distillery to malt its own barley and embraces artisan techniques.",M.S. Walker Introduces Garnish Island Gin to U.S. Market
"Intrepid Spirits has announced a move of its import operations to LeVecke Corporation effective Feb. 1, 2019. This new partnership will help strengthen markets where Intrepid already has a foothold, while expanding distribution to other cities and states. In addition to strengthening the distributor network via LeVecke, Intrepid has also broadened its in-house sales force and marketing department.",2019-02-8,https://dg6qn11ynnp6a.cloudfront.net/wp-content/uploads/2019/02/08134015/335758601.intrepid.spirits.portfolio.lineup-453x320.jpg,https://www.bevnet.com/news/spirits/2019/intrepid-spirits-levecke-corporation-announce-u-s-import-partnership/,"SAN FRANCISCO— Intrepid Spirits has announced a move of its import operations to LeVecke Corporation effective Feb. 1, 2019. This new partnership will help strengthen markets where Intrepid already has a foothold, while expanding distribution to other cities and states. In addition to strengthening the distributor network via LeVecke, Intrepid has also broadened its in-house sales force and marketing department.

“LeVecke has deep, long standing relationships with key distributors around the United States, relationships that will strengthen the availability and visibility of our brands in key markets and channels,” commented John Ralph, CEO of Intrepid Spirits. “With their experienced leadership and our expanded in-house team committed to the growth of our brands, we couldn’t ask for a better strategic partner to support the Intrepid portfolio.”

Intrepid Spirits is an Irish-based company with offices across the world. The portfolio of independent, artfully crafted brands consists of: Cocalero, a unique botanical spirit with Bolivian roots; Egan’s Irish Whiskey, a multi-generational company producing exceptional single malt and single grain Irish whiskies; and Mad March Hare, a highly-awarded premium Irish Poitín. All brands will now be imported by LeVecke and sold through its distribution partners across the U.S.

“We’re thrilled to welcome Intrepid Spirits into the LeVecke family of brands,” remarked Neil LeVecke, CEO of LeVecke Corporation. “We strive to align ourselves with storied brands who share our values of culture and innovation, and are honored to have John Ralph and the entire team at Intrepid as part of our community.”

To further support the company’s expansion in the United States, Intrepid has invested in the growth of its sales and marketing team. At the helm is National Sales Manager Chad Wiltgen, a veteran of the beverage alcohol industry and a former director of sales for Cooper Spirits Company, where he played a vital role in the growth of St. Germain liqueur. Reporting to Chad is Bradley Skolnick, regional manager, East and Paul Platenik, Regional Manager Central. In conjunction with on-the-ground support, Intrepid has also added to its marketing capability, adding former Gruppo Campari and Treasury Wine Estates executive Andrew Floor to the team in an advisory role.

Intrepid Spirits has a global distribution network with offices in Dublin, San Francisco, Chicago, Medellin and Shanghai. The independently owned company is committed to bringing innovative and resurgent brands to the marketplace. Its present portfolio consists of Egan’s Irish Whiskey, Mad March Hare Premium Irish Poitín and Cocalero. For more information, please visit intrepid-spirits.com.","Intrepid Spirits, LeVecke Corporation Announce U.S. Import Partnership"
