abstract,date_published,image_link,link,text,title
According to a ,15 June 2018,http://www.qlzn6i1l.com/115077.png,http://www.britishsoftdrinks.com/Press-releases-/Page-1/we-all-have-a-role-to-play-in-helping-to-tackle-childhood-obesity-,"According to a 
recent survey
 by Public Health England (PHE), children will have consumed more than double the maximum recommendation for sugar by the end of the year. 
Gavin Partington, Director General at British Soft Drinks Association, said:
“The soft drinks industry recognises it has a role to play in helping to tackle obesity which is why we have led the way in calorie and sugar reduction.
“Our efforts are reflected in the Government’s own 
NDNS data
 – published 
earlier this year
 – which shows that sugar intake from soft drinks is down 15% in 4-10-year-olds and 11% in 11-18-year-olds since 2012.
“We are the only category on track to achieving PHE’s calorie-reduction target of 20% by 2020. We hope our actions on sugar reduction, portion size and promotion of low and no calorie products set an example for the wider food sector.”
According to PHE’s 
Sugar Reduction Progress Report
 – published 
last month
 - sugar intake from soft drinks decreased by almost five times as much as other categories.
Similar reports from Food Standards Scotland claim that the decline in sugar from soft drinks has been offset by increases in sugar from other foods. This is underpinned by data from Kantar Worldpanel, which states whilst sugar intake from soft drinks has decreased by 18.7%, it has increased in frozen confectionery (+8.7%), take-home confectionery (+2.3%), and biscuits (+1.4%) since 2013.",We all have a role to play in helping tackle childhood obesity 
There is currently a shortage of carbon dioxide in Northern Europe due to the closure of several CO,20 June 2018,http://www.qlzn6i1l.com/115077.png,http://www.britishsoftdrinks.com/Press-releases-/Page-1/industry-responds-to-carbon-dioxide-shortage-,"There is currently a shortage of carbon dioxide in Northern Europe due to the closure of several CO
2
 production sites, for various reasons including maintenance and refurbishment.
Gavin Partington, Director General at British Soft Drinks Association, responded to the situation:
He said: “The shortage of CO2 across Northern Europe is impacting a wide range of businesses across the food and drink sector.
“Soft drinks producers in the UK are taking active steps to maintain their service to customers including working with their suppliers to mitigate the impact as well as looking at alternative sources.”",Industry responds to carbon dioxide shortage 
The government's Science and Technology Committee has concluded there is not enough scientific evidence to warrant a ban on the sale of energy drinks to children.,12 December 2018,http://www.qlzn6i1l.com/115077.png,http://www.britishsoftdrinks.com/Press-releases-/Page-1/bsda-energy-drinks-committee,"The government's Science and Technology Committee has concluded there is not enough scientific evidence to warrant a ban on the sale of energy drinks to children.
It did, however, suggest ""societal concerns and evidence"" could ""justify a ban.""
Gavin Partington, Director General at the British Soft Drinks Association (BSDA), responded to the committee's findings.
He said: “The BSDA supported the voluntary ban on the sale of energy drinks to under 16s by retailers as it is in line with our longstanding Code of Practice, so naturally we welcome the Committee’s endorsement of this approach.
“Our members do not market or promote energy drinks to under 16s, nor do they sample products with this age group. In addition, energy drinks carry an advisory note stating ‘Not recommended for children’.
“It is worth noting the Committee found that the current quantitative evidence alone is not sufficient to warrant a statutory ban. The BSDA is committed to supporting the responsible sale of energy drinks and is keen to work with governments and retailers to achieve this – in line with and in the spirit of our own Code of Practice.”",BSDA welcomes committee's energy drinks findings
A number of news outlets are linking energy drink consumption to a rise in rates of arrhythmia.,18 December 2018,http://www.qlzn6i1l.com/115077.png,http://www.britishsoftdrinks.com/Press-releases-/Page-1/coffees-from-high-street-chains-contain-the-same-or-more-caffeine-than-most-energy-drinks,"A number of news outlets are linking energy drink consumption to a rise in rates of arrhythmia.
Gavin Partington, Director General at the British Soft Drinks Association, said:
“The European Food Safety Authority confirms the safety of energy drinks and their ingredients and therefore does not provide any scientific justification to treat energy drinks any differently to the main contributors to daily caffeine intake including tea, coffee and chocolate.
""It is worth remembering that coffees from popular high-street chains contain the same or more caffeine than most energy drinks.”",Major-chain coffees can contain more caffeine than energy drinks
"The government’s Resources and Waste Strategy has been unveiled, setting out how ministers aim to change the way consumers deal with waste from the home to the workplace.",18 December 2018,http://www.qlzn6i1l.com/115077.png,http://www.britishsoftdrinks.com/Press-releases-/Page-1/bsda-supports-the-introduction-of-a-gb-wide-deposit-return-scheme,"The government’s Resources and Waste Strategy has been unveiled, setting out how ministers aim to change the way consumers deal with waste from the home to the workplace.
It includes the introduction of a deposit return scheme in 2023, subject to consultation early next year.
Gavin Partington, Director General at British Soft Drinks Association, said:
""The soft drinks industry supports the introduction of a GB-wide full deposit return scheme for all plastic and can beverage containers. We believe this is the best way to increase recycling levels and tackle litter.
""Reform of the current producer responsibility system is also necessary to create greater transparency and increased investment in UK recycling infrastructure.""",BSDA supports the introduction of a GB-wide deposit return scheme
"Following the publication of a study carried out by Cochrane – a British medical research charity – to provide evidence for the World Health Organization in readiment for its own report into low- and no-calorie sweeteners, a number of media outlets have picked up the story. ",04 January 2019,http://www.qlzn6i1l.com/115077.png,http://www.britishsoftdrinks.com/Press-releases-/Page-1/bsda-responds-to-media-coverage-of-sweeteners,"Following the publication of a study carried out by Cochrane – a British medical research charity – to provide evidence for the World Health Organization in readiment for its own report into low- and no-calorie sweeteners, a number of media outlets have picked up the story. 
The review did not find solid evidence of any major safety issues.
Gavin Partington, Director General at British Soft Drinks Association, said:
“Low- and no-calorie sweeteners allow consumers to enjoy sweetness while managing sugars and calories in their everyday lives. Because they taste good and are low- or calorie-free, people are more likely to combine them with a balanced diet and healthy lifestyle and stick to their dietary goals for weight management.
“In March 2017, the UK Government and Public Health England publicly endorsed the use of low-calorie sweeteners as a safe alternative to reduce sugar in food and drink and help people manage their weight.
“The increased use of low-calorie sweeteners in soft drinks has led to a significant reduction in sugar and calorie intake (from soft drinks). Kantar Worldpanel data shows overall sugar intake from soft drinks is down by 22.9% since 2014.""",BSDA responds to media coverage of sweeteners
"In response to the Welsh Assembly announcing a consultation on its obesity strategy, Gavin Partington, Director General at British Soft Drinks Association, said:",17 January 2019,http://www.qlzn6i1l.com/115077.png,http://www.britishsoftdrinks.com/Press-releases-/Page-1/bsda-responds-to-welsh-assembly-obesity-strategy-proposals,"In response to the Welsh Assembly announcing a consultation on its obesity strategy, Gavin Partington, Director General at British Soft Drinks Association, said:
“We will reserve judgement on proposals considering restrictions on portion sizes until further information comes to light. However, the soft drinks industry recognises it has a role to play in helping to tackle obesity, which is why we have led the way in calorie and sugar reduction.
“Our efforts are reflected in the Government’s own NDNS data—published last year—which shows that sugar intake from soft drinks is down 15% in 4-10-year-olds and 11% in 11-18-year-olds since 2012.
“We are the only category to have already hit Public Health England’s calorie-reduction target of 20% by 2020, and we hope our actions on sugar reduction, portion size and promotion of low- and no-calorie products set an example for the wider food sector.
“While the BSDA supports a ban on the sale of energy drinks to under-16s, the European Food Safety Authority confirms the safety of energy drinks and their ingredients, and therefore does not provide any scientific justification to treat energy drinks any differently to the main contributors to daily caffeine intake including tea, coffee and chocolate. It is worth remembering that coffees from popular high-street chains—­on which the Welsh government is not looking at implementing a ban—contain the same or more caffeine than most energy drinks.”",BSDA responds to Welsh Assembly obesity strategy proposals
"British Soft Drinks Association Director General Gavin Partington responds to the National Diet and Nutrition Survey (NDNS) by Public Health England, which was published today:",23 January 2019,http://www.qlzn6i1l.com/115077.png,http://www.britishsoftdrinks.com/Press-releases-/Page-1/bsda-welcomes-latest-ndns-findings-on-soft-drinks-consumption,"British Soft Drinks Association Director General Gavin Partington responds to the National Diet and Nutrition Survey (NDNS) by Public Health England, which was published today:
 “We are pleased that the latest NDNS data shows a decline of 17 percentage points in teenagers’ sugar intake from soft drinks between 2008/09 and 2016/17, along with a reduction of 13 percentage points among adults aged 19 to 64 years. That this happened before the introduction of the Government’s Soft Drinks Industry Levy highlights that soft drinks manufacturers have taken significant action to help their consumers reduce their sugar intake over the last decade.
“We are, however, concerned by the fall in fruit juice consumption between 2008/09 and 2016/17. This is pertinent given the NDNS data shows adults and teenagers are still ‘consistently’ failing to meet PHE’s recommended 5 A Day target, for which a 150ml glass of fruit juice counts as one of these portions.”",BSDA welcomes latest NDNS findings on soft drinks consumption
"British Soft Drinks Association Director General Gavin Partington responds to Southwark Council's Fizz-Free February campaign, which has received support from the likes of TV chef Hugh Fearnley-Whittingstall and politician Tom Watson.",28 January 2019,http://www.qlzn6i1l.com/115077.png,http://www.britishsoftdrinks.com/Press-releases-/Page-1/bsda-reacts-to-fizz-free-february-campaign,"British Soft Drinks Association Director General Gavin Partington responds to Southwark Council's Fizz-Free February campaign, which has received support from the likes of TV chef Hugh Fearnley-Whittingstall and politician Tom Watson.
Supporters of the campaign are attempting to link soft-drinks consumption to a reported rise in diabetes diagnoses among under-20s.
Partington said: “The soft drinks industry recognises it has a role to play in helping to tackle childhood obesity which is why we have led the way in calorie and sugar reduction. Soft drinks is the only category to have already hit Public Health England’s calorie-reduction target of 20% by 2020.
“Kantar Worldpanel data shows overall sugar intake from soft drinks is down by 22.9% since 2014. Data released by the Government last week shows a decline of 17 percentage points in teenagers’ sugar intake from soft drinks between 2008/09 and 2016/17.”",BSDA reacts to Fizz-Free February campaign
"Ahead of the launch of the final report of the Zero Plastic Waste Report tomorrow (12/02), British Soft Drinks Association (BSDA) Director-General Gavin Partington has reiterated the association's stance on the issue of recycling and the introduction of a deposit return scheme (DRS):",11 February 2019,http://www.qlzn6i1l.com/115077.png,http://www.britishsoftdrinks.com/Press-releases-/Page-2/bsda-reiterates-stance-on-drs-and-plastic-recycling,"Ahead of the launch of the final report of the Zero Plastic Waste Report tomorrow (12/02), British Soft Drinks Association (BSDA) Director-General Gavin Partington has reiterated the association's stance on the issue of recycling and the introduction of a deposit return scheme (DRS):
""BSDA supports the introduction of a GB-wide full DRS for all plastic and can beverage containers as our assessment suggests this is the best way to increase recycling levels and tackle litter.  
""However, this must be accompanied by reform of the current producer responsibility system to create greater transparency and increased investment in UK recycling infrastructure.  
""Government must also ensure that any materials captured within a DRS are not subject to other regulatory obligations which could perversely hamper progress towards the circular economy we all want to see.""",BSDA reiterates stance on DRS and plastic recycling
