abstract,date_published,image_link,link,text,title
,"Jan 1, 2019",http://cideruk.com/wp-content/uploads/2019/01/Screen-Shot-2019-01-01-at-20.15.58.png,http://cideruk.com/celebrating-the-history-of-cider/,"The NACM has been working with the Cider Museum in Hereford to look at some of their wonderful artefacts linked to the history of cider making in the UK. Cider has been enjoyed for hundreds of years and the Cider Museum holds a vast collection of items linked to the past. Our video tells the stories of four parts of their collection, looking at some of the key moments in the history of our favourite drink. With huge thanks to Elizabeth Pimblett, the museum Director, who had the difficult task of selecting just four out of all her favourite parts of the Cider Museum’s collection.",Celebrating the History of Great British Cider
,"Feb 4, 2019",http://cideruk.com/wp-content/uploads/2019/02/image003.png,http://cideruk.com/thatchers-apple-grower-of-the-year/,"Richard Johnson (left), Thatchers Chief Cidermaker, with Richard Morgan-Jones, Thatchers’ Apple Grower of the Year

Richard Morgan-Jones, a Herefordshire based apple grower, has been given a special award and praised by Thatchers Cider for the exceptional quality of apples he produces.

Richard, who has followed in his father’s footsteps in growing and supplying apples to Thatchers, was presented with the Thatchers Apple Grower of the Year award at the cidermaker’s annual Wassail celebrations.

Richard supplies seven different apple varieties to Thatchers, both bittersweet and dessert – from Katy early in the season, through to Yarlington Mill as one of the last to be harvested.

Richard Johnson, chief cidermaker at Thatchers says, “Richard has put in an enormous amount of effort throughout the growing and harvest season to ensure his apples are the highest quality. In fact, this last harvest he supplied us with 101 trailer loads of fruit, which were all fantastic quality from September through to November. That is a real achievement over such a large harvest.

“Richard’s dedication to quality matches our own and truly reflects our ethos that the best cider starts in the orchard.”

Thatchers presents the award each year to recognise the commitment to quality that the growers have demonstrated when supplying fruit into the Thatchers cider mill.

Thatchers has over 500 acres of its own orchard in and around its cider mill at Myrtle Farm in Somerset, as well as a number of growers throughout the West Country.

“Climate and soil – as well as the expertise of the grower – all play their part in producing top quality apples for cidermaking,” continues Richard Johnson. “As a cidermaker we have our favourite apple varieties to suit our own style of ciders – Richard Morgan-Jones supplies us with Katy, which is pressed into our single variety cider of the same name; newer apple varieties such as Gilly and Jane, and much-loved bittersweet varieties Dabinett and Yarlington Mill.

“We test every batch of apples for quality that arrive at Myrtle Farm during harvest and reward our growers accordingly. This year Richard Morgan-Jones excelled, and we are very happy that he’s our Apple Grower of the Year.”",THATCHERS APPLE GROWER OF THE YEAR IS RICHARD MORGAN-JONES
,"Feb 6, 2019",http://cideruk.com/wp-content/uploads/2019/02/ORG_DSC07019.jpg,http://cideruk.com/cider-makers-bring-cheer-to-westminster/,"Gordon Johncox, the chair of the National Association of Cider Makers (NACM) and the chief executive of Aston Manor Cider, addressed MPs, government officials and industry figures to outline a British success story in need of support.

Gordon outlined how collaboration across the industry by cider makers of all scales is a positive feature, though the hard-pressed sector still needs support from government.

As a relatively small industry, representing the best interests of every cider maker informs all aspects of activity of the NACM. The vision of the association is that all producers can operate successfully and fairly in a competitive market, whilst continuing to support their communities, employees and apple growers.

To enable this, he called for a balanced regulatory environment for cider makers reflecting the unique circumstances of producers. In particular, MPs, Ministers and officials were urged to deliver a consistent application of regulations.

Gordon challenged the Government’s willingness to understand the specific situations of cider makers. While headlines from the Autumn budget stated that cider duty was frozen, ciders in the middle duty band received a 25% tax increase, impacting many small cider makers.

Following his speech, Gordon commented: “Cider businesses of all sizes are working hard to deliver a sustainable future for the benefit of consumers and the rural environment. The industry is a significant part of British heritage.

“We need the support of politicians to work with us to return cider to more positive results, remove red tape and the unnecessary rules that limit innovation and investment. This support can enable cider makers produce fantastic products that interest in our category.

“We work to see every cider maker flourish and grow in line with their ambitions, whilst maintaining the highest standards. We firmly believe that with our collaborative nature and how we support one another this can be achieved when we can rely on consistent and sensible legislation.

“In recent months we have seen members providing orcharding experts when others experience weather related problems, large companies have supported smaller producers to expand their packaging ranges. When something is challenging or if advice is needed, small producers will always be supported, and to me, this is why the UK cider industry is so very special.”

The Parliamentary Cider Group Reception was an opportunity to showcase the best of British cider, which is home to the largest cider market in the world. The evening was attended by cider makers from across the South West, Midlands and further afield, as well as many MPs that represent cider making regions within their constituencies.

The NACM is the UK cider industry representative body, working on behalf of large and small producers:

For press and other enquiries please use our contact form.",Cider makers bring cheer to Westminster
,"Feb 8, 2019",http://cideruk.com/wp-content/uploads/2019/02/image003-300x103.png,http://cideruk.com/thatchers-unveils-a-new-tv-commercial-for-2019/,"Entitled Race Car and featuring the Thatchers “spokesperson” first introduced in the Somerset cidermaker’s 2017 Hot Air Balloon ad, the commercial follows an unexpectedly slow race car driving through some iconic West Country landmarks.

Expected to be seen over 30 million times in live rugby during the first two months of the campaign alone, and in total seen by ¾ of the adult population, the TV commercial’s message to viewers is that Thatchers is totally uncompromising about the quality of its cider – if something’s not perfect, it’s useless. You wouldn’t settle for a race car that could almost race – so why buy a cider that’s almost perfect, reinforcing the link between quality and perfection of Thatchers.

The 30 second Race Car commercial will be first seen on ITV during the Six Nations Rugby England Vs Ireland match on 2nd February at half time. It will then be shown from February through to September on ITV, Channel 4 and Multichannel, during this year’s top sporting events and TV moments. Hero spots will include Six Nations Rugby, The Grand National, Monaco Grand Prix, Cricket World Cup, Game of Thrones, Great British Bake Off, and the Women’s Football World Cup.

The ad will be included in a VOD (video on demand) campaign running April to July, and also runs in cinema during July and August, including the silver spot in the hotly anticipated new Quentin Tarantino Film – Once Upon A Time in Hollywood, starring amongst others Brad Pitt, Leonardo di Caprio and Margot Robbie.

Yvonne Flannery, Head of Brands at Thatchers Cider comments, “This new phase of our award-winning campaign features our popular Spokesperson, as well as cameos from Martin Thatcher and our chief cidermaker Richard Johnson. Filmed in iconic West Country locations, it retains a gentle, warm-hearted yet funny tone, and leaves the viewer with no doubt as to the taste and quality of Thatchers ciders – what cider’s supposed to taste like.

“Following from our Hot Air Balloon commercial, which we know resonated strongly with viewers on enjoyment and memorability*, Race Car creates a long-term campaign for Thatchers, filmed in the same, sunny photographic style, and featuring familiar faces, music and scenery to support brand recognition.

“Of course, the notion that the race car is going so slow is clearly ridiculous, as was the low flying hot air balloon in the first of the ad series. This is a humorous ad that will appeal to a wide audience and introduce new customers to our brand.”

Joint London are the creative agency behind the campaign for Thatchers, with Bray Leino advising on media buying. The film was directed by Declan Lowney, who has shot numerous commercials for some of the world’s biggest brands. He is also a top television comedy director, with Father Ted, Little Britain and Moone Boy amongst his credits.

The TV campaign is accompanied by a new series of short films for digital channels, also featuring the Thatchers’ Spokesperson, who finds himself in humorous situations at Thatchers Myrtle Farm, always highlighting the Thatchers family of ciders and their great taste characteristics – Thatchers Gold, Haze, Vintage and Katy.

2019 will be another important year for the growth of the Thatchers brand, with planned marketing activity including experiential, sponsorships, events and festivals. The family-run Somerset cidermaker is continually supporting and growing its brands to help drive people into the cider category, and is one of the biggest investors in marketing amongst UK cidermakers.

With its focus on apple cider, Thatchers is driving the apple cider category across both on and off trades with its Gold and Haze ciders. Thatchers Gold is the no 2 canned apple cider (by value)* in the off trade and Thatchers Haze is the No 1 cloudy cider. In the on trade Thatchers Haze is the fastest growing cider in the top ten draught ciders**, and Gold has the best rate of sale of all draught apple ciders.

The commercial was shot in locations including Wells, Shiplate, and Castle Combe.",THATCHERS UNVEILS A NEW TV COMMERCIAL FOR 2019
,"Jul 11, 2018",http://cideruk.com/wp-content/uploads/2018/07/Mike-Wood-and-Simon-Longbottom-PubAid-Fundraiser-Award-WEB.jpg,http://cideruk.com/stonegate-scoops-corporate-charity-fundraiser-award/,"Stonegate Pub Company has been named the Corporate Charity Fundraiser of the Year by PubAid and the All-Party Parliamentary Beer Group (APPBG).

The Award was presented to Stonegate CEO, Simon Longbottom, at the annual APPBG Dinner in Westminster, in recognition of the company’s impressive commitment to charity support across its pubs and head office. Stonegate raises around £1.5 million for charity every year, supporting a wide range of worthy national and local causes.

Co-founder of PubAid, Des O’Flanagan said, “Everyone on the PubAid Steering Group was impressed by Stonegate’s support for charity. Fundraising is seen not as a ‘nice to do’ add-on, but a fundamental part of running a Stonegate pub.

“Managers and their teams demonstrate huge creativity and dedication in their fundraising, which embraces a variety of activities, from Fun Days to fancy dress events, sporting challenges and larger, region-wide initiatives, such as the ‘Spartan Walk’, where 300 southern pubs raised £73,500 for Noah’s Ark Children’s Hospice. Head office are also active within their community in Luton, with ongoing support for the local children’s hospital.”

PubAid also highlighted Stonegate’s northern division’s mission to raise £60,000 for MIND and the Scottish Association for Mental Health. A whopping £45,000 has already been raised by the pubs and bars with a further £9,000 raised by the management and support team who trekked the gruelling Three Peaks. Fundraising continues until September so they are on track to hit the target.

On receiving the award Longbottom said, “It is an honour to receive this award in recognition of the tremendous amount of community fundraising and the phenomenal amount of money raised each year for charities large and small by our pubs and support team.”

Mike Wood, MP for Dudley South and Chairman of the All-Party Parliamentary Beer Group, said “Stonegate has shown what can be achieved when charity support is embedded within a company’s culture, with all employees empowered and enthused to do their bit to help. Raising £1.5 million a year is a fantastic result and we are delighted to name them as the winner of our Corporate Charity Fundraiser award.”

As well as the Corporate Charity Fundraiser of the Year award, PubAid also recognises outstanding charity support by individual pubs with the Charity Fundraising Pub of the Year award. This award, supported by Magners, was presented for the first time earlier this year, with the Logan Rock in Treen, Cornwall, taking the winner’s title ahead of seven other pubs on a very strong shortlist.

The Corporate Charity Fundraiser award is in its fourth year. Previous winners are JD Wetherspoon, Greene King and Joseph Holt.

Caption to attached image (l-r): Mike Wood, Chairman of the APPBG and Simon Longbottom, CEO, Stonegate Pub Company",Stonegate scoops Corporate Charity Fundraiser award
,"Jul 20, 2018",http://cideruk.com/wp-content/uploads/2018/07/Magners-3-1080x675.jpg,http://cideruk.com/magners-unveiled-as-exclusive-sponsor-of-cheltenham-gold-cup-and-as-presenting-partner-of-the-festival-tm/,"Magners Irish Cider has today, 18 July 2018, been unveiled as the exclusive sponsor of the most prestigious Jump race in Europe, the Cheltenham Gold Cup and as Presenting Partner of The FestivalTM, staged annually in March at Cheltenham Racecourse, Prestbury Park, Gloucestershire.

The four-year agreement between Magners Irish Cider and Jockey Club Racecourses will see the first ‘Magners Cheltenham Gold Cup’ on Friday, 15 March 2019, the feature race on the final day of Jump racing’s showpiece event.

In addition, the agreement, which will run until 2022, will also see Magners Irish Cider become the Presenting Partner across all four days of The FestivalTM, which will be recognised as ‘The FestivalTM, presented by Magners’.

Today’s announcement represents the first major horse racing sponsorship by Magners, which is produced in Clonmel, County Tipperary, Ireland and is part of Dublin-headquartered C&C Group plc.

The partnership between Jockey Club Racecourses and Magners Irish Cider, celebrates the brand’s Irish heritage by associating with the leading British and Irish-attended event in the UK, attracting crowds of over 260,000 annually, and watched by millions of horse racing fans across the world via TV and digital platforms.

The FestivalTM is the fourth biggest sporting event in the UK, in terms of the total number of visitors, and takes place over four days at the world famous Prestbury Park racecourse in Gloucestershire. In addition, The FestivalTM has broad and increasing appeal in Ireland, with approximately one third of tickets sold in 2018 going to Irish race-goers. The FestivalTM 2018 was another fruitful year for the Irish, with punters witnessing 17 Irish-trained winners during four days of competitive Jump racing.

From 2019 to 2022, this agreement means Jump racing’s showpiece event will become the ‘Magners Cheltenham Gold Cup’. The FestivalTM will now be referred to as ‘The FestivalTM, presented by Magners’.

The Cheltenham Gold Cup has a long and illustrious history and takes place at level weights over three and a quarter miles and 22 fences. Its victory roll features the finest staying chasers ever to grace the turf, including Arkle, Best Mate, Golden Miller, Kauto Star and Mill House. 2018 saw an epic renewal, with Native River seeing off the challenge of Might Bite in a thrilling championship contest.

Jason Ash, Chief Marketing Officer of C&C Group plc, said: “Magners Cider is 100% Irish, made in Clonmel, County Tipperary, where William Magner first started making cider over 80 years ago. Famous for our Irish heritage, sociability and positive view on life we are truly excited to put our name to the most prestigious Jump race in Europe and partner with one of the UK’s best sporting and social occasions as a platform to engage fans and bring Magners to a global audience.

Given The FestivalTM is a major occasion in the sporting calendar of racing fans across the world, especially in the UK and Ireland, we are delighted to be a part of such an iconic event. We see our partnership with The FestivalTM and the Magners Cheltenham Gold Cup as a perfect fit, providing a year-round platform to bring to life our new “100% Irish” positioning to consumers in the UK and internationally.

We look forward to working with The Jockey Club to engage horse racing fans across multiple platforms, including at The FestivalTM, in the On and Off-trades, and via advertising, digital and social activation”.

Ian Renton, Cheltenham and South West Regional Director for Jockey Club Racecourses, said: “To work with Magners over the next four years is something our whole team is hugely looking forward to. I believe this partnership with a brand of provenance and heritage like Magners will provide a big opportunity for both parties.

In the build-up to The FestivalTM each year, a third of the tickets purchased are by Irish race-goers, so we feel this partnership is a great fit and we’re delighted to be working alongside a partner with such a strong Irish heritage and appeal in the UK, Ireland and beyond.

As well as looking forward to staging the first Magners Cheltenham Gold Cup, 2019 will be the first time The FestivalTM has had a Presenting Partner to promote the whole event to an even wider audience.”",MAGNERS UNVEILED AS EXCLUSIVE SPONSOR OF CHELTENHAM GOLD CUP
,"Sep 13, 2018",http://cideruk.com/wp-content/uploads/2018/09/APPCG-1080x675.jpg,http://cideruk.com/nacm-welcomes-new-chairman-gordon-johncox-from-aston-manor/,"Gordon Johncox, the chief executive of Aston Manor Cider, has been named as the new chair of the National Association of Cider Makers (NACM).

Addressing members of the NACM and attendees at the All Party Parliamentary Cider Group (APPCG) on Tuesday 11 September, Gordon outlined his vision to ensure a sustainable future for producers, whatever their scale.

He called for a fair and balanced regulatory environment for cider makers to operate in and asked for the support from MPs, Ministers and officials to back the UK industry – home to the largest cider market in the world.

Gordon promoted the need for a collaborative approach and all involved to give the industry the best opportunity to flourish.

Speaking about becoming chair, Gordon commented: “I’ve enjoyed a significant amount of my career in the cider industry and a great part of my life living in the cider heartland, so I am relishing the opportunity to lead the industry.

“No matter the size of the cider maker, everyone is committed to apples and agriculture – that is the most important message I want to get across. The industry is facing a number of complex challenges, but through a united approach we can certainly deliver a future that is innovative and sustainable.

“We need an excise duty structure that allows producers to grow, a robust examination of evidence in all policy issues and of course, cider makers to have the common goal to celebrate this diverse industry that provides for ever consumer and occasion – here in the UK and across the world.”

Fenella Tyler, the chief executive of the NACM, spoke about the appointment: “Gordon has been the deputy chair for two years and has already made a significant contribution. We expect he will continue to do great work to advance the interests of all cider markets for the benefit of all cider drinkers.”

Before joining Aston Manor Cider, Gordon was previously the managing director at Magners GB. He will be the chair of the NACM for two years and has replaced Helen Thomas of Westons Cider.","NACM Welcomes New Chairman, Gordon Johncox from Aston Manor"
,"Oct 1, 2018",http://cideruk.com/wp-content/uploads/2016/06/slide5-1080x327.jpg,http://cideruk.com/nacm-opens-membership-to-any-uk-cider-maker/,"We are pleased to announce that from September 2018, membership of the association is open to any UK cider maker.

Members agree to the following:

– That they meet the criteria laid out in the associations Members’ Agreement

 – That they will abide by the NACM Code of Practice

 – That they agree to conform to the Portman Group Code of Practice

– Attend 4 Council Meetings per year

 – Support NACM activity at APPCG receptions in Westminster

 – Provide annual volume data and sign an annual declaration of conformity

 – Contribute to and support NACM priorities and objectives

 – Support the activity of sub-committees

– £500 per annum for cider makers below 15,000 Hl

 – Levy based on annual volume for those above 15,000 Hl

 – Membership rates are reviewed annually.

 – All members, regardless of size will have one vote at meetings.

If you are interested in joining the NACM, please contact us for further information.",NACM opens membership to any UK cider maker
,"Oct 22, 2018",http://cideruk.com/wp-content/uploads/2018/10/ciderappleorchards-1080x675.jpg,http://cideruk.com/fairer-treatment-for-cider-call-ahead-of-the-autumn-budget/,"With the Autumn Budget just over a week away, the NACM has been talking to MPs to gain support for better treatment for cider.

The new duty band for mid-strength cider will come into effect from 1st February 2019 and the new duty rate for ciders between 6.9% and 7.5% ABV will be announced on 29th October. The increase in excise duty that this brings will negatively impact nearly all cider makers, with the inadvertent consequences felt most by smaller cider makers.

In their submission to the Treasury ahead of the Autumn Budget, the NACM has asked for special consideration to be given to cider. Gordon Johncox, chair of the NACM explains “Cider has been in decline since 2009 and the impacts are being felt across the industry and the cider supply chain. Apple contracts in the South West, Herefordshire and other cider making regions are ending as the cider industry requirement for apples falls.” The standard cider category is now 25% smaller than it was 9 years ago, resulting in fewer apples needed to meet consumer demand. In the same period changes to excise duty have resulted in the tax on cider moving closer to other categories.

“We need a 2p per pint reduction in excise duty for standard cider, which will help return the standard cider category to growth, but also give a much needed boost to the smaller cider makers who are impacted by the new duty band. Most cider makers will make ciders in both the standard and the mid-strength duty band, so this reduction would help soften the blow when the new duty rate comes in next February.” Gordon explains. “The case for more support for small cider makers is growing day by day. We are asking the Treasury to introduce a progressive cider duty that would support small cider makers to grow, innovate and create more jobs. However, we ask that they consider how best this can be achieved whilst continuing to protect the smallest cider makers who currently benefit from the 70Hl duty relief”.

The NACM has explained to the Treasury that the current concerns around post Brexit impacts on the cider industry, continue to create more uncertainty for the industry, especially around export and supply chain issues. Uncertainty about the tax increase that will be announced on 29th October for the new duty band has added to industry uncertainty. Cider makers create rural jobs, invest in their communities and encourage over half a million tourists to visit each year. Gordon concludes “Cider really is a Great British success story and we ask that it is given more support to encourage growth, innovation and success. We hope that we will be raising a glass of cider to the Chancellor next Monday”.",FAIRER TREATMENT FOR CIDER CALL AHEAD OF THE AUTUMN BUDGET
,"Oct 26, 2018",http://cideruk.com/wp-content/uploads/2018/10/Thatchers-Cider-Young-Talent-Programme-1080x675.jpg,http://cideruk.com/thatchers-scoops-national-award-for-its-young-talent-programme/,"Thatchers Cider has won a national award, the prestigious “IGD Award for Employability”, for its Young Talent Programme. The Thatchers Young Talent Programme is in its first full year and has just seen 17 apprentices and graduates start work with the Somerset-based cidermaker. Thatchers is delivering high-quality, inspirational work experience and development opportunities, preparing people for work in this world-class industry. IGD is a national research and training charity at the heart of the food and grocery industry.

Martin Thatcher, fourth generation cidermaker at Thatchers says, “It is a real honour to be recognised by IGD with this award for our Young Talent Programme. Over recent years we have found that knowledge about careers within the food and drink sector hasn’t met our needs as an emerging business, so we wanted to create our own apprenticeship programme to attract the best people and invest in training and development.”

Emma Cox, training coordinator at Thatchers adds, “We started from a blank sheet of paper, and in just twelve months by working with local schools, colleges and universities we have developed and compiled an apprenticeship and graduate programme that is tailored to the needs of our industry, not only helping young people start on their career path, but importantly developing the skilled workforce that as a growing company we need at Thatchers.”

Fiona Miller, Head of Employability and Skills at IGD, said: “Already reaching over 10,000 young people, we were blown away by the results Thatchers is achieving after just 12 months of its Young Talent programme. The Thatchers team has a strong understanding of the education landscape and has developed a long-term strategy and comprehensive programme that puts the needs of young people at its heart. They run engaging activities for school and university students, and work collaboratively with teachers and parents, to empower young people to make informed decisions about their future. It’s great to see that the young talent pipeline is already building as a result, and that they work closely with other business in the region to share best practice.”

[Photo: Martin Thatcher, centre, with Emma Cox, centre left, together with some of the new starters in the Thatchers Young Talent programme]",THATCHERS SCOOPS NATIONAL AWARD FOR ITS YOUNG TALENT PROGRAMME
