abstract,date_published,image_link,link,text,title
"Metallica and Arrogant Consortia (a Stone Brewing imprint) have announced Enter Night Pilsner. Launching in the US now, and internationally this spring,...","January 21, 2019",https://www.drinkpreneur.com/wp-content/uploads/2019/01/www.drinkpreneur.com-metallica-arrogant-consortia-present-enter-night-pilsner-1.jpg,https://www.drinkpreneur.com/beverage-industry-news/brand-news/metallica-arrogant-consortia-present-enter-night-pilsner/,"Metallica and Arrogant Consortia (a Stone Brewing imprint) have announced Enter Night Pilsner. Launching in the US now, and internationally this spring, Enter Night Pilsner is a unique expression of the shared values that have helped define Metallica and Stone Brewing: fiercely independent, transcending genres, shattering preconceptions and challenging convention.

Enter Night Pilsner is the outcome of a genuine creative spark between two entities that grew to become international forces of nature in their respective worlds, yet came from the fringes. An intensity of vision combined with a shared middle finger to the status quo makes Enter Night Pilsner a chorus of collaboration worth celebrating. The members of Metallica and the leadership of Stone participated at every step alongside their talented brewing team. From Metallica’s Bay Area HQ and the brewery HQ in San Diego, to many beers backstage at shows, the spirit of collaboration was powerful. Metallica’s Lars Ulrich and Stone co-founder Greg Koch even enjoyed multiple occasions at Lars’ home ‘discussing’ (industry-speak for ‘drinking’) beers. After all, there was only one chance to get this right, and anything less than an incredible result was not an option.

“The amount of ideals and outlooks that Metallica and Stone Brewing share are endless,” says Lars. “I’m always blown away about how similar our paths forward have been. Our view of the worlds that we each inhabit, of creativity and process, and sense of place in relation to our peers and ‘The Man’ are almost identical. This collaboration is beyond effortless and pure, and we can’t wait to share this incredible beverage with everyone out there.”

“I remember seeing Metallica on the cover of a magazine just after the Black Album was released,” recalls Greg. “On the cover was a quote that resonated with me to this day: ‘Metallica didn’t go to number one, number one came to them.’ I loved what that meant. Do it your way and never compromise your art. If you’re great at what you do people will come. I view that simple quote as one of the founding philosophical elements of Stone Brewing.”

Aside from its intense drinkability, craft enthusiasts will note Enter Night’s remarkable flavor and aroma which artfully combine the beauty of a traditional Northern German Pilsner with Arrogant Consortia’s modern overtones of aggression. The resulting genre-defying pilsner is hop forward with sound bitterness on the finish. It first appeared for the most worthy few in exclusive releases at Metallica’s shows this past fall. The beer will gain full US distribution in the first quarter 2019, and its global domination will roll out this spring covering Europe, Australia, China and beyond.

Arrogant Consortia is a wholly owned imprint of Stone Brewing. Its often aggressive and always self-righteous lineup of beers includes Arrogant Bastard Ale and Bourbon Barrel-Aged Arrogant Bastard Ale, among others. The world-renowned brewery is well-known for waving the proud flag of independent craft brewing, while rallying against the bland, boring nature of industrialized, commoditized ‘fizzy yellow beer.’ Enter Night Pilsner is brewed to be enjoyed fresh and is best enjoyed with your friends… be it in bars, backyards, or tailgates… with your favorite music.",Metallica & Arrogant Consortia Present Enter Night Pilsner
"To ensure continual relevant innovation, Pro2Pac 2019 has announced a collaboration with five industry experts to support the creation of forward-thinking...","January 22, 2019",https://www.drinkpreneur.com/wp-content/uploads/2019/01/www.drinkpreneur.com-meet-the-pro2pac-ambassadors-ahm-2877.jpg,https://www.drinkpreneur.com/beverage-industry-news/packaging/meet-the-pro2pac-ambassadors/,"To ensure continual relevant innovation, Pro2Pac 2019 has announced a collaboration with five industry experts to support the creation of forward-thinking content, products and solutions being showcased at the biennial event.

The ‘ambassadors’ will work with organiser, Fresh Montgomery, to identify trends, build insights and share industry knowledge, which will shape the event and ensure visitors – whether Quality or Packaging Managers, Technologists or Engineers – are given an unrivalled experience.

Charlotte Brown, Event Manager for Pro2Pac, said: “We are proud that Pro2Pac is seen as a thought-leading event within the food & drink processing & packaging sector. However, we are deeply aware that we must continue to drive innovation to make sure suppliers, solutions providers, packaging managers and engineers alike feel it is an invaluable experience both in 2019 and onwards.

“We’re working closely with our ambassadors to strive for relevant developments to ensure the event continues to develop and evolve appropriately.”

Natalia Agathou, said: “Pro2Pac is a strong networking event that bridges the gap between the food and packaging industry. As a visitor, apart from the delicacies you get to try while browsing around, you get to witness the latest sector trends and explore new innovations.”

Pro2Pac 2019 is returning to ExCeL London 18–20 March 2019. Taking place alongside IFE (The International Food & Drink Event), Pro2Pac is the meeting place for everyone in the food & drink supply chain – an influential biennial gathering of producers, manufacturers, technologists and design specialists.

For more information on Pro2Pac 2019 and to register to attend for free, please visit: pro2pac.co.uk",Meet the Pro2Pac Ambassadors
"Wineries shipped a record $3 billion worth of wine directly to consumers in 2018, according to the 2019 Direct-to-Consumer (DtC) Wine Shipping Report from...","January 25, 2019",https://www.drinkpreneur.com/wp-content/uploads/2019/01/www.drinkpreneur.com-wine-shipments-to-consumers-hit-record-3-billion-last-year-1.jpg,https://www.drinkpreneur.com/beverage-industry-news/markets/wine-shipments-to-consumers-hit-record-3-billion-last-year/,"Wineries shipped a record $3 billion worth of wine directly to consumers in 2018, according to the 2019 Direct-to-Consumer (DtC) Wine Shipping Report from Sovos and Wines Vines Analytics. The annual report analyzes shipment trends from wineries to consumers in the United States. Fueling this growth, the average price per bottle increased 2.4 percent, the most significant one-year price spike since 2011.

Despite these healthy increases, the growth of the direct-to-consumer channel was slower than seven-year averages. In previous years, states have loosened their restrictions allowing wine shipments to drive growth. However, Oklahoma was the only new shipping destination for wine in 2018, leaving few states remaining yet to open for winery-to-consumer shipments.

“The direct shipping channel has matured into a mainstream option for wineries to meet growing consumer demand,” said Larry Cormier, general manager, ShipCompliant by Sovos.

Sonoma County was the standout among regions analyzed, propelling ahead of Napa County, the historic leader in the DtC channel. Sonoma’s total volume of shipments increased by 19 percent and the value of shipments by 18 percent, marking a 200 percent increase since 2011.

On the other hand, both the volume and value of shipments from Napa County wineries lagged considerably behind other regions. Napa County’s wine shipments increased a mere 1.6 percent, a response to the 7.1 percent increase in average price-per-bottle shipped.

“Napa County seemingly priced itself out of the market in 2018,” said Chet Klingensmith, publisher and president at Wines Vines Analytics. “This may be an early indicator of what’s to come for the whole channel in 2019, as price increases have historically been followed by flat or declining prices the following year. With competition from independent wine clubs and online liquor stores increasing, wineries must stay cognizant of how pricing affects consumer demand.”

Other notable trends in the 2019 Direct-to-Consumer Wine Shipping Report include:
• Oregon outpaced the DtC channel. For the seventh consecutive year, Oregon wineries outpaced the overall market. Despite a 1.4 percent increase in the average price per bottle, wine shipments from Oregon increased 19 percent in volume.
• Rosé shipments continued to skyrocket. Rosé is now the eighth most commonly shipped wine by American wineries, moving up from the bottom of the list less than a decade ago.
• The Moscato fad faded. Moscato shipments plummeted in 2018, with the average price of a bottle at $7.30, down 50 percent from its high in 2016.
• Consumers opened their wallets. Shipments of wines priced at $100 or more increased by 18 percent in volume compared to the previous year.

The Direct-to-Consumer Wine Shipping Report is an annual collaboration between Sovos and Wines Vines Analytics, examining shipment trends from wineries to U.S. consumers. The proprietary data included is comprised from an algorithm measuring total DtC shipments based on millions of anonymous direct shipping transactions filtered through the ShipCompliant by Sovos system and paired with Wines Vines Analytics’ comprehensive data on U.S. wineries.",Wine Shipments to Consumers Hit Record $3 Billion Last Year
"American Pasteurization Company (APC), a national leader in High Pressure Processing (HPP), has acquired FreshCo Foods, a Milwaukee-based, end-to-end...","January 28, 2019",https://www.drinkpreneur.com/wp-content/uploads/2019/01/www.drinkpreneur.com-american-pasteurization-company-acquires-freshco-foods-1-1.jpg,https://www.drinkpreneur.com/beverage-industry-news/markets/american-pasteurization-company-acquires-freshco-foods/,"American Pasteurization Company (APC), a national leader in High Pressure Processing (HPP), has acquired FreshCo Foods, a Milwaukee-based, end-to-end co-manufacturer of premium and specialty food products. As part of the acquisition, FreshCo has been renamed APC Manufacturing.

APC Manufacturing was founded in 2017 and has been adding capabilities and expanding its portfolio of business for the past year. The company has three CIA-trained chefs who work with clients on all aspects of product development – from concept creation and testing to packaging development and production. APC Manufacturing’s packaging capabilities currently include bag, squeeze pouch and container filling of almost any shape or size and induction seal application.

“APC Manufacturing was originally established as a stand-alone company to provide co-packing services to clients of APC. Its rapid growth has required an infusion of capital that’s best delivered by APC,” says Justin Segel, co-founder and CEO of American Pasteurization Company. “APC Manufacturing operates in the same building as APC, so it’s been an easy ownership transition.”

APC Manufacturing currently produces a variety of products, including: hummus; fresh salsa and pico de gallo; salad dressing; baby food; macaroni & cheese; soups and stews; mashed potatoes and potato sides; stuffing; pasta salads; fresh salads such as tuna and chicken; sauces and marinades; and pesto and marinara.

APC Manufacturing is also capable of co-packing guacamole and avocado-based products, fresh pasta and cooked pasta dishes, legume and bean dishes, grain and rice dishes, coleslaw and a variety of fresh dips.

“APC Manufacturing clients can take advantage of a full-service, turnkey process that provides co-packing and timely HPP services within the same facility,” says Segel. “Having manufacturing and HPP under one roof allows product to get into HPP faster, ensures the cold chain is maintained and eliminates an additional freight cost.”

The majority of APC Manufacturing’s clients also utilize high pressure pasteurization provided by APC. HPP is a cold pasteurization technique where products that are already sealed in their final package are pasteurized by applying extreme hydrostatic pressure. HPP kills bacteria that can cause spoilage and food-borne illness and greatly extends a product’s shelf life. Applying HPP to foods and beverages – rather than heat pasteurization or synthetic preservatives – results in products that have a fresher taste and better appearance, texture and nutritional composition.",American Pasteurization Company Acquires FreshCo Foods
The natural bliss line of all-natural dairy and plant-based creamers is unveiling two new dairy-alternative creamers designed to bring simple bliss to each...,"February 4, 2019",https://www.drinkpreneur.com/wp-content/uploads/2019/01/www.drinkpreneur.com-natural-bliss-expands-plant-based-options-1-1.jpg,https://www.drinkpreneur.com/beverage-industry-news/brand-news/natural-bliss-expands-plant-based-options/,"The natural bliss line of all-natural dairy and plant-based creamers is unveiling two new dairy-alternative creamers designed to bring simple bliss to each morning.

The new natural bliss Half and Half blend of almond milk and coconut cream, and natural bliss Oat Milk creamer prove that life’s not about having it all, it’s about choosing what matters. Easy-to-pronounce ingredients like almond milk, coconut cream and natural vanilla flavor with extracts from Madagascar vanilla all go into the new offerings from natural bliss. Each flavor is specially crafted to offer 100% natural bliss, 100% of the time.

“We know the right ingredients matter, and our natural bliss creamers simply use what’s needed to give people ways to experience delicious moments every day,” said Jason Merideth, Director of Marketing for natural bliss. “With rising interest in plant-based products, our two new non-dairy options are suitable for dietary restrictions and preferences, and they allow consumers to feel great about the choice they make each morning.”
• natural bliss Plant-Based Half and Half – Made with half almond milk and half coconut cream, this non-dairy option puts a creamy, plant-based twist on classic coffee creamer. The best part? The unsweetened flavor has zero grams of sugar, while the Vanilla flavor only has 2 grams of sugar per serving.
• natural bliss Oat Milk creamer – Made with real oat milk, cane sugar and natural vanilla flavor, new plant-based natural bliss Oat Milk creamer adds a creamy goodness to every cup. This non-dairy option is great for those who have dietary restrictions but still want a simple, rich addition to their beverage.

Also Coming to Shelves This Year
• natural bliss Toasted Coconut –Made with real milk and cream and extracts of real coconut, natural bliss Toasted Coconut creamer invites coffee drinkers to break the day-to-day routine and take a moment for themselves as they enjoy the taste and smells of a tropical oasis.",Natural Bliss Expands Plant-Based Options
"Lewis Road Creamery is a New Zealand based dairy producer, famed for marrying the reinstatement of traditional dairy production, with forward thinking,...","February 5, 2019",https://www.drinkpreneur.com/wp-content/uploads/2019/02/www.drinkpreneur.com-croxsons-create-standout-glass-bottle-for-new-zealand-creamery-lewis-road-liqueur-both-lr.jpg,https://www.drinkpreneur.com/beverage-industry-news/packaging/croxsons-create-standout-glass-bottle-for-new-zealand-creamery/,"Lewis Road Creamery is a New Zealand based dairy producer, famed for marrying the reinstatement of traditional dairy production, with forward thinking, ethical decision-making. They have enlisted leading glass packaging company, Croxsons, with the task of introducing a glass bottle to their dairy liqueur product range.

Croxsons created a bespoke 700ml glass bottle to be used for Lewis Road’s ‘Kahlúa Cream – a coffee cream liqueur. The concept was adapted from an aluminum bottle previously used by the company.

The Lewis Road ethos is about doing things right, with a focus on sustainable packaging. Currently all their 1.5L and 750ml milk bottles are made with 100% recycled plastic packaging, which can keep being recycled after use. They are considering alternatives that will reduce their use of plastic, so Croxsons’ glass bottles could become the catalyst for more change.

Croxsons needed to match the baseline design of Lewis Road’s plastic bottles in a glass equivalent, and improve the quality of the embossment. The bottles were sprayed gold, reflecting a high value product whilst also providing the liquid with UV protection. The result is a standout, contemporary product that is still on brand with the rest of the range.

A 33mm GPI closure, in a special pantone gold, was specifically produced for this project. This spec was chosen for its easy application properties, comprehensive printing capabilities, and a well-proportioned mouth opening for the size of the bottle.

Croxsons’ James Croxson said: “In terms of delivery, we really pushed the limits of what is possible. Within forty-eight hours of starting the project, there was a concept and a drawing – which were signed off within another thirty-six hours. The bottles were manufactured within nine weeks, despite considerable hurdles with production and shipping. Regardless of the set backs, this is still a fantastic achievement in terms of turnaround time, which impressed the client immensely.”

Croxsons were able to add value to the concept by including the Lewis Road Creamery trademarked cow emblem to the base of the bottle – an inventive yet simple way of creating a more premium product.

James Croxson adds: “We are delighted to make a connection with such an innovative brand, and we are looking forward to continuing the relationship by developing other product lines in the future.”

Croxsons will be exhibiting at the forthcoming Packaging Innovations exhibition. It is being held at the NEC on the 27th and 28th February. They will be at stand E43.",Croxsons Create Standout Glass Bottle for New Zealand Creamery
"Caribou Coffee is proud and excited to release Amy's Blend 2019, a coffee that pays tribute to the company's first roastmaster, Amy Erickson, celebrating the...","February 11, 2019",https://www.drinkpreneur.com/wp-content/uploads/2019/02/www.drinkpreneur.com-caribou-coffees-amys-blend-2019-1-1.jpg,https://www.drinkpreneur.com/beverage-industry-news/marketing/caribou-coffees-amys-blend-2019/,"Caribou Coffee is proud and excited to release Amy’s Blend 2019, a coffee that pays tribute to the company’s first roastmaster, Amy Erickson, celebrating the way she lived and her enduring legacy of leadership. For 20 years now, Caribou has been celebrating Amy, who passed away from breast cancer in 1995, donating a percentage of Amy’s Blend sales to a charitable cause. Caribou Coffee is proud to announce it has partnered with Girls on the Run International on Amy’s Blend 2019, to continue telling Amy’s story while also supporting the next generation of female leaders. Click to view: Caribou Coffee Amy’s Blend Video

“Amy’s Blend has become a signature coffee that our guests look forward to every year, and this year we are also excited to launch a new line of beverages and products that we believe honor Amy’s spirit,” says Jenifer Hagness, VP of Global Marketing, Product & Merchandising at Caribou Coffee. “Amy was vibrant, energetic, and a true leader. Our partnership with Girls on the Run is a way to honor Amy, but also support young girls who will soon lead our coffeehouses, our communities and our world.”

Caribou Coffee will donate 10% of all sales of Amy’s Blend beans, specialty drinks and merchandise to Girls on the Run. Amy’s Blend coffee is available in light and dark roast 10-ounce packages for $9.99. Other items include shirts, drinkware and two specialty Caribou Coffee drinks: Pomegranate Acai Tea Latte with coconut milk and Matcha Tea Latte with coconut milk. Click to view: Amy’s Blend Pop Up Shop

“What a thrill to partner with Caribou Coffee,” says Theresa Miller, Chief Engagement Officer, Girls on the Run International. “We’re proud to be a part of a promotion that honors Amy, but also focuses on shaping the women of tomorrow to be joyful, healthy and confident.”",Caribou Coffee’s Amy’s Blend 2019
"Wabel Takes On Emerging Brands Wabel, the leading Private Label sourcing company in Europe, is delving into the world of brands - and in a big way. The young","February 14, 2019",https://www.drinkpreneur.com/wp-content/uploads/2019/02/www.drinkpreneur.com-introducing-up-drinks-a-new-b2b-matchmaking-event-and-network-for-emerging-beverage-brands-up-linkedin-social-white-drinks.png,https://www.drinkpreneur.com/beverage-industry-news/beverage-innovations/introducing-up-drinks-a-new-b2b-matchmaking-event-and-network-for-emerging-beverage-brands/,"Introducing UP DRINKS: A New B2B Matchmaking Event and Network for Emerging Beverage Brands

Wabel, the leading Private Label sourcing company in Europe, is delving into the world of brands – and in a big way. The young but fast-growing French company is on the lookout for innovative, breakthrough brands in the beverage industry that are looking to access the French and neighboring European markets. First stop, the prestigious Carrousel du Louvre on June 27th and 28th, where Wabel will be hosting their inaugural UP DRINKS, an exclusive B2B matchmaking event open to qualifying drink brands and 500+ on and off premise buyers.

UP DRINKS is not your typical trade event. Wabel utilizes their matchmaking expertise to organize and tailor 30-minute smart meetings between participating suppliers and buyers. Participation is subject to approval by a selection committee to ensure that all brands and buyers uphold the communicated values and trends, including but not limited to: Functionality, Sustainability, Healthfulness, Extreme Craft, Novelty and LoNo.

UP DRINKS is open to all alcoholic and non-alcoholic beverage categories with the exception of wine.

Are you an emerging unique beverage brand trying to find the right distribution partners in France, Germany, Benelux UK, Central and Eastern Europe? Do you wish to connect with specialized and premium European retail chains? Want to be in the next big Parisian concept store or referenced on the trendiest international e-commerce sites? Tell the Wabel team what makes your brand Upworthy at WABEL!",Introducing UP DRINKS: A New B2B Matchmaking Event and Network for Emerging Beverage Brands
"After counting down the end of 2018, revelers can ring in 2019 with 19-cent coffee and bottled water at participating 7-Eleven® stores. Good for a medium...","December 28, 2018",https://www.drinkpreneur.com/wp-content/uploads/2018/12/www.drinkpreneur.com-7-eleven-rings-in-2019-with-19-cent-coffee-1-1.jpg,https://www.drinkpreneur.com/beverage-industry-news/retail/7-eleven-rings-in-2019-with-19-cent-coffee/,"After counting down the end of 2018, revelers can ring in 2019 with 19-cent coffee and bottled water at participating 7-Eleven® stores. Good for a medium cup of fresh-brewed coffee or 1-liter bottle of 7-Select Pure water, the deal is available through the retailer’s 7Rewards® loyalty program on the 7-Eleven smartphone app. The coupon offer for each beverage is redeemable from 12:01 a.m. through 11:59 p.m. Jan. 1, 2019. One item each per customer.

“At 7-Eleven we want every customer interaction to be delightful and valuable, 7Rewards loyalty program does exactly that,” said Gurmeet Singh, 7-Eleven Chief digital officer and Chief information officer. “Customers can earn and redeem points when they check out and even engage in unique in-store experiences, such as augmented reality. At 7-Eleven we want to deliver products and experiences our customers want and deserve. As we all celebrate the new year, what better way to reward our customers than to give them valuable promotions on products they love.”

Enhanced with added minerals and electrolytes, 7-Select Pure Water is one of 7-Eleven stores’ best-selling bottled drinks. And coffee is the company’s best-selling beverage of all — selling 1 million cups a day. 7-Eleven was the first retailer to offer coffee in to-go cups, introducing them at its Long Island stores in 1965.

The 7-Eleven hot beverage bars offer lots of choices – flavored and exotic coffees, hot tea and hot chocolate. The featured hot beverage is Chips Ahoy Hot Chocolate, exclusively available at 7-Eleven stores. For no extra charge, customers can conveniently create their perfect cup with sweeteners, plain and flavored creamers, flavored syrups and toppings to suit their taste.

All coffee varieties, flavors and blends are exclusive, with roasting levels and specifications developed exclusively for the retailer. 7-Eleven continues to seek out responsibly sourced coffees – 100 percent of its Colombian beans are sourced from coffee-growers whose farms meet strict standards designed to protect the environment, conserve wildlife and protect local communities. Its Exclusive Blend coffee contains 30 percent of coffee beans that meet the same standard.",7-Eleven Rings in 2019 with 19-cent Coffee
"Clean Juice, the first and only USDA-certified organic juice bar franchise with stores sold in 21 states nationwide, will open its 50th store at a grand...","December 31, 2018",https://www.drinkpreneur.com/wp-content/uploads/2018/12/www.drinkpreneur.com-clean-juice-franchise-opens-50th-store-in-30-months-hcmp70007-137436.jpeg,https://www.drinkpreneur.com/beverage-industry-news/retail/clean-juice-franchise-opens-50th-store-in-30-months/,"Clean Juice, the first and only USDA-certified organic juice bar franchise with stores sold in 21 states nationwide, will open its 50th store at a grand opening event at Five Points Plaza in Nashville, TN on January 5, 2019. This on the heels of recently being named the Fastest Growing Franchise in Charlotte by the Charlotte Business Observer and a Top 100 Game Changer by Franchise Dictionary Magazine, a leading national publication for the franchising industry.

The 50th open store at Five Points-Nashville, owned and operated by Allen and Dawn Tyndall, will host a grand opening event at their store at 962 Woodland Street in the revitalized and trendy East side community. The event will feature exclusive grand opening discounts, free product sampling, attendance by several neighboring business, door prizes and more. The event will also feature a visit from “Iron” Michael Chandler Jr., a three-time Bellator Lightweight World Champion mixed martial arts fighter and owner of Training Camp Nashville.

“We are truly humbled and grateful for the opportunity to serve our guests in communities like Nashville with a high-quality, healthy and delicious organic product,” said Landon Eckles, Co-founder of Clean Juice along with his wife, Kat. “We are equally grateful for the entrepreneurial-spirited and dedicated franchise partners like the Tyndalls, for helping us grow and deliver products with a speed, a smile and a servant’s heart.”

Clean Juice continues its journey in becoming the world’s most plentiful juice bar by providing USDA-certified organic food and beverages to on-the-go guests while building meaningful relationships. The company sources only the highest quality, premium organic ingredients for its organic cold-pressed juices, smoothies, açaí bowls and some bites like Avocado Toast. Clean Juice aims to provide the perfect nutrition that comes only from organic food. When and if there is a sourced or seasonal product that cannot be found organically, each franchise location notifies guest through its “transparency board” in the front of all stores.

“Our company takes our ten foundational core values very seriously and each of them are equally important,” said Kat Eckles, co-owner and spouse to Landon, who also serves as Chief Branding Officer. “We believe that everything we do is for God and the key to success is building trust through transparency” she said.",Clean Juice Franchise Opens 50th Store In 30 Months
