abstract,date_published,image_link,link,text,title
"Hahn has launched Hahn Ultra Crisp – a full-strength 4.2% ABV, full-flavoured lager that is lower carb, 99% sugar free, preservative free and gluten free.","February 13, 2019",http://drinkscentral.com.au/ContentFiles/drinksBulletin/Images/hahn-gluten-free.jpg,http://www.drinksbulletin.com.au/latest-news?Page=1&Article=lion-to-release-gluten-free-hahn-ultra-crisp,"Hahn has launched Hahn Ultra Crisp – a full-strength 4.2% ABV, full-flavoured lager that is lower carb, 99% sugar free, preservative free and gluten free.

Created using what Lion describes as ""a ground-breaking multi-million dollar brewing process five years in the making"", the lager is brewed entirely from rice.

Endorsed by Coeliac Australia as gluten free and appropriate for those with coeliac disease, all the ingredients in Hahn Ultra Crisp are also naturally gluten free with additional testing ensuring no traces of gluten are present.

Michelle Laforest, Chief Executive Officer of Coeliac Australia said: “Australians with coeliac disease know they can trust a product to be genuinely gluten free when it is endorsed by Coeliac Australia. We congratulate Hahn for its innovation and for recognising the needs of the gluten free consumer.""

Jeff Potter, Lion’s Brewing Research and Development Director explained that the design of Hahn Ultra Crisp was driven by demand for great tasting beer that meets the evolving needs of Australian beer drinkers.

“There are some beers out there which use rice as part of the grain mix to balance the flavour, but we are the first in Australia to create a beer that is brewed entirely with rice, instead of grains like wheat or barley. The challenge for us was to work out how to make Hahn Ultra Crisp taste great without using the traditional grains which usually produce the flavours of beer as we know it.

“Once we figured that out, it was a matter of creating the perfect combination with aromatic hops and a specially chosen yeast, and the result is a crisp, dry beer with light citrus aromas and a clean finish that holds its own when it comes to flavour,” Potter said.

Amy Darvill, Lion's Brand Director for Classic and Contemporary beers said Hahn was excited to continue evolving to meet the needs of the modern beer drinker, and in doing so launching a product which will be truly incremental to the beer category.

“Just as the low carb beers like Hahn Super Dry did over 12 years ago, Hahn Ultra Crisp will change consumer expectations around beer and bring hundreds of thousands of Australians with a gluten intolerance into the beer category.

“Hahn has always been at the forefront of brewing innovation to create products that consumers want, including Hahn Premium, Hahn Premium Light, Hahn Super Dry and Hahn Super Dry 3.5. As much as we love these brands – they were all launched a long time ago. Our drinkers’ needs have changed, and we need to respond to them.""

Hahn Ultra Crisp is available from February 18 from leading retailers around the country. It will have an RRP from $17/330mL 6-pack and $47/330mL 24-case (plus CDS if applicable).",Lion to release gluten-free Hahn Ultra Crisp
"De Bortoli Wines’ rosé aficionados Leanne De Bortoli and Steve Webber have revealed the inspiration for their new sparkling rosé, La Bohème Cuvée Rosé.","February 14, 2019",http://drinkscentral.com.au/ContentFiles/drinksBulletin/Images/debortoli-sparkling-rose.jpg,http://www.drinksbulletin.com.au/latest-news?Page=1&Article=toast-valentines-day-with-de-bortoli-la-boheme-cuvee-rose,"De Bortoli Wines’ rosé aficionados Leanne De Bortoli and Steve Webber have revealed the inspiration for their new sparkling rosé, La Bohème Cuvée Rosé.

The pair had long aspired to create a sparkling rosé after enjoying some ‘posh Laurent Perrier Grand Cuvee Rosé’ many years ago.

""It was the best sparkling rosé that we had tried,"" said De Bortoli (pictured below with Webber). ""Since then, I have wanted us to create something similar.""

They believe they’ve cracked the holy grail with the pale, dry La Bohème Cuvée Rosé, which taps into Australia’s growing love affair with all things pink.

The La Bohème wine range is having its biggest year of growth, up 75.3% versus the previous year with all wines in the range in growth.

More recently, the sparkling rosé category is gaining traction ahead of total sparkling (+12.2% vs +6.9% in the latest MAT)*.

According to De Bortoli, La Bohème Cuvée Rosé is kept as pale and dry as possible and blended in batches or cuvées using vintage and reserve wines. This gives consistency to each bottling and enables the introduction of fresher wine over time for ultimate drinkability and complexity.

""Chardonnay, Pinot Noir and Pinot Meunier shape the wine, with Chardonnay giving the lovely breadiness, Pinot contributing toasty biscuit characteristics and Meunier giving generosity and complexity,"" she added.

De Bortoli said the wine makes the perfect toast on February 14.

""Who doesn’t love delicious pink bubbles to celebrate Valentine’s Day – they are made for each other!”

Forbes agrees, recently declaring: ""Given its colour - ranging from pink to copper to orange to salmon, and every shade in between - rosé Champagne has an allure - it's sexy and sensual, and no wonder it's the Champagne many turn to on Valentine's Day or any other day that romantic thoughts come to mind.""",Toast Valentine's Day with Australia's prettiest new wine
McWilliams Hanwood Estate Shiraz 2018 has won Australian Wine of the Year at the China Wine & Spirits Best Value Awards 2019.,"February 14, 2019",http://drinkscentral.com.au/ContentFiles/drinksBulletin/Images/best-value-Collage.jpg,http://www.drinksbulletin.com.au/latest-news?Page=1&Article=mcwilliams-hanwood-shiraz-2018-wins-best-value-wine-of-the-year,"McWilliams Hanwood Estate Shiraz 2018 has won Australian Wine of the Year at the China Wine & Spirits Best Value Awards 2019.

Fellow The Drinks Association member Australian Vintage's McGuigan Shortlist Cabernet Sauvignon 2016 won Coonawarra Wine of the Year, while its McGuigan Shortlist Shiraz 2016 won Barossa Valley Wine of the Year.

The China Wine & Spirits Best Value Awards is an annual Spring tasting event that showcases the best value wines across price levels. Wines are ranked and evaluated by price, with awards given to wines that represent the ‘Best Value’ in their price bracket. The competition is part of the China Wine and Spirits Awards – the biggest and most prestigious wine and spirit competition in Hong Kong and China.

Overall, Australian wines took home a haul of medals – beating out all other nations for the most double gold and gold medals at the event.

The Drinks Association members Australian Vintage, Taylors and McWilliams were among the top recipients.

Aside from its trophy winners, Australian Vintage also took home Double Gold for its McGuigan Handmade Shiraz 2015; Nepenthe Pinnacle Good Doctor Pinot Noir 2017; Nepenthe Pinnacle Gate Block Shiraz 2016; Nepenthe Altitude Pinot Noir 2016; and Nepenthe Altitude Tempranillo 2016.

McWilliams won additional Double Golds for its McWilliams Hilltops Shiraz 2017 and McWilliams Hilltops Cabernet Sauvignon 2016.

Also Taylors took out Double Golds for 2017 Taylors Wines Estate Shiraz; 2017 Taylors Wines Estate Cabernet Sauvignon; and 2018 Taylors Wines Estate Sauvignon Blanc.

“As one of the largest and fastest growing wine markets for imported wine, it’s very exciting to know that Chinese palates recognise Australia as leaders in producing wines of great quality across all price points and regions,"" said Taylors MD Mitchell Taylor (above). ""Our Estate wines, which received three double gold medals at the competition, are the core of our business and it’s exciting to be recognised among the best at this prestigious competition.”",Australia's Best Value Wine of the Year 2019
Treasury Wine Estates has revealed it's entering the beer business and negotiating to acquire two French vineyards as it expands its reach in the US and China.,"February 14, 2019",http://drinkscentral.com.au/ContentFiles/drinksBulletin/Images/crimes-twe.jpg,http://www.drinksbulletin.com.au/latest-news?Page=1&Article=treasury-wine-estates-to-launch-19-crimes-beer-range,"Treasury Wine Estates has revealed it's entering the beer business and negotiating to acquire two French vineyards as it expands its reach in the US and China.

The brewing announcement marks a return to the fold for TWE, which was spun out of Foster’s Group eight years ago.

The hugely popular 19 Crimes wine brand is poised to launch three craft beers in the US in March — an American India pale ale, a pilsner and a lager.

The beers will be tested in Ohio initially and, if successful, will expand to more states in the US.

An 1869 Irish whiskey is also in the works, with a July launch planned.

TWE CEO Michael Clarke noted during an earnings call today that ""the spirits components from 19 Crimes is going to be big and profitable"".

The Irish whiskey segment is booming, with sustained double digit sales growth. The industry had another record year of export growth in 2018 with the value of exports increasing by €45 million to €623 million.

The 19 Crimes label had been the fastest-growing wine brand in the US over the past three years. It's in its sixth year of ""phenomenal growth"" in the US, with dollar sales increasing by over 70% in the past year.

The decision to broaden the brand into beer and spirits was prompted by liquor retailers asking for 19 Cimes to be expanded to include other beverages.

Meanwhile, Clarke revealed that the company is poised to acquire up to two small wineries in France along with premium vineyards to assist in its push into China.

""We're in dialogue with two to three parties,"" Clarke said.

TWE plans to launch a portfolio of three French-made wines, one of which will be branded Penfolds. The other two French wines will be part of the existing Maison de Grand Esprit and a French version of its Californian premium brand Beaulieu Vineyard.

Previously, the Maison de Grand Esprit brand used wine sourced from external vineyards.

""In order to really have a serious platform that we can grow our French portfolio from, we don't want to use other people's infrastructure to do everything,"" Clarke said. ""We want our infrastructure, we want a permanent team on the ground and the beauty is you can also have visiting winemakers, especially from Australia, going to France because it's contra season obviously, for two different vintages.""

Clarke added that the French wine category makes up 30-40% of the total wine market in China and the company is keen to secure a larger piece of the action.

""The French category, in particular, is one where we see huge opportunity to win share,"" he noted.

TWE announced this morning that its net sales revenue is up 16% to $1,507.7million, representing the largest organic growth rate in the company's history. Overall, the Asian region was the standout performer, with EBITS growth up 31% to $153.1 million.

French brand portfolio net sales revenue in Asia was up 111%.

""The fundamentals of the Asian wine market as a whole remain enormously attractive, and we are not seeing a slowdown in demand for our brands,"" Clarke said.

""We also see tremendous opportunity to expand our penetration into more cities and across more partners in China. We have an ambition to expand our presence and availability by more than 50% in the next three years.""",TWE to launch 19 Crimes beer range
Victorian craft brewery Southern Bay has had a social media ad banned by ABAC.,"February 09, 2019",http://drinkscentral.com.au/ContentFiles/drinksBulletin/Images/southern-bay.jpg,http://www.drinksbulletin.com.au/latest-news?Page=2&Article=southern-bay-tweet-banned-for-breaking-advertising-code,"A Victorian craft brewery's social media post has been banned by ABAC.

The Twitter post by Geelong's Southern Bay Brew Co showed a 1950s style image of a man in a suit drinking a glass of beer with the message “there’s nothing wrong with you that me drinking six beers can’t fix”.

A complaint to the ABAC said “six beers is clearly in excess of responsible drinking practices”.

Southern Bay Brewery said it outsourced its social media to a “contracted media company based in Tasmania” and that the post was intended to be humorous, rather than offering serious advice.

“We do not believe the post suggested that the consumption of six beers suggested it would change the person’s tolerance of another individual,"" the company said. ""We believe the post relates to a more relaxed outlook. It certainly would not contribute to any significant change in behaviour.”

The Australia’s Responsible Alcohol Marketing Code ruled that the tweet implied people should use alcohol to “overcome a deficit” and implied it is acceptable to use excessive alcohol consumption to deal with difficult situations.

However, ABAC ruled that the message did not encourage excessive drinking.

The image has since been deleted from Southern Bay Brew Co’s Twitter account.",Brewery tweet banned for breaking advertising code
"Pernod Ricard is celebrating its fastest profit growth in seven years for H1 FY19, however there were declines in Australia.","February 11, 2019",http://drinkscentral.com.au/ContentFiles/drinksBulletin/Images/jacob's%20creek%20sparkling.jpg,http://www.drinksbulletin.com.au/latest-news?Page=2&Article=results-decline-for-pernod-ricard-australia-due-to-new-wine-strategy,"Pernod Ricard is celebrating its fastest profit growth in seven years, with sales for H1 FY19 totalling €5,185million and organic growth of +7.8%.

Pernod Ricard chief executive Alexandre Ricard said: “We had the best first half since 2011. Our performance is accelerating. My priority is to create durable value and I hope this will please all our shareholders.”

While East Asia growth was a stand out, with acceleration of 16% due to 28% growth in China and 24% growth in India, the picture wasn't as rosy in Australia.

""As for Australia, declines are driven by the wine portfolio due to the implementation of our value strategy and some destocking of one of our customers,"" Ricard said. ""Jameson, The Glenlivet, Ballantine's and Kahlúa by the way, are all performing quite strongly.""

The company noted that a decline in the UK was driven by Jacob’s Creek reviewing its approach in UK, turning its focus to higher styles.

However, Ricard said there was ""continued a very strong development in Asia"" for Jacob's Creek, where China and India both saw double-digit growth.

Meanwhile, Brancott Estate suffered a decline driven by Australia and New Zealand, in a ""very competitive environment"".

Ricard also noted: ""Strategic Wines are down 8%, direct consequence of the implementation of our value strategy. We do expect a stronger H2. We have, as you can see, a very strong price and mix, up 4%. Some comparable technical reasons for Campo Viejo to be down 9% over the first half. It was up 23% a year ago.""

The growing apertif market has been a boon for Pernod Ricard, with Lillet up 38% globally and seeing double-digit growth in all regions.

Martell was also a strong performer, up 23%. Drinks Trade's 2019 Hottest 100 Brands recently revealed it was the fastest growing cognac in Australia in 2018, accelerating five times faster than the cognac category.

Jameson was up 8%, while Scotch whiskies were up 9% and Monkey 47 was up 21%.

 Beefeater was up 9%, with all regions performing strongly and good development of Beefeater Pink, particular in the UK. 

 Mumm sales accelerated 2%, driven by Americas and Asia-Rest of World, most notably in the US and China. Meanwhile Perrier-Jouët: was up 12%, with all regions performing strongly.

H1 FY19 was the first semester of Pernod Ricard's new Transform & Accelerate three-year plan.

""Now looking forward, which is what we really like to do in Pernod Ricard, we have clearly worked on a strategic plan, a three year strategic plan called Transform & Accelerate, which is basically aiming at leveraging our successful strategy,"" Ricard noted. ""Remember, our business model, consumer-centric, consumer-obsessed model, driven by a consumer occasions-based obsession with four key fundamentals: operational excellence; talent development; sustainability and responsibility; Route-to-market, route-to-consumer. And our four key accelerators with our portfolio management: premiumisation, luxury, innovation, and finally, digital acceleration.""

Ricard pledged to lift the group operating profit margin by 50 to 60 basis points per year, provided it could deliver annual organic sales growth of 4 to 7%.

He also promised to deliver an additional €100m in cost savings by 2021, after stripping out €200m in the previous three years.

 “My ruthless focus is to deliver this plan, transform and accelerate,” said Ricard. Having the backing of a family shareholder with a long-term vision, “is a huge competitive advantage”.

 When asked whether Pernod Ricard would consider selling off its lower-margin wine or champagne businesses as a way to boost profitability, Ricard said: “We’re going to continue doing bolt-on acquisitions like we’ve done in the recent past . . . and if we believe some brands no longer have a real strategic value, we will sell them.”

Pernod Ricard looks to China and India for future growth

Ricard revealed that the company expects middle and affluent consumers in China to grow by roughly 100 million by 2021.

""We have that ambition as industry leaders in China to double the industry penetration rate by 2025,"" he said. ""We have a leadership position in China, with roughly 45% market share and a second-to-none route-to-market. We said it three and half years ago, when China was in double-digit decline, it is a market that can sustainably grow high single, low double.""

As for India, Ricard said: ""Well, the legal drinking age population is increasing by roughly 20 million a year. In addition to that, urbanization's rates, which is exactly where we operate in India, are accelerating. And in addition to that, GDP is growing 6%, 7%. So these three key elements lead us to believe as well, as we said it three years ago, that India can grow sustainably low double digit. There'll be better years, there'll be worse years, but overall, the dynamics are there.""

Globally, Ricard is thinking big. He said: ""In 2018, for the first time in human history, the middle-class population now represents more than half of the total world population. We expect an additional two billion middle-class people by the end of 2030, globally. Our current growth engines in terms of the major emerging middle class are China, India and Eastern Europe. Our medium-term growth engines from a middle-class point of view, which will accumulate with China, India and Eastern Europe, are Latin America, specifically, Brazil, Mexico and some Southeastern Asian market. And our very long-term growth engine will be Sub-Saharan Africa. We're investing there for the very long term. It's a 15-year view.""","Wine down, whiskey up for Pernod Ricard Australia"
Jenna Hemsworth from Sydney's Restaurant Hubert has won the Australian final of the BACARDÍ Legacy Global Cocktail Competition 2018/19.,"February 05, 2019",http://drinkscentral.com.au/ContentFiles/drinksBulletin/Images/jenna-2.jpg,http://www.drinksbulletin.com.au/latest-news?Page=3&Article=jenna-hemsworth-wins-australian-final-of-bacardi-legacy-cocktail-competition-2018-2019,"Congratulations to Jenna Hemsworth on winning the Australian final of the BACARDÍ Legacy Global Cocktail Competition 2018/19.

The big night was held at the Museum of Contemporary Art to coincide with Founders Day – a date that celebrates the legacy and fearless journey of our Bacardi family over the last 157 years.

Hemsworth’s drink, The Monarch, was judged not only on its ingredients and methods used to create a cocktail for the ages, but also her expertise in promoting the drink to the public.

In the end, Hemsworth’s inspired use of BACARDÍ Carta Blanca coupled with a flair for promotion both on and off stage won the judges over.

Hemsworth - who is based at Sydney’s Restaurant Hubert - is now looking forward to representing Australia on the global stage in Amsterdam in May. She's won an all-expenses-paid journey to compete against the best bartenders from 48 countries globally, and potentially etch her country’s name into the bartending history books.

BACARDÍ Brand Ambassador Loy Catada (above) said of the evening, “Seeing the four competitors going head to head under such high pressure is truly inspiring. Their passion for creating a legacy of their own shone brightly, and the judges had their work cut out for them picking a winner.” 

 

 The Monarch

Method: Shake all ingredients hard to properly infuse the peel and release the basil oils. Double strain and garnish with a young basil sprig.",Jenna Hemsworth named Australia's best bartender
"Jimmy Watson Trophy winner Mike Farmilo has just launched Altero, a range featuring Italian and Spanish styles.","February 05, 2019",http://drinkscentral.com.au/ContentFiles/drinksBulletin/Images/alterno-2-Collage.jpg,http://www.drinksbulletin.com.au/latest-news?Page=3&Article=former-penfolds-winemaker-mike-farmilo-launches-altero-wines,"The charming, rustic decor of Pasta Emilia was the perfect setting for the launch of Altero wines last night.

Guest of honour was the talented alchemist behind the label, former Penfolds winemaker Mike Farmilo (pictured above).

Farmilo, who has more than 40 years’ industry experience and has twice been awarded the prestigious Jimmy Watson Trophy, was a wonderful host, proudly presenting the four Italian and Spanish varietals that have been grown and made in South Australia’s Fleurieu Peninsula.

Drinks Bulletin was fascinated to discuss the range with the down-to-earth winemaker.

“The Fleurieu Peninsula is surrounded by water, with the Southern Ocean on one side and the Gulf St Vincent on the other, so it’s the Australian region with the closest climate to the Mediterranean,” he explained. 

 Farmilo believes the Fleurieu has the best conditions to grow the finest alternative varietals in South Australia.

 “These wines show the character and style of their home countries,' he said. ""They have bright fruit characters with minimal oak, and are made to be enjoyed fresh.”

Set in Sydney's Surry Hills, Pasta Emilia is a traditional and organic Italian restaurant featuring a menu of pastas, roast meat and fish.

According to Christine Ricketts, Cellar Director for wine retailer Cellarmasters, the Altero wines are the perfect pairings for food.

“These are elegant wines with a lovely balance and layered structured,"" she said. ""Although they have fruit flavours, these wines have more savoury notes, like traditional Italian and European wines.""

The wines are available exclusively through Cellarmasters for $14.99 per bottle (in case).",Former Penfolds winemaker releases Mediterranean-style range
A beer delivery is among the casualties as truckies are stranded in North Queensland during flooding.,"February 06, 2019",http://drinkscentral.com.au/ContentFiles/drinksBulletin/Images/creek-walkabout.jpg,http://www.drinksbulletin.com.au/latest-news?Page=3&Article=beer-truckies-stranded-in-flooded-queensland,"A beer truck has been stranded in Longreach as heavy rain continues to fall in North Queensland.

Truckie Michael Patch was heading to Darwin earlier this week with his precious cargo when flooded roads prevented him from travelling north.

He told ABC News it’s likely the beer will be stuck there for a week or more.

“They’ll be all thirsty up there,” he said.

About 25 trucks are delayed in the Queensland town, as flooded roads prevent them from travelling north. Meanwhile, hundreds of truckies were stranded at Charters Towers after the Burdekin River burst its banks.

In some towns there has been a silver-lining to the situation, with Woolies and Coles donating stranded perishables to hungry locals. Walkabout Creek Hotel publican said Frank Wust told The North Queensland Register: “The Woolies and Coles trucks were going to Darwin and they reckoned the food would be out of date before they got there now, and they would have had to write it off.

“There’s packaged steak, chicken pieces, you name it – it’s just like everything you’d see on the shelves in a supermarket.”

Ironically, however, the pub’s beer resupply truck was stranded at Winton.

“We’ll just drink something else when the beer runs out,” Wurst said.

Coles chartered a plane to Cairns on Sunday to bring supplies to the region.

A Coles spokeswoman told the Cairns Post half the load would be trucked to Townsville on “recently reopened roads”.

“We are also investigating alternative delivery routes with trucks from Adelaide and Darwin on the roads to deliver to other flood-impacted areas of Far North Queensland,” they added.

The one-in-100-year weather event is far from over with the Bureau of Meteorology warning more heavy rain is likely from Palm Island, north of Townsville, south to Mackay today.

Woolworths had five delivery trucks en route to Cairns parked in Ingham over the weekend waiting for tidal flooding to subside.

“Road situations have been challenging and we are looking at every avenue possible to get stock into our stores …” Woolworths Northern Queensland operations manager Tina Anandji said.

It secured a barge in Mackay and fillled it with 300 tonnes of groceries while also chartering two planes.

Both supermarkets are expected to charter more planes over the next few days to ensure supplies to affected towns.

A Carlton & United Breweries spokesman told NT News its beers were still able to travel to Darwin, so thirsty Darwinites shouldn’t be too afraid.

In other tragic news, two men drowned in a stormwater drain earlier this week in Townsville. Police who had been searching for the men after an attempted break-in at a nearby Dan Murphy's liquor store at 3am on Monday.",Beer truckies stranded in flooded North Queensland
Pinnacle Drinks is expanding awareness of its John Boston private label beer brand with a cheeky new ad campaign.,"February 07, 2019",http://drinkscentral.com.au/ContentFiles/drinksBulletin/Images/john-boston-3.jpg,http://www.drinksbulletin.com.au/latest-news?Page=3&Article=pinnacle-drinks-launches-ad-campaign-for-john-boston-beer,"Pinnacle Drinks is expanding awareness of its John Boston private label beer brand with a cheeky new ad campaign.

The campaign includes posters on train station platforms that detail the journey of the man who inspired the beer, supported by digital out-of-home and social.

John Boston landed on Australian shores more than 200 years ago and crafted Australia’s first beer in 1796 using corn, bittered with love-apple stalks. But, when it failed the taste test of local guards in Old Sydney Town, Boston jumped ship to America. Sadly, he never made it, as he was eaten by cannibals somewhere in the South Pacific.

M&C Saatchi chief creative officer Cam Blackley said the campaign is about celebrating a legend and the quality beer,"" he explained.

“John Boston’s story is about as outrageous as it is unknown. We know that he was among the first brewers in Australia and that his original beer was eye-wateringly bad.

“In fact, we know that the man failed at everything he did except dying in an incredibly interesting way. But he had this quality that is hard not to admire – he got back up and tried again every single time. This campaign is about celebrating a legend and the quality beer that remembers his gumption.”

Rachel Hofman, marketing manager at Pinnacle Drinks, added: “The result is a compelling brand platform which fully embraces John Boston’s cheeky, tell-it-how-it-is tone of voice to share the brand story, delivering visually impactful tailored messages on targeted platforms. The take-out overall is engaging and witty creating talkability.""",Pinnacle Drinks launches ad campaign for John Boston beer
