abstract,date_published,image_link,link,text,title
Heineken 2018 results shows an increase in global beer sales across all regions in its earning report with an increase of 6.1%.,13 February 2019,https://www.drinks-insight-network.com/wp-content/uploads/sites/23/2019/02/heineken.jpg,https://www.drinks-insight-network.com/news/heineken-results-2018/,"Dutch brewer Heineken, the maker of Europe’s top-selling lager, has announced that beer sales increased across all regions in its 2018 earnings report.

Net revenue before exceptional items and amortisation (beia) increased to 6.1%, while total consolidated volume increased by 4% and revenue (beia) per hectolitre increased by 2%.

Consolidated beer volume grew by 4.2% in 2018, with a 4.5% growth in Q1 and 4% growth in Q2. Beer volume increased in Q4 to 3.3% against a comparable base of Q4 results of 4.6% in 2017.



Heineken volume grew to 7.7%, its strongest performance in more than a decade. The volume of Heineken sold in Brazil, South Africa, Russia, the UK, Nigeria, Mexico, Poland and Germany doubled in growth.

The international brand portfolio grew in double digits for Tiger, Desperados, Birra Moretti and Krusovice beers.

Cider volume increased to 5.6 million hectolitres in 2018 compared to 4.9 million in 2017. In the UK, volume grew to mid-single digits, while outside the UK volume reached more than 2 million hectolitres.

Low and no-alcohol sales increased from 12.5 million in 2017 to 13.1 million in 2018, which the company attributed to the success of its alcohol-free Heineken 0.0 product.

Heineken CEO and chair of the executive board Jean-Francois van Boxmeer said: “In 2018 we delivered another year of superior top-line growth. The Heineken brand grew 7.7%, its best performance in over a decade, with Heineken 0.0 now available in 38 countries.

“Our premium portfolio grew [by] double digit[s], led by our international brands, craft and variety and cider portfolios. All regions grew and Brazil recorded a strong performance following the successful integration of our two businesses.

“Our operating profit margin (beia) decreased by 17bps due to the first time consolidation of Brazil, rising input costs and adverse currency developments. A key milestone in 2018 was the announcement of the strategic partnership with CRE to join forces in China, a big opportunity for both companies, which is pending regulatory approval.”

Heineken expects 2019 growth to be driven by volume, price and premiumisation. It also forecasts an average interest rate (beia) in line with 2018 results at 3.2%.",Heineken records global beer sales growth in 2018 report
"Crown Royal, a blended Canadian whisky owned by Diageo,is set to launch a Peach flavored whisky next month.",14 February 2019,https://www.drinks-insight-network.com/wp-content/uploads/sites/23/2019/02/RoyalPeachTea_1549915011091-HR.jpg,https://www.drinks-insight-network.com/news/diageoscrown-royal-flavored-whisky/,"Crown Royal is set to launch a peach-flavoured whisky next month.

This limited-edition beverage is claimed to combine the brand’s smooth whisky with the sweetness of Georgia peaches.

It combined this peach flavour with vanilla and light notes of warm spice and oak.



Diageo North America whiskey senior vice-president Sophie Kelly said: “As a leader in the whiskey business, Crown Royal continues to take pride in ensuring we are ahead of the trends and creating high-quality products that help feed whiskey drinkers’ desire to experiment.

“Crown Royal continues to take pride in ensuring we are ahead of the trends and creating high-quality products that help feed whiskey drinkers’ desire to experiment.”

“Crown Royal Peach is the perfect limited-time offering because the taste is undeniably delicious, great for summertime occasions, on the rocks or mixed with iced tea.”

With 35% alcohol-by-volume (ABV), Crown Royal Peach flavoured whisky is packed in a glass-cut bottle and will be available in the brand’s signature box and bag.

Beginning March this year, the peach-flavoured whisky will be available for purchase at a suggested retail price (SRP) of $24.99 for a 750ml bottle.

In May last year, Crown Royal released a limited-edition bottle of Crown Royal Texas Mesquite.

The beverage combines the smoky flavour of Texas mesquite wood with the smoothness of Crown Royal De Luxe.

Diageo offers a range of brands, including Johnnie Walker, Crown Royal, Bulleit and Buchanan’s whiskies; Smirnoff, Cîroc and Ketel One vodkas; and Captain Morgan, Baileys, Don Julio, Tanqueray and Guinness.",Diageo’s Crown Royal unveils limited-edition peach-flavoured whisky
,14 February 2019,,https://www.drinks-insight-network.com/news/mmi-undertakes-100m-cost-and-margin-improvement-programme/,"Müller Milk & Ingredients (MMI) has launched a £100m cost and margin improvement programme called Project Darwin to transform its fresh milk business.

The project will review MMI’s operations, logistics and administrative organisation to simplify the business, cut costs and improve customer focus and accountability.

MMI CEO Patrick Müller said: “Fresh milk is loved by British families with 96% of UK households having milk in their fridges.



“But the market environment has changed significantly due to global dairy market volatility, the decline in consumption and changes in retailing and we need to adapt and return to sustainable levels of profitability so that fresh milk can continue to be part of the fabric of British life.”

“The market environment has changed significantly due to global dairy market volatility, the decline in consumption and changes in retailing.”

The 12-month cost and margin improvement programme is already underway, assessing manufacturing, logistics, products, procurement, people and customer relationships. It is expected to help create a sustainable future for the business while benefiting consumers, customers, employees and farmers.

Müller further added: “Project Darwin is about adapting to the changing market environment, becoming a customer-centric, agile and simpler business.

“This transformation programme will inevitably require tough decisions and a great deal of change but when Project Darwin succeeds, consumers, customers, employees and farmers will benefit, and we can again look forward to a vibrant and progressive future.”

In December 2018, Müller completed a £15m project to substantially upgrade its Scottish fresh milk dairy in Bellshill. This project secured 265 jobs.",MMI undertakes £100m cost and margin improvement programme
Canadian public company Big Rock Brewery has expanded its Rock Creek Cider family with the launch of a new Rosé Cider in the market.,12 February 2019,https://www.drinks-insight-network.com/wp-content/uploads/sites/23/2019/02/1.jpg,https://www.drinks-insight-network.com/news/big-rock-brewery-cider/,"Big Rock Brewery has expanded its Rock Creek Cider portfolio with the launch of Rosé Cider.

The new beverage has been crafted using freshly pressed apples that are sourced from the Okanagan region in British Columbia, Canada.

With 5.4% of alcohol-by-volume (ABV), the pink-hued dry cider is made using a combination of European apple varieties, including Bulmer’s Norman, Belle de Boskoop and Bramley.



These are combined with champagne yeast, cinnamon, vanilla and ginger.

“The taste is crisp and clean, with apple, strawberry, floral notes and a nice effervescence.”

Big Rock Brewery brewmaster Paul Gautreau said: “I’m excited for our Rock Creek Cider fans to try this new recipe. The taste is crisp and clean, with apple, strawberry, floral notes and a nice effervescence.”

Rosé Cider is claimed to be a gluten-free drink that will be available for a limited time at Rock Creek’s Calgary brewery beer shop and select liquor stores across Alberta, British Columbia and Saskatchewan.

Big Rock Brewery marketing director Susanne Fox said: “In a beautiful clear flint glass bottle, it’s as fancy or laid back as you want it to be.

“Think cocktail parties, brunches, lunches, backyard gatherings, or just enjoying a great tasting drink on your favourite patio on a sunny spring afternoon.”

Established in 1985 by Ed McNally, Big Rock currently brews in Calgary, Alberta, Vancouver, British Columbia, and Toronto, Ontario.",Canada’s Big Rock Brewery launches Rock Creek Rosé Cider
"US-based VitaCup has launched its Genius Blend coffee in bags, expanding its product offerings beyond pods.",12 February 2019,https://www.drinks-insight-network.com/wp-content/uploads/sites/23/2019/02/vitacup.jpg,https://www.drinks-insight-network.com/news/vitacup-expands-product-offerings/,"US-based VitaCup has launched its Genius Blend coffee in bags for use in drip coffee makers.

Usually available in pods, Genius Blend will become the company’s first functional coffee product to be offered in a ground, bagged format.

VitaCup founder and CEO Brandon Fishman said: “Our customers asked for ground coffee and we listened.



“The company claims that its new medium-roast coffee is produced from Arabica beans sourced from Mexico and Brazil.”

“The response to our ‘better for you brews’ of functional coffees in pods has been tremendous, but we recognise that many coffee drinkers prefer to brew their own. We want them to enjoy the benefits Genius Blend has to offer too.”

The company claims that its new medium-roast coffee is produced from Arabica beans sourced from Mexico and Brazil.

It delivers medium chain triglyceride (MCT) oil, turmeric and cinnamon, as well as VitaCup’s blend of vitamin B (B1, B5, B6, B9 and B12), D3, and free-radical neutralising antioxidants, which are claimed to improve metabolism, energy levels and immune health.

The new Genius Blend format can be purchased through the company’s website at a price of $19.99 for a 12oz bag.

Over the next few months, the coffee company is also planning to release the rest of its functional coffees in bags. It will also launch the Probiotic Blend to promote gut health; and Slim Blend for balance and metabolism; and Beauty Blend, which contains collagen, biotin (B7), folic acid (B9) and cinnamon.",VitaCup offers Genius Blend coffee in bags
Valentine's Day spending 2019 to increase as GlobalData has predicted consumers will be spending over £1bn on valentine's gifts.,12 February 2019,https://www.drinks-insight-network.com/wp-content/uploads/sites/23/2019/02/Heart.jpg,https://www.drinks-insight-network.com/news/valentines-day-spending-2019/,"Data and analytics company GlobalData has predicted Valentine’s Day spending in the UK will be worth over £1bn this year – up to 0.7% higher than in 2018.

Retailers are appealing to shoppers by offering romantic Valentine’s meals that can be made at home to avoid expensive takeaways or busy dining-out experiences. Supermarkets such as Morrisons, Tesco and Waitrose are offering three to four-course meals with a bottle of wine or fizz for £20 and under.

Valentine’s Day gifts remain the largest category in the market, with analysts predicting it to grow by 0.5% this year. The increase in spending is driven by food and drink gifts with these items being more affordable than accessories such as leather goods, which are predicted to decline in popularity in 2019.



GlobalData analyst Zoe Mills said: “Consumers want to participate in this event, however, for many, spending on dining out and a lavish gift is not affordable. This is a positive result for retailers who may be seeing a lull in footfall after the busy Christmas peak.

“The focus on product quality among the discounters is forecast to hinder growth in the food and drink market as shoppers trade down, however growth in this category remains robust at 1.3% in 2019, compared to +1.5% in 2018.

“For many shoppers, a Valentine’s Day gift is a token of affection rather than an extravagant expense, and as such, the average amount spent on gifts is much less than spent on other events such as birthdays and Christmas. Key gifting categories will be jewellery, particularly for female recipients, and food and drink gifts such as the traditional box of chocolates and items such as Champagne or Prosecco.

“Retailers should highlight different price points in their Valentine’s Day gifting ranges to ensure customers can find an option that is affordable for them.”

According to retail and shopper marketing agency Savvy, retail sales will reach £853m, an increase of 7.8% from 2018, with % of consumers saying they do not mind spending more to make Valentine’s Day special for their partner.

CEO of point-of-sale specialist Ecrebo David Buckingham commented: “Seasonal events such as Valentine’s Day provide a prime opportunity for retailers to drive footfall and increase sales. However, it’s important not to forgo personalisation in favour of mass promotions. All year round rewards are one of the things that keep customers coming back. As a result, there should be a balance between delivering day-to-day value and event-driven promotions.”",UK consumers set to spend more this Valentine’s Day: GlobalData report
Tate & Lyle along with Sweet Green Fields has launched a new research project to assess the sustainability of the stevia sweetener supply chain.,13 February 2019,https://www.drinks-insight-network.com/wp-content/uploads/sites/23/2019/02/SGF-stevia-variety.jpg,https://www.drinks-insight-network.com/news/tate-lyle-earthwatch-and-sweet-green-fields-launch-stevia-sustainability-project/,"Global ingredients solutions provider Tate & Lyle has launched a new research project with its stevia partner Sweet Green Fields and non-profit organisation Earthwatch.

The new project will assess the sustainability of the stevia sweetener supply chain.

Stevia is a naturally sourced low-calorie sweetener that is used by beverage and food producers as a sugar alternative. These substances also lower the calorie content of products.



Tate & Lyle sweetener platform innovation and global marketing vice-president Abigail Storms said: “As a leading provider of stevia to the food industry, Tate & Lyle wants to ensure that using stevia in greater quantities in the future as a replacement for sugar is a responsible choice for Tate & Lyle, as well as a healthy choice for consumers around the world.”

“Stevia farming is a key economic activity in many areas in China and a rapidly growing global ingredient for sugar replacement.”

Earthwatch will lead the stevia supply chain review, identifying steps that would ensure the regular incorporation of sustainable growing practices and the optimisation of socio-economic benefits.

Tate & Lyle, Sweet Green Fields and Earthwatch will use the research insights to establish sustainability best practice across its supply chains.

The majority of stevia used in Tate & Lyle and Sweet Green Fields’ products is grown in China. Earthwatch-led scientists have already started ground research in the country to evaluate the socio-environmental impacts of stevia production.

The non-profit organisation also plans to engage with a wide range of stakeholders in the stevia supply chain, from seedling producers to family-run planters and industrial farms.

Earthwatch senior research manager Steven Loiselle said: “Stevia farming is a key economic activity in many areas in China and a rapidly growing global ingredient for sugar replacement. By working with local scientists and experts within China we are developing new knowledge for both Tate & Lyle, the broader stevia industry and local communities.”","Tate & Lyle, Earthwatch and Sweet Green Fields launch stevia sustainability project"
"The UK unit of Carlsberg has revitalised its flagship beer in the country with a new, better Danish Pilsner brand in the country.",13 February 2019,https://www.drinks-insight-network.com/wp-content/uploads/sites/23/2019/02/carlsberg-bottle-with-hops-_hi-res.jpg,https://www.drinks-insight-network.com/news/carlsberg-uk-danish-pilsner/,"Carlsberg has released new beer variant Danish Pilsner to the UK market.

The company claims that its new beer will enhance the consumer drinking experience while minimising environmental impact.

Carlsberg claimed that every aspect of the beer has been improved, from the choice of ingredients to the brewing process.



Carlsberg UK marketing vice-president Liam Newton said: “In launching our new, perfectly balanced Carlsberg Danish Pilsner, we’re toasting the brewing passion of our founder J.C. Jacobsen and his legacy of pursuing better, which started over 170 years ago.

“Some of the most popular and recognisable beers, like Carlsberg Danish Pilsner, will continue to represent the biggest segment in UK beer in five years’ time and therefore remains crucial to the health of the beer category overall.”

“Aroma hops with citrus and floral top notes give a greater depth of flavour.”

“In recent years, we have reinvigorated our premium Carlsberg Expørt and we’re now committed to enhancing every aspect of the Carlsberg Danish Pilsner drinking experience, ultimately encouraging the trade and beer drinkers to re-appraise our brand.”

The new Carlsberg Danish Pilsner will be available from March this year, supported by a multi-million-pound investment and new visual identity.

The company noted that with 3.8% alcohol-by-volume (ABV), Carlsberg Danish Pilsner has been rebrewed to offer a smooth beverage that balances bitterness and sweetness while retaining the light, refreshing qualities of its predecessor.

Carlsberg UK master brewer Bhavya Mandanna said: “Our new Pilsner has a fuller body and a perfect balance of bitterness and sweetness made possible through modifications to our brewing process and the addition of bittering hops in the brewhouse.

“Aroma hops with citrus and floral top notes give a greater depth of flavour whilst maintaining the light and refreshing qualities of Carlsberg. The result is a smooth, perfectly balanced, Danish Pilsner.”

Carlsberg intends to elevate the consumer drinking experience around Carlsberg Danish Pilsner with a new stemmed glass featuring a tapered top and a ZerO₂ cap, which helps preserve the freshness of the beer.",Carlsberg UK unveils new Danish Pilsner
Carlsberg profits has risen in 2018 after the increase in sales of low-alcohol beer after the help of the hot summer and World Cup.,7 February 2019,https://www.drinks-insight-network.com/wp-content/uploads/sites/23/2019/02/carlsberg-1.jpg,https://www.drinks-insight-network.com/news/carlsberg-profits-rise/,"Global brewery group Carlsberg has seen its net revenue rise by 3% for the year, the first time the company’s sales have risen in the last three years.

The brewery recorded net revenues of DKK 62.5 billion ($9.53bn)across 2018, from its core and craft beer brands such as Tuborg and Kronenbourg as well as its low-alcohol and non-alcoholic drinks.

The company said that warm weather in Western Europe and the 2018 World Cup were contributing factors to the 3% net revenue rise and 3.6% sales volume growth in the region over the year



Sales volumes also rose by 19% in Indiaand 15% in China, while revenue increased by 3% in Russia.

Carlsberg launched Birell as the Group’s ‘first global alcohol-free drink’ in 2018. The company’s overall alcohol-free beer portfolio grew by 33% in Western Europe, while its Balitka 0 brand increased by 35% in Russia.

The beermakers’s annual financial report showed the Carlsberg Group sells around 75% of its volumes in 25 markets across Western Europe, Asia and Eastern Europe. In Western Europe, the company improved its margins and grew operating profit organically by 15%, while in Asia it accelerated organic growth through premiumisation by 13.3%.

Carlsberg CEO Cees’t Hart says: “We delivered a strong set of results for 2018. In line with our ambitions for SAIL ’22, we accelerated top-line growth, improved margins, delivered a strong cash flow and reduced debt even further. At the same time, we invested significant resources in our brands and activities, and we continue to target top-line growth and profit improvement in the coming years.

“We’re pleased that, on the back of the strong results, the Supervisory Board will recommend a 13% increase in dividend to DKK 18 per share and initiate a share buy-back programme of DKK 4.5bn, leading to cash returns to shareholders for the year of DKK 7.2bn.”

Carlsberg grew its operations by investing in a 28.5% stake in Super Bock Group owner Viacer, the acquisition of a majority stake in Cambodian brewer Cambrew Limited, and the full acquisition of Olympic Brewery -the second-largest brewer in Greece.",Carlsberg sees rise in low-alcohol sales and net revenues in 2018
Blood Orange flavoured gin will be launched next month as consumers are increasingly asking for more of the flavoured beverage.,12 February 2019,https://www.drinks-insight-network.com/wp-content/uploads/sites/23/2019/02/gin.jpg,https://www.drinks-insight-network.com/news/blood-orange-flavoured-gin/,"Pernod Ricard-owned Beefeater Gin has launched a new blood orange flavour, capitalising on the growing trend for fruit-flavoured gins. Beefeater Blood Orange will be available in the UK and Ireland next month.

The new flavour idea has come from founder James Burrough who made his first orange gin from London’s Covent Garden fruit market. Beefeater Blood Orange is made in London under instruction from Master Distiller MBE Desmond Payne.

According to consumer insights company Nielsen, flavoured gin sales have increased by 457% in value in the last year, representing 28% of total gin sales. Drinks International Annual Brands report 2018 states Beefeater is the most popular gin brand amongst bartenders and is growing at 404.1% volume in off-trade sectors.



Wine and Spirits Trade Association’s (WSTA) end of year report, 66 million bottles of gin were sold in the UK in the last 12 months. This is 41% more than sales in 2017, selling a total of £1.9bn in the UK.

WSTA’s results found that flavoured gin has driven over half of all gin growth particularly pink gin in the UK.

Wine and Spirit Trade Association chief executive Miles Beale said: “Gin is once again breaking records helped by our innovative distillers who have introduced an exciting array of new flavoured, pink and more traditional gins this year.

“The popular new products combined with a fantastic long hot summer and the excitement of the World Cup has helped boost the category beyond all predictions. It was only a few months ago that we announced that gin sales at home and abroad had broken the £2bn mark.”

Flavoured gin made £165m during the last 12 months, increasing sales by 751% on the previous year.",Beefeater blood orange gin taps into UK flavoured gin market
