abstract,date_published,image_link,link,text,title
,"November 9, 2018",https://www.drinkstuff-sa.co.za/wp-content/uploads/Fitch-Leedes-Blue-Tonic.jpg,https://www.drinkstuff-sa.co.za/fitch-leedes-launches-new-blue-tonic/,"Fitch & Leedes Blue Tonic from Chill Beverages International is the latest variant of its popular brand of craft tonics and other mixers to hit the shelves.

“Fitch & Leedes understands that drinking a G&T or cocktail is not only about great taste but should be pleasing to all the senses, treating true blue aficionados to a feast for the eye, nose and palate,” goes the press release.

“Whiffs of juicy blueberry and hints of cardamom entice, while the vivid blue colour adds a captivating twist to every gin or vodka cocktail.

“Priding itself as the understudy to greatness, Fitch & Leedes tonics accentuate the botanical character and subtle notes of premium gins and spirits.

“The captivating Blue Tonic is delicately carbonated and finely balanced to ensure the best taste representation of what was intended by the master distiller.

“This noble blue tonic goes down smoothly when paired with juniper forward, citrus infused or floral gins. It also stands tall when paired with vodka, especially the wide selection of fruit infused vodkas.

“The vibrant Fitch & Leedes Blue Tonic is the perfect companion for any upbeat sundowner session. It also hits the spot on its own over ice as a trendy alcohol-free alternative.”

Fitch & Leedes can be found at leading purveyors of fine beverages, boutique wine shops, selected deli’s, fine dining establishments and cocktail bars.

It sells at a RSP of R50 for a 6-pack of 200ml cans or R52 per 4-pack of 200ml glass bottles.",Fitch & Leedes launches new Blue Tonic
,"November 18, 2018",https://www.drinkstuff-sa.co.za/wp-content/uploads/Schweppes-labels.jpg,https://www.drinkstuff-sa.co.za/coca-cola-confesses-and-remedies-its-schweppes-labelling-blunder/,"In a savvy bit of social media marketing, drinks brand Schweppes has lampooned itself in a Twitter advert after months of complaints from consumers who hated a new bottle branding change that created confusion when buying soda and tonic water.

Schweppes now admits that was “not our brightest moment”.

From the senior brand manager, Mukundi Munzhelele, who came up with the bright idea, to marketing manager, Nerisha Maharajh, who signed off on it, various staffers took it on the chin and lampooned themselves for the mistake in the social media ad.

“The complaints we received were passionate and heartfelt,” Munzhelele says. “It was only fair to them (customers) that the actual people who worked on the campaign not only see the responses, but respond in a manner that was fitting.”

According to Munzhelele, the team wanted to modernise the labels. But a change in colour caused a lot of confusion.

Schweppes changed the colour of its soda water branding on its bottles to grey, which made it look like its tonic water labels. It has now changed the labels – tonic water is yellow, and soda water has a stripe of grey.

“We took some time to look at our packaging with the feedback received from consumers and decided not to simply revert to the previous design,” says Munzhelele.

The response sat well with many consumers who applauded the brand for taking responsibility, such as this one.",Coca-Cola confesses and remedies its Schweppes labelling blunder
,"November 21, 2018",https://www.drinkstuff-sa.co.za/wp-content/uploads/Durban-Poison-Distell.jpg,https://www.drinkstuff-sa.co.za/distell-to-distribute-cannabis-lager-for-poison-city-brewing/,"JSE-listed beverages group, Distell, has agreed to distribute and market a cannabis-infused beer backed by RCL Foods CEO, Miles Dally, and Spar CEO, Graham O’Connor.

Distell, the producer of Nederburg wines and Klipdrift brandies which has no beers in its portfolio, reached a “distribution support” agreement with Poison City Brewing, said the craft brewer’s co-founder, Graeme Bird.

Poison City Brewing started selling a lager containing hemp — a variety of the cannabis sativa plant that is devoid of mind-altering ingredients — in major liquor chains in September. The launch coincided with a Constitutional Court ruling that effectively decriminalised the private use of cannabis in SA.

Bird said a distribution partnership was necessary because demand for the brewer’s Durban Poison Cannabis Lager had “overwhelmingly exceeded capacity”.

The agreement would allow Poison City Brewing to meet demand for the beer through both formal and informal channels.

“Distell, as one of the leading liquor beverages companies in SA, has a powerful route-to-market platform and will step change our consumer and market reach,” Bird said.

In late October, Distell reported that revenue in the first quarter of its 2019 financial year was flat because volumes were slightly lower. Nevertheless, the company’s shares have climbed 11% since the trading update.

Often through partnerships, global beverages companies are dipping their toes into the burgeoning cannabis market, which received a major lift in October when Canada legalised the recreational use of the plant.

The world’s biggest brewer, AB InBev, said in October it was keeping a close eye on the cannabis market. “Recent trends in Canada and in certain US states toward legalisation of recreational marijuana are an important development — not only for us as a beer company but for society as a whole,” the group said.

In August Constellation Brands, which makes Corona beers in the US, invested another $4bn into Canadian marijuana company Canopy Growth.",Distell to distribute cannabis lager for Poison City Brewing
,"November 21, 2018",https://www.drinkstuff-sa.co.za/wp-content/uploads/Ibhayi-new-line.jpg,https://www.drinkstuff-sa.co.za/sab-invests-r438-million-in-new-production-line-at-port-elizabeth-brewery/,"SAB invests R438-million in new production line at Port Elizabeth brewery

SAB-AB InBev Africa has delivered a strong vote of confidence in Port Elizabeth’s vibrant manufacturing industry with the launch of a brand new R438-million ($30-million) production line at its Ibhayi Brewery based in the coastal town’s industrial area of Perseverance.

The multi-million rand investment is over and above the Public Interest Commitments (PIC) made by AB-InBev to the South African government at the time of its business combination with SABMiller at the end of 2016.

The PIC involves AB InBev investing R1-billion in South Africa over the next 5 years in the areas of Agriculture, Entrepreneurship and Societal Benefits.

“Fixed investment which leads to confidence is one of the key components needed to drive economic growth in a country. In turn, this helps to create jobs and encourages foreign investment, which is not going to happen if domestic investment does not take place.”

“At the onset of the global business combination between SABMiller and AB InBev the agenda was one of growth and investment. A commitment was made to grow and make a real difference in South Africa and this commitment has been accelerated through the investment at Ibhayi Brewery,” says Ricardo Tadeu, Zone President, SAB and AB InBev Africa.

“It is an important vote of confidence in the beer category and the South African economy at large.”

The new 6000m2 line adds an annual capacity of 500 000 hectolitres to the current approximate 1.8-million hectolitre capacity of Ibhayi Brewery for 2018/2019.

There are now a total of two production lines at the Port Elizabeth based brewery.

The full capability of the new line is to produce an additional 1.8-m bectolitres of beer per year, which would bring Ibhayi Brewery’s annual capacity to close on 3.6-m hectolitres of beer when in full operation.

The new line has created employment for 14 people, mostly women, who operate the line over several shifts. Another 40 people are expected to be employed when the line operates at its full capacity and volumes are increased over the coming years.

Ibhayi Brewery now employs a total of 152 people, operating the two production lines over several shifts.

The new line currently produces SAB’s recently introduced 1-litre Castle Lager and Carling Black Label returnable glass bottles at 34 500 bottles per hour.

It is expected that Castle Lite’s 910ml returnable glass bottle will run on the line from early 2019.

In addition to these brands, Ibhayi Brewery produces Hansa Pilsner, Castle Milk Stout and Lion Lager.

The Ibhayi Brewery warehouse is also being expanded to accommodate the increased volume being produced with the introduction of the new packaging line, adding another 2000m2 to the plant.

“This investment will empower our employees to do what they do best – brewing the best quality beer, innovating and ensuring that we do so in a way that will drive sustainable growth,” says Tadeu.

The construction of the new line at Ibhayi Brewery began in March this year and was completed in seven months. It officially went online and produced its first batch of beer in October.

This is the third expansion investment at its South African breweries in two years.

In mid-2017, SAB invested R2.8-billion in expansions at its Gauteng-based breweries, Alrode in the south of Johannesburg and Rosslyn outside of Pretoria. The expansions included a new packaging line for returnable glass bottles at both breweries and a brewhouse at Rosslyn. Approximately 70 additional full-time jobs were created.

In addition to this investment, a new greenfield malting plant was recently built at Alrode Brewery at a cost of R1.2-billion, expanding malting capacity by 110 0000 tonnes of malt to 150 000 tonnes of malt produced a year.

Previously, SAB would import 60% of its malt requirements and the new plant has decreased this figure to close to 0%. The new maltings plant has seen an additional 28 new jobs created.",SAB invests R438-million in new production line at Port Elizabeth brewery
,"November 27, 2018",https://www.drinkstuff-sa.co.za/wp-content/uploads/fdt-Africa-2018-1.jpg,https://www.drinkstuff-sa.co.za/the-technology-of-food-and-drink-in-focus-at-fdt-africa-2019/,"The technology of food and drink in focus at fdt Africa 2019

food & drink technology Africa (fdt Africa) will return to Johannesburg next year, bringing with it an extended expo focus and thus much more value to exhibitors and visitors…

Presented by leading international trade fair organiser, Messe Muenchen South Africa, fdt Africa will be staged at the Gallagher Convention Centre from July 9-11, 2019.

For the first time, it will be co-located with IFAT Africa – the premier environmental technology trade fair for water, sewage, refuse and recycling, as well as analytica Lab Africa, the international trade fair for laboratory testing, analysis, biotechnology and diagnostics.

fdt Africa covers the entire food and beverage process chain – from raw materials and processing through to packaging and logistics.

Now, with the event’s co-location with IFAT Africa and analytica Lab Africa, delegates will also be able to explore lab equipment, analysers and services, as well as water and waste processing and treatment technologies, all under one roof.

Messe Muenchen South Africa’s co-location of these three events maximises the overlaps and synergies between the three sectors, giving an expected 6 000 visitors access to the latest technologies across the entire value chain, including solutions to key industry concerns such as quality assurance, packaging, environmental issues and waste management technologies.

fdt Africa has renewed its supporting partnership with Food SA in 2019, increasing the industry focus on the food sector.

Additional highlights at fdt Africa includes a knowledge-sharing forum and a B2B matchmaking area for key decision-makers, manufacturers, new business owners and agro-business stakeholders.

Exhibition space is still available to leading food and drink technology manufacturers and solution providers wanting to participate in fdt Africa 2019.",The technology of food and drink in focus at fdt Africa 2019
,"November 28, 2018",https://www.drinkstuff-sa.co.za/wp-content/uploads/Van-Loveren-Almost-Zero.jpg,https://www.drinkstuff-sa.co.za/van-loverens-almost-zero-wine/,"Robertson-based family-owned wine farm, Van Loveren, is a noted wine innovator – with its latest release being Almost Zero, a new lower-kilojoule summer drink with close to no alcohol.

The beverage is crafted from Sauvignon Blanc wine with the alcohol removed, making it ideal for those who enjoy sipping on some vino but would prefer to forgo the after-effects.

Almost Zero has less than 0.5% alcohol – the same as the alcohol-free beers on the market. It also has 75% fewer kilojoules than a normal glass of wine.

On the palate, the drink reveals flavours of apple, litchi and a little citrus. It’s best served chilled and can be enjoyed by itself or paired with summer fare like seafood and salads. 

 

 Almost Zero sells for R65 and will be available in retail stores countrywide.",Van Loveren’s Almost Zero Wine
,"November 30, 2018",https://www.drinkstuff-sa.co.za/wp-content/uploads/Schweppes-mix-up.jpg,https://www.drinkstuff-sa.co.za/another-coca-cola-packaging-blunder-in-the-wake-of-schweppes-mea-culpa/,"Another Coca-Cola packaging blunder in the wake of Schweppes’ mea culpa?

Coca-Cola SA’s recent public apology for the soda-tonic labelling blunder on its Schweppes range of mixers has been hailed by marketing analysts… BUT, the company now stands accused of a similar gaffe with other brands that could have some dangerous consequences.

Angry consumers have taken the company to task on social media about its new packaging for Coke, Stoney and Sprite where its hard to distinguish the difference between regular and sugar-free variants.

But where the soda-water confusion was just irritating, a mix-up in these other Coca-Cola brands could be deadly for diabetics.

There’s been no public word as yet on this issue from the company.

Meanwhile consumer journalist/bloggist, Megan Power, has some good insights on these two stories here in her “Power Report”….

An interesting thing about the recent Schweppes soda-water ‘apology’ is that nowhere in the actual 1 minute 16-second video posted on social media does the word “sorry” appear. But it doesn’t matter. What Schweppes has successfully done — something many brands find so hard to do — is own up to its blunder publicly and fix it. Customers loved it….

But the Schweppes mea culpa shouldn’t be seen as a clever piece of spin that’s earned the brand and its agency some temporary kudos. It goes further than that. The more a brand successfully navigates the little bumps on the road, the more prepared it is to cope with the big crises when they happen, and the more receptive and understanding its customer base becomes.

Slip-ups, if managed well, present opportunities to strengthen trust, credibility and goodwill with customers, and should be embraced. It’s the regular deposits into the goodwill bank that pay off when something much bigger breaks.

Another win is that when businesses do right by their customers, they set precedent which raises the bar for all future customer engagements. In Schweppes’ case, Coca-Cola (which owns the brand) will now be held to a higher standard across all its brands.

It’s already happening to Coke. As with the soda-tonic fiasco, Coke’s new packaging for regular Coke and its sugar-free variants are just as indistinguishable, and causing much upset. But where the soda-water confusion was just irritating, a mix-up in Coke brands for diabetics could be deadly.

Consumers, who have already taken to social media to protest and warn Coke of dire consequences if diabetics suffer, expect the brand to take stock — and action. Just like it did in the Schweppes situation. Except, this time, they’ll want a bit more urgency.

Companies shouldn’t think they’re able to pick and choose which complaints they’ll entertain, and when. And certainly not a company which has just spent time and money owning up in a very public way to a fairly innocuous issue….

The Power Report: Read the full article here",Another Coca-Cola packaging blunder in the wake of Schweppes’ mea culpa?
,"December 6, 2018",https://www.drinkstuff-sa.co.za/wp-content/uploads/Chateau-del-Rei.jpg,https://www.drinkstuff-sa.co.za/chateau-del-rei-bubbly-in-a-can/,"Stellenbosch’s Chill Beverages has launched into the alcoholic arena with Chateau Del Rei, is a new sparkling wine conveniently packaged in a can.

The bubbly is made primarily of Chenin Blanc grapes with a dash of intense Muscat for extra fruitiness.

Chateau Del Rei is lightly sparkling and naturally sweet, with its low alcohol content of 7%. It’s thus described as “fruity and vibrant” and “an easy-drinker”.

Consumers will find new Chateau Del Rei at trendy city hang-outs as well as leading stores retailing at a RSP of R74.99 for a 6-pack or R13.99 per can.

>Wine in cans still represents only a few percentage points of the global market, but sales have exploded in the past few years in many countries.

Canned wine has been marketed primarily for summer, because of its portability and, well, maybe also the ability to disguise what you’re drinking in public places. Wine bottles are conspicuous on the beach and elsewhere, after all.

Cans are ideal for fresh, unpretentious wines, such as rosé. And they have aided the return of wine coolers and spritzers, low-alcohol wine-based beverages that are also on a big growth curve.",Chateau Del Rei bubbly in a can
,"December 13, 2018",https://www.drinkstuff-sa.co.za/wp-content/uploads/ProPak-2019.jpg,https://www.drinkstuff-sa.co.za/the-future-of-all-things-packaging-at-propak-africa-2019/,"The future of all things packaging at Propak Africa 2019

Africa’s leading packaging, food processing, plastics, printing and labelling exhibition will be taking place at the Expo Centre in Nasrec, Johannesburg, from 12-15 March 2019.

A renowned local and international brand, the industries it represents have come to count on Propak Africa for its showcase of the latest innovations and technologies, sustainable packaging initiatives, and the most cutting-edge machinery and equipment.

Many new products and services will be launched at the show, with machinery on display for the first time in South Africa.

“Propak Africa is the place to be to see the future of all things packaging,” says Sven Smit, Event Director for Propak Africa.

“Effective, striking and sustainable packaging has never been more important and all the latest innovations will be on show across Propak Africa and co-located shows FoodPro, Pro-Plas Expo, Print Expo and Pro-Label Africa.

“Our aim is to showcase the latest developments across the full industry life-cycle – from the raw materials, to packaging, storage and transport, and finally, recycling and waste management.

“In addition to the interactive product displays, live demonstrations, advice provided by the technical experts on the stands and several exciting new initiatives will benefit visitors to Propak Africa 2019,” adds Smit.

“For the first time ever there will be free-to-attend seminars taking place daily at the show. These will be presented by expert speakers and the content will be aligned to the show’s ‘four days, four themes’ topics. The themed days are also part of our new initiatives.”

The new Seminar Theatre will take place in Hall 7 and visitors will be able to attend as many of the seminars as they choose, free of charge.

These are some of the topics that will be available to visitors:
• The New Dimension in Digital Printing

The new themed days will see day one focusing on new products; day two will centre on sustainability; day three will put the spotlight on skills development; and day four will be a ‘Local is Lekker’ day, where the South African Propak Africa brand and local manufacturers and products will be celebrated.

“Other new initiatives will include a Wi-Fi Café in Halls 5 and 7 which will provide free Wi-Fi connectivity as well as charging stations to allow visitors the opportunity to charge their devices,” says Smit.

“We are also in the process of finalising a skills development area and conversations are taking place around the possibility of having CPD-accredited courses alongside the exhibitions.

“There will also be a display of the Institute of Packaging SA’s Student Goldpack Award-winning products – a window to future innovation. A Propak Africa App has also been developed to keep visitors updated prior to and during the show.”

More knowledge and industry insights will be available to delegates as they listen to top industry speakers who will be presenting at several conferences taking place alongside Propak Africa.

These will include an IPSA Think Tank, Printing SA and South African Institute of Printing (SAIP) Conference, South Africa Plastics Recycling Organisation (SAPRO) Indaba, and a Packaging Innovation & Sustainability Conference.

For further information and online visitor registration, visit www.propakafrica.co.za",The future of all things packaging at Propak Africa 2019
,"January 27, 2019",https://www.drinkstuff-sa.co.za/wp-content/uploads/Distell-Premium-Wine-Co.jpg,https://www.drinkstuff-sa.co.za/distell-launches-premium-wine-company/,"Wine and spirits producer Distell has launched a stand-alone company specifically focused on the premium and super-premium wine category, adding some significant corporate muscle behind SA’s efforts to raise its global wine profile.

The new company, Libertas Vineyards and Estates, will remain wholly owned by Distell and be the custodian of the company’s premium wine brands, including Allesverloren, Nederburg, Plaisir de Merle and Zonnebloem.

The move is just a step in a journey that began in 2017 when, to shock and horror, Distell culled its portfolio of wine brands, selling venerable names like Le Bonheur and Uitkyk and exiting complicated partnerships.

Historically Distell has managed its premium wines as a division within the company, alongside ciders, ready-to-drinks and mainstream wines.

“There is recognition that the category is challenging and inherently complex and requires a specialist focus, different culture and entrepreneurial approach,” says Kay Nash, MD of the new business (left).

“Premium and super premium wines as a category are growing strongly around the world. In the US this category grew by 8% plus last year.”

Distell has established Libertas as a separate commercial and legal entity with the iconic Oude Libertas site designated the new home of premium wine in Stellenbosch.

“We have started the premiumisation journey at all levels in the business from fine wine skills to brands and brand experiences, portfolio structures, ways of working and new collaborations, and global routes to market,” says Nash.

She believes the move out of Distell, and the formation of an independent board of directors comprising industry leaders, will support real focus on the premium and fine wine category while benefiting from the scale that Distell brings in critical parts of the value chain.

Distell’s premium wine brands grew by 11.6% in 2018. In the latest annual report CEO Richard Rushton noted that this “affirms our renewed focus on this segment”.

Wine (premium and mainstream combined) contributed 28% of group revenue in the last financial year.

“Premium wines turned over about R1-billion last year. In the context of group revenues of R24-billion, we are a drop in the ocean,” says Nash.

“This is a good move,” says Chris Logan of Opportune Investments, who has long called for Distell to bring a commercial focus to its premium wine business.

“Distell will be tiny when compared to other luxury players like LMVH which has a market cap 81 times that of Distell. But that does not mean the task is impossible.”

He cites the example of Australian firm Treasury Wine Estates, run by SA-born Michael Clarke, who turned the company into one of the world’s biggest and most profitable wine businesses in just four years.

“Of course Treasury has the benefit of strong government support and duty-free access to the Chinese market, which Distell does not necessarily have. But a narrow focus on premium wines is an important starting point,” he says.

Nash does not necessarily agree that bigger is better. “Being well formed, profitable and considered is a better ambition than just big. Big is less important.”

While Distell’s Rushton noted in the last annual report that the company aimed to triple Distell’s premium wine volumes within the next decade, Nash is loathe to discuss specific targets, saying that actions speak louder than words.

“Everyone is asking me – can you make money in this industry? The business is profitable and a good contributor, but not as profitable as it could be. My job is to improve the margins. We have a five-year view on how we will do this.”

With an entrepreneurial and marketing background, Nash joined Distell a year ago to spearhead the change. She has extensive local and international experience in business and marketing strategy.

The company will tackle the task in phases.

The first priority in the short-term, Nash says, is to critically review the large portfolio.

“We have eight brands and 40 sub-brands operating in 88 markets globally across 22 grape varietals, and spanning 384 SKUs. The cost of this complexity is significant and it hinders our ability to focus and support winning propositions.”

In addition, the company has started to consolidate the secondary production from four sites to a single site at Nederburg to ensure a more efficient supply chain.

“We also understand the critical importance of our farms and partners in making beautiful wines and we want to actively participate in developing solutions and the upskilling of our industry so we can build a sustainably successful premium wine industry.”

Other plans include redefining the Nederburg Auction as platform from which to showcase South Africa’s important fine and rare wine wines locally and globally.",Distell launches premium wine company
