abstract,date_published,image_link,link,text,title
"JM Smucker’s Canadian subsidiary will invest $9.1m in its Sherbrooke, Quebec, manufacturing facility to increase condensed milk output.","February 13, 2019",https://www.foodbev.com/wp-content/uploads/2019/02/JM-Smucker.jpg?x21220,https://www.foodbev.com/news/jm-smucker-to-upgrade-quebec-facility-with-9-1m-investment/,"JM Smucker’s Canadian subsidiary will invest CAD 12 million ($9.1 million) in its Sherbrooke, Quebec, manufacturing facility to increase condensed milk output.

Smucker Foods of Canada said the investment, which is supported in part by funding from the Canadian Ministry of Agriculture, will be used to upgrade equipment that will allow the facility to boost its flexibility and the variety of products produced.

The Sherbrooke facility produces Carnation evaporated milk and Eagle Brand sweetened condensed milk products for Canadian consumers.

Smucker said the improvement will also lead it broadening its sourcing of domestic milk in Canada.

“This investment will go a long way toward solidifying our long-term presence in Sherbrooke,” said Aurelio Calabretta, vice president and general manager for Smucker Foods of Canada.

“Through this initiative, we will be able to introduce new packaging capabilities previously unavailable to us in Canada.”

Lawrence MacAulay, Canada Minister of Agriculture, said: “The Government of Canada is proud to contribute to the modernisation and competitiveness of the dairy processing industry, helping it grow and prosper.

“We are committed to ensuring our world-class dairy processors stay on the cutting edge and continue to meet growing consumer demand for high-quality products while creating well-paying jobs for Canadians.”

Smucker began offering products in Canada in 1988 and today has offices in Sherbrooke, Montreal, Markham, Brampton and Calgary. The business offers brands such as Bick’s, Double Fruit, Five Roses, Folgers, Jif, Meow Mix, Milk-Bone and Nature’s Recipe.

Last year, JM Smucker offloaded its US baking business to private equity firm Brynwood Partners in a $375 million deal.

The transaction included products sold in US retail channels under the Pillsbury, Martha White, Hungry Jack, White Lily, and Jim Dandy brands, along with all relevant trademarks and licensing agreements.",JM Smucker to upgrade Quebec facility with $9.1m investment
"Coca-Cola Amatil’s Fijian business Paradise Beverages will release a new lemon-infused beer, as it targets drinkers who wouldn’t usually consider a beer.","February 12, 2019",https://www.foodbev.com/wp-content/uploads/2019/02/Fiji-Gold.jpg?x21220,https://www.foodbev.com/news/paradise-beverages-releases-fiji-gold-moli-lemon-infused-beer/,"Coca-Cola Amatil’s Fijian business Paradise Beverages will release a new lemon-infused beer, as it targets drinkers who wouldn’t usually consider a beer.

Called Fiji Gold Moli, the brew will be available in Fiji in the coming weeks in 6- and 24-pack cans, with draught to follow.

The release follows Paradise’s introduction of Vonu Original in 2012 and Vonu Export in 2016 and, according to the company, it is one of a number of new styles in the innovation pipeline at its brewery in Suva, Fiji.

Mike Spencer, Paradise Beverages general manager, said: “Fiji Gold Moli is a refreshing, lemon-flavoured take on the nation’s favourite brew, Fiji Gold, which we launched back in 1998 and became an instant hit.”

He added: “We recognise that Fijian tastes are changing. Consumers are looking for different beer styles to those that we’ve traditionally produced. Lemon-flavoured beers are on trend worldwide and we’re backing Moli’s refreshment and clean, crisp taste to be a hit in Fiji.”

Rowena Taito, Paradise Beverages general manager of marketing and new product development, said the company worked hard to perfect the beer.

“Moli is made in the same way as Fiji Gold, but its refreshing, smooth and zesty flavour stands on its own as the perfect celebration for all life’s savoured moments.

“We believe the flavour of Fiji Gold Moli will appeal to traditional Fiji Gold drinkers and prove a winner with drinkers who wouldn’t usually consider a beer. Plus, because it’s made in the same way as Fiji Gold, it’s also got the benefit of being lower in calories than other lagers.”

Paradise Beverages was purchased by Coca-Cola Amatil in 2012 and has since undergone a FJD 60 million ($28.1 million) capital investment and capability programme.",Paradise Beverages releases Fiji Gold Moli lemon-infused beer
US food company Starkist has announced the expansion of its range of Tuna Creations single-serve pouches with new variants inspired by Asian flavours.,"February 12, 2019",https://www.foodbev.com/wp-content/uploads/2019/02/Starkist.jpg?x21220,https://www.foodbev.com/news/starkist-adds-to-tuna-creations-line-with-asian-inspired-flavours/,"US food company Starkist has announced the expansion of its range of Tuna Creations single-serve pouches with new variants inspired by Asian flavours.

The three new, lightly seasoned tuna flavours – bold spicy Korean style with gochujang, bold red curry with coconut, and ginger sesame – will be available in the shelf-stable seafood section in select US retailers.

Starkist said the range’s packaging features a tear-open and no-drain design, making it easy to enjoy the products from the pouch or added to a simple meal.

Andy Mecs, vice president of marketing and innovation at Starkist Co, said: “Starkist is constantly driving innovation when it comes to new flavour profiles. By introducing bold seasonings to our premium tuna, our consumers enjoy the health benefits of seafood with a kick of flavour.

“Our on-the-go pouches have become an everyday staple, and by adding exciting, internationally inspired new flavours, we’re providing consumers with a quick and easy way to amplify their meals.

“At Starkist, we’ve built on the convenience momentum by launching our web store, where consumers can combine their favourites like the Chicken Creations bold buffalo style flavour, with ones they’ve never tried before, like the Tuna Creations ginger sesame pouch, into one, personalised multi-pack.”

In total, Starkist has a portfolio of 23 flavours of Tuna, Chicken and Salmon Creations. The Chicken Creations line was launched last year, with four flavours available: chicken salad, buffalo style, zesty lemon pepper, and ginger soy.",Starkist adds to Tuna Creations line with Asian-inspired flavours
"JBS USA will invest nearly $20m to expand its Plumrose USA prepared foods business in Ottumwa, Iowa, to meet growing demand for bacon products.","February 12, 2019",https://www.foodbev.com/wp-content/uploads/2017/09/Pork.jpg?x21220,https://www.foodbev.com/news/jbs-usa-invests-20m-to-expand-plumrose-processing-site-in-iowa/,"JBS USA will invest nearly $20 million to expand its Plumrose USA prepared foods business in Ottumwa, Iowa, to meet growing demand for bacon products.

The expansion includes additional bacon processing and slicing capacities, bacon equipment upgrades and new slicing equipment. It is expected the upgrades will be completed by 2019, creating 25 new jobs.

Built in 1976, the Ottumwa facility produces more than 1 billion pounds of fresh pork and bacon products per year.

Last year, JBS appointed former Kraft-Heinz executive Thomas Lopez to lead Plumrose.

“Today’s announcement demonstrates our continued commitment to the Ottumwa community and reinforces our strategy to grow our business through key customer partnerships,” he said.

“This significant investment will create more opportunities for local producers, strengthen our leading portfolio of high-quality, value-added pork products, and support the growth aspirations of key customers.”

JBS bought Plumrose USA from Danish Crown in 2017 in a deal worth $230 million. At the time of the acquisition, the business had annual net revenues of around $500 million.

Plumrose offers an array of branded, prepared foods, including bacon, hams, sliced deli meats and cooked ribs.",JBS USA invests $20m to expand Plumrose processing site in Iowa
"Huhtamaki has developed a new line of paper straws, including several size variants in addition to the standard 7.3mm diameter version.","February 12, 2019",https://www.foodbev.com/wp-content/uploads/2019/02/Huhtamaki-paper-straws.jpg?x21220,https://www.foodbev.com/news/huhtamaki-launches-line-of-paper-straws-invests-to-increase-output/,"Huhtamaki has developed a new line of paper straws after having invested in new, purpose-built machinery.

The straws, which are available in various sizes, are made of fibre from sustainably managed forests and 100% of the paper used in the products and in their wrapping is certified by the Programme for the Endorsement of Forest Certification (PEFC).

Finland-headquartered Huhtamaki said the straws have been tested and certified for food safety in Europe, China and the US.

Last year, the European Union agreed to ban a range of items made from plastic as of 2021, including straws, cutlery, cups, drink stirrers, and sticks for balloons.

Huhtamaki is now expanding its paper straw manufacturing capacity into “key markets across Europe and globally”.

Neal McCone, of Huhtamaki’s foodservice Europe-Asia-Oceania business segment, said: “Our paper straws are crafted to be strong, reliable and functional. We have invested in new, purpose-built machinery to deliver premium product quality. We are confident that we can offer paper straws that are durable and superior in performance compared to the current market offering. Our straws are also both odour and taint free.

“In addition to new machines, we have also invested into new manufacturing setups for paper straws. We look forward to the opportunity to offer a sustainable choice, grow the market and be the leading supplier. With our initial output, we are serving McDonald’s in the UK and across Europe as one of their main suppliers.”

The launch comes after a range of companies – including Coca-Cola Amatil, McDonald’s, Diageo and Pernod Ricard – have pledged to reduce or eliminate their use of plastic straws.

Companies are responding to heightened consumer concerns about the impact of non-biodegradable plastic on the environment and oceans.","Huhtamaki launches line of paper straws, invests to boost output"
"Danone will begin incorporating 'smart caps' into its Spanish mineral water brand Font Vella, allowing consumers to track their levels of hydration.","February 12, 2019",https://www.foodbev.com/wp-content/uploads/2019/02/Screenshot-130.png?x21220,https://www.foodbev.com/news/danone-adds-hydration-coaching-cap-to-font-vella-bottled-water/,"Danone will begin incorporating ‘smart caps’ into its Spanish mineral water brand Font Vella, allowing consumers to track their levels of hydration.

Dubbed Coach2O, the widget will monitors consumers’ water intake and “coach them towards adequate hydration”, Danone said.

It works by clipping onto the existing bottle cap (ensuring no contact between the water and the device) and recording the volume of water taken in by the consumer. It can also remind people to drink using a discreet series of ‘blinks’ – and comes complete with an accompanying app that allows consumers to set daily hydration goals and adjust the fitting to their individual requirements.

The company has developed the devices in partnership with Water.io – the innovative smart packaging company whose bottle cap technology – as co-founder Yoav Hoshen told FoodBev in 2015 – has the ability to turn any ordinary bottle ‘smart’.

The start-up previously worked with packaging company Visy to make its bottle caps available in Australia and New Zealand – but Danone’s latest usage represents a real coup.

It is particularly on-trend given the growing inclination of consumers to reuse and refill plastic water bottles.

Bruno Dasque, vice-president research and innovation for Danone Waters, said: “Over the years, our scientific teams have developed a deep understanding of the science of hydration. Now, with our open innovation capabilities, we can leverage digital solutions to bring all this knowledge to those who need it most: our consumers, through personalised solutions.”

The European Food Safety Authority recommends a daily intake of 2.5 litres of water for men and 2 litres of water for women – through either the food they eat or they drinks they consume – including around 70-80% sought from beverages.

Kinvara Carey, general manager for the UK’s National Hydration Council, said: “With the current debates continuing around sugar and the health of the nation, now is the time to challenge ourselves and consider how we can do more to encourage healthy hydration habits.

“Although most drinks will hydrate you, water is one of the healthiest ways to hydrate as it contains no calories or sugar. There is so much choice when it comes to water, with a range of high-quality naturally sourced still and sparkling waters as well as tap water at home, or carried in a reusable bottle.”

Although there has been criticism of hydration in the past, with some nutritionists arguing that the concept is over-emphasised, there is growing evidence to suggest that consumers are channelling their health kick towards water and cutting back on soda.

In 2017, sales of bottled water overtook carbonated soft drinks in the US for the first time – and last year, food and drinks consultancy Zenith Global predicted that the same would be true on a global basis for the whole of 2018.

This was “all the more remarkable” because other soft drink categories were still growing, according to Zenith chairman Richard Hall.",Danone adds 'hydration coaching' cap to Font Vella bottled water
"Heineken USA has enlisted its Lagunitas Brewing Company division to relaunch its Newcastle Brown Ale beer brand, scheduled for release in March.","February 12, 2019",https://www.foodbev.com/wp-content/uploads/2019/02/Newcastle-Brown-Ale.jpg?x21220,https://www.foodbev.com/news/newcastle-brown-ale-relaunched-in-the-us-by-lagunitas-brewing/,"Heineken USA has enlisted its Lagunitas Brewing Company division to relaunch its Newcastle Brown Ale beer brand in the US.

The Dutch brewer said it has played matchmaker to the beer and Lagunitas to modernise the “iconic” brown ale for release in March 2019.

Amy Tay, brand director for Newcastle Brown Ale, said: “Working together with our friends at Lagunitas Brewing Company, we’ve created an uncommonly balanced brown ale, brewed through a unique blend of pale and roasted malts.

“The result is a smooth, crisp, slightly roasty beer, complete with a delicious hoppy twist that’s not too bitter, not too sweet, and altogether uncommon.”

She added: “Whether you’re a super fan of Newcastle Brown Ale, or just an enthusiast of great craft beer, you’re going to love cracking open a bottle of the new brew and enjoying a silky-smooth, flavourful experience.”

As part of the launch, Newcastle Brown Ale will select random Facebook followers and gift them with exclusive swag, encouraging them to taste the new beer and share the word with their friends.

The brand will also invest in additional sampling opportunities at events and festivals in select cities from April to September.

In 2017, Heineken bought out the remaining shares in California’s Lagunitas Brewing Company, two years after acquiring a 50% stake.

The division has since partnered with California cannabis manufacturer CannaCraft to create a range of THC-infused beverages.",Newcastle Brown Ale relaunched in the US by Lagunitas Brewing
"Tayto Group has acquired Bite UK, creating a new joint venture called Bite UK Snacks, which will target growth in the healthy snacking sector.","February 12, 2019",https://www.foodbev.com/wp-content/uploads/2017/08/Pure-Bite.jpg?x21220,https://www.foodbev.com/news/tayto-group-acquires-bite-uk-to-create-new-snack-joint-venture/,"Tayto Group has acquired Bite UK, creating a new joint venture called Bite UK Snacks, which will target growth in the healthy snacking sector.

Bite UK’s flagship brand Pure Bite will join Tayto, Golden Wonder, Real Crisps, Mr Porky and Portlebay popcorn and be distributed through Tayto’s network.

Launched in 2017, Pure Bite has unveiled a refreshed design that aims to showcase the health credentials of the brand.

Bite UK founder Jason Bull will continue as managing director to drive and oversee growth and new product development.

“Expect to see Pure Bite everywhere in 2019,” he said. “The support that the Tayto Group can provide is unprecedented. The potential for growth is huge and their expertise will help us to take healthy snacking into the mainstream and deliver our vision of being the UK’s leading supplier of healthy snacks. I look forward to making Pure Bite one of the nation’s favourite brands.”

Tayto Group sales director John McQuaid added: “We value healthy snacking and recognise that consumers demand healthy snacks without compromising on flavour.

“I am impressed with the outstanding health and taste credentials that Pure Bite provides and the ability to deliver both propositions at a competitive price to retailers and trade sets the Pure Bite brand apart from other competitors.”

The mission of Bite UK is to create free-from products and are suitable for people with allergies and intolerances. The Pure Bite range is free from dairy, gluten and preservatives.

Pure Bite products include popped rice clusters, nut clusters and crunchy coconut clusters, retailing for £1.69 for 20g or 30g pouches.",Tayto Group acquires Bite UK to create new snack joint venture
"Over 21,000 trade visitors attended this year’s ISM/ProSweets in Cologne, the international supplier fair for the sweets and snacks industry.","February 12, 2019",https://www.foodbev.com/wp-content/uploads/2017/12/Ruby.jpg?x21220,https://www.foodbev.com/news/review-sustainable-digital-vegan-trends-at-ism-prosweets/,"Over 21,000 trade visitors attended this year’s ProSweets Cologne, the international supplier fair for the sweets and snacks industry, a new record attendance at the show.

Held in conjunction with ISM, the leading trade fair for sweets and snacks, ProSweets’ largest element is traditionally the machines and equipment section and this was also the case at this year’s show, as over 300 exhibitors showcased their solutions for the sweets and snacks industry.

The production of tailored shapes and packaging is particularly important within the sweets and snacks industry, and this was reflected by the range of equipment at the show. Visitors were able to observe the production of attention-grabbing labels and packaging, the latest hot sealing technologies and discover a range of biodegradable packing materials.

One of the main themes at this year’s ProSweets Cologne was the digital networking of systems, and how this is improving efficiency, hygiene and operating costs. Confectionery machines equipped with technology such as sensors provide substantial amounts of data to operators – data which can help operators save resources, time and money.

Beyond machinery, the key themes for this year’s show included the reduction of sugar, fat and salt; the increased importance of clean label and natural ingredients; as well as the need to tailor and reformulate recipes to cater to the needs of vegetarian and vegan consumers.

A number of talks, tours and presentations attracted large audiences as expert speakers addressed topics such as sustainable packaging, reformulation and the possibilities offered by augmented and virtual reality.

Trade visitors were able to learn how to create brands with the help of augmented reality and create new, extended product experiences for consumers. The capabilities of virtual reality were also showcased through the example of a virtual supermarket.

Anne Schumacher, nutrition and nutrition technology vice-president at Koelnmesse, said: “For the suppliers of the sweets industry, ProSweets Cologne is the central, international business platform.

“With new customising technologies, innovative and sustainable packing solutions as well as new developments regarding digital networking in the production sector, the industry demonstrated that it is on the pulse of time.

“The trade’s interest in the fair has also significantly increased. The value chain is growing more closely together as a result. The interplay ISM and ProSweets Cologne is a unique constellation and offers incomparable synergies.”

Meanwhile at ISM, a wide range of finished products were on show, with many brands and manufacturers expressing that the consumer desire for healthy and sustainably-sourced products was a primary concern.

Over 1,650 suppliers from 76 countries, 87% of which came from outside Germany, exhibited their latest products and innovations at this year’s show.

Ruby chocolate – the fourth type of chocolate after milk, dark and white – was one of the main attractions at ISM. Chocolatier Barry Callebaut, the developer of the chocolate, devoted its stand to the flavour and received a great deal of interest from visitors, while chocolate brands including Libeert, Heilemann and Witor’s showcased ruby chocolate products at the show.

 Meanwhile, products made with vegetable-based proteins, natural ingredients and sustainably-grown raw materials were among the most important offerings on show at the fair.

Gerald Böse, president and CEO of Koelnmesse, said: “Once again in these difficult times, ISM confirmed its international standing as the industry’s most important business platform once again in 2019.

“Not only do the stable, high-key figures corroborate this, but also the high level of quality of the exhibitors and visitors.”","Review: Sustainable, digital and vegan trends at ISM/ProSweets"
"Chief executive Mark Hunter is upbeat about the state of Molson Coors, despite the brewer recording weaker full-year sales and profit.","February 12, 2019",https://www.foodbev.com/wp-content/uploads/2019/02/beer-companies.png?x21220,https://www.foodbev.com/news/molson-coors-ceo-upbeat-despite-2-dip-in-full-year-revenue/,"Chief executive Mark Hunter struck an upbeat tone following the release of Molson Coors’ full-year results, despite the brewer recording weaker sales and profit.

Net sales for 2018 were $10.77 billion – down 2.1% compared to the year before – while underlying EBITDA fell by 1.7% from $2.5 billion to $2.45 billion.

For the final quarter of last year, sales were 6.2% weaker at $2.42 billion but underlying EBITDA grew 1.4% to $487.7 million.

The weaker results – relative to 2017 – were motivated in part by a 1.9% reduction in global volumes.

Molson Coors chief executive officer Mark Hunter said: “We accomplished much in 2018, delivering strong free cash flow and meeting our deleverage commitments, restoring underlying EBITDA growth in the quarter and second half, premiumising our portfolio across regions including launching Truss, our Canadian cannabis beverage JV, scaling volume and profitability in our fast growing International business and continuing to strengthen our European business.

“Through the year we further scaled our cost saving programme, which insulated us in part from the effects of weaker industry demand in North America, higher than anticipated input inflationary pressures and challenges associated with the implementation of our US brewery supply chain system.

“We enter 2019 with a US commercial plan focused on mix and share improvement that is fully resourced and showing early signs of impact against Coors Light, a commercial strategy that is working in Europe and International, and continually improving commercial trends in Canada. We are focused on further strong free cash flow delivery and deleverage supported by more than $200 million of cost savings in 2019 and further $450 million across 2020-2022.”

Molson Coors’ volumes in Canada declined by the company has made some efforts to improve its outlook in recent months: in January, it launched a fresh new masterbrand for its Molson beer in the country, featuring new packaging and branding.

And in October, Molson Coors broke ground on a new site in Longueuil, Quebec, which it says will be its most modern brewing facility and distribution centre to date.",Molson Coors CEO upbeat after 2% dip in full-year revenue
