abstract,date_published,image_link,link,text,title
,"May 24, 2017",https://www.foodmag.com.au/wp-content/uploads/2017/05/pour-60011262012_1cf7ec1d.jpg,https://www.foodmag.com.au/one-alcoholic-drink-a-day-can-increase-breast-cancer-risk/,"Drinking just one alcoholic drink a day can increase breast cancer risk, a new report by World Cancer Research Fund has revealed.

The report found strong evidence that drinking just the equivalent of a small glass of wine or half a pint of beer a day (about 10g alcohol content), could increase your pre-menopausal breast cancer risk by 5 percent and your post-menopausal breast cancer risk by 9 per cent.

World Cancer Research Fund estimates that about 12,000 cases of breast cancer could be prevented in the UK each year if nobody drank alcohol.

This robust scientific report evaluated all of the research worldwide on how diet, weight and exercise affect breast cancer risk. It also found that vigorous exercise that increases heart rate such as cycling, swimming or running can decrease the risk of pre-menopausal breast cancer and both moderate exercise, such as walking, and vigorous exercise can decrease the risk of post-menopausal breast cancer.

In addition the report showed that being overweight or obese increases the risk of post-menopausal breast cancer, the most common type of breast cancer. Being overweight or obese is also linked to several other cancers, including liver, pancreatic and bowel cancers.

Breast cancer is the most common cancer in women in the UK with over 55,000 new cases each year. It is responsible for more than half a million deaths worldwide each year.

The UK government recommends drinking no more than 14 units a week equivalent to seven drinks a week, spread across at least three days.

“To help prevent breast cancer, one of the most important steps women can take is to not drink alcohol or reduce the amount of alcohol they drink,” said Dr Rachel Thompson, Head of Research Interpretation at World Cancer Research Fund.

“Maintaining a healthy weight and getting enough exercise are also important for preventing breast cancer.

“It may be the most common cancer in women worldwide, but our evidence shows that there are steps that women can take to significantly reduce their breast cancer risk.”",One alcoholic drink a day can increase breast cancer risk
,"July 25, 2017",https://www.foodmag.com.au/wp-content/uploads/2017/07/food-future-1024x576.jpg,https://www.foodmag.com.au/csiro-maps-out-australias-food-future/,"New technologies could see us eating algae-based sources of protein, developing allergenic-free nuts and tolerable varieties of lactose and gluten, and reducing environmental impact through edible packaging.

Speaking at the launch during the Australian Institute of Food Science and Technology’s (AIFST) 50th Anniversary Convention in Sydney, Assistant Minister for Industry, Innovation and Science, Craig Laundy , highlighted the importance of innovation and entrepreneurship in driving new economic growth in the industry.

Keeping a greater share of food processing onshore and better differentiating Australian food products are major themes across the Roadmap, which calls on businesses to act quickly or risk losing future revenue streams to the competitive global market.

Developed with widespread industry consultation and analysis, the Roadmap seeks to assist Australian food and agribusinesses with the desire to pursue growth and new markets.

Deputy Director of CSIRO Agriculture and Food, Dr Martin Cole said Australia was well positioned to act as a delicatessen of high-quality products that meet the needs of millions of informed and discerning customers both here and abroad.

“Australian businesses are among the most innovative in the world, and together with our world-class scientists, can deliver growth in the food and agribusiness sector amid unprecedented global change,” Dr Cole said.

“Less predictable growing conditions, increasingly global value chains and customers who demand healthier, more convenient and traceable foods are driving businesses to new ways of operating.

“Advances are already being made through the use of blockchain technology and the development of labels that change colour with temperature or time, or are programmed to release preservatives.

The Roadmap was developed in collaboration with the government-funded food and agribusiness growth centre: Food Innovation Australia Limited (FIAL).

Recently, FIAL launched their Sector Competitiveness Plan, which outlines the over-arching industry vision to grow the share of Australian food in the global marketplace and the necessary strategy to achieve the vision.

“With the growing Asian middle class, Australia is in the box seat to take advantage of the many emerging export opportunities,” FIAL Chairman Peter Schutz said.

“Consumers are looking for differentiated products that cater to their needs.

“This is especially exciting for Australian food and agribusinesses which have the capability to respond with customised and niche products.”

Currently, Australia exports over $40 billion worth of food and beverages each year with 63 per cent headed for Asia.

Dr Cole explained that Australia is a trusted supplier of sustainable, authentic, healthy, high quality and consistent products.

“We must focus on these strengths and enhance the level of value-adding to our products,” DrCole said.

“Recent Austrade analysis shows early signs of such a shift, as for the first time in Australia’s history value-added foods have accounted for the majority (60 per cent) of food export growth.”

The Roadmap outlines value-adding opportunities for Australian products in key growth areas, including health and wellbeing, premium convenience foods and sustainability-driven products that reduce waste or use less resources.

Five key enablers for these opportunities are explored in the Roadmap: traceability and provenance, food safety and biosecurity, market intelligence and access, collaboration and knowledge sharing, and skills.

These enablers align with FIAL’s knowledge priority areas that are central in helping the food and agribusiness industry achieve its vision and deliver increased productivity, sustainable economic growth, job creation, and investment attraction for the sector.

The Roadmap calls for improved collaboration and knowledge sharing to generate scale, efficiency and agility across rapidly changing value chains and markets.

“To survive and grow, the challenge facing Australia’s 177,000 businesses in the food and agribusiness sector is to identify new products, services and business models that arise from the emerging needs of tomorrow’s global customers,” Dr Cole said.",CSIRO maps out Australia’s food future
,"July 22, 2018",https://www.foodmag.com.au/wp-content/uploads/2018/07/WineBottles-1024x768.jpg,https://www.foodmag.com.au/dalefold-wines-licence-suspended-for-exporting-unapproved-products/,"Australian company Dalefold Wines has had its licence to export grape products from Australia suspended.

The Board of Wine Australia suspended the licence in late-July after discovering the company was exporting grape products that were not approved by Wine Australia.

While the suspension remains in place, Dalefold Wines may not export wine from Australia.

Wine Australia is seeking further information from Dalefold Wines before deciding the length of the suspension and considering whether the licence should be cancelled.

READ: Wine Australia to invest $67.8m in ambitious agenda for coming year

Wine Australia last cancelled a licence in the 2015-16 financial year.

Wine Australia found out that Dalefold Wines exported three grape products from Australia for which an export certificate was not in force.

By doing so, Dalefold Wines contravened section 44 of the Wine Australia Act 2013 and the Wine Australia Regulations 2018.

The company also engaged in activity that aimed to leverage from the reputation of another wine brand in China through causing consumer confusion.

This was done to the extent that it could affect the export trade in all grape products from Australia by diminishing consumer confidence in the integrity and authenticity of Australian grape products in China.

It could also cause harm to the reputation of all Australian grape products, relations with importers, current promotional strategies or the marketability of Australian grape products relative to competitors.

Changes to the Wine Australia Regulations 2018 earlier this year mean that other exporters may not export wine on behalf of Dalefold Wines now that its licence has been suspended.

Wine Australia acts to protect the reputation of Australian wine by regulating export shipments, conducting audits of wine producers and ensuring the truthfulness of claims made on Australian wine labels in both the domestic and export markets.

There are currently 2298 active licensed exporters.

Wine cannot be exported from Australia without an export licence issued by Wine Australia, which has the power to suspend or cancel licenses when necessary.",Dalefold Wines’ licence suspended for exporting unapproved products
,"July 30, 2018",https://www.foodmag.com.au/wp-content/uploads/2018/07/Brewing-1024x768.jpg,https://www.foodmag.com.au/research-helps-create-better-brewing/,"New findings from University of Adelaide researchers, could help provide more stable brewing processes or new malts for craft brewers.

The researchers discovered a link between one of the key enzymes involved in malt production for brewing and a specific tissue layer within the barley grain.

The most important malting enzymes come from a layer of tissue in the barley grain called the aleurone, a health-promoting tissue full of minerals, antioxidants and dietary fibre.

The research showed that the more aleurone present in the barley grain, the more enzyme activity the grain produced.

Barley is the second most important cereal crop for South Australia and contributes over $2.5 billion to the national economy. This is largely due to its use in beverage production.

University of Adelaide school of agriculture, food and wine associate professor and project leader, Matthew Tucker, said barley grains had impressive features ideal for creating the malt required by the brewing industry.

“During the malting process, complex sugars within the barley grain are broken down by enzymes to produce free sugars, which are then used by yeast for fermentation. The levels of these enzymes, how they function and where they are synthesised within the barley grain are therefore of significant interest for the brewing industry,” he said.

“Until now, it was not known that this key ingredient in the beer brewing process was influenced by the amount of aleurone within the grain, or that the aleurone was potentially a storage site for the enzyme,” said Tucker.

The researchers examined the aleurone in a range of barley cultivars used by growers and breeding programs in Australia and found remarkable variation in the aleurone layer between varieties.

Tucker said breeders and geneticists could make use of this natural variation to select for barley varieties with different amounts of aleurone and different malting characteristics.

“This will be of potential interest to large brewers who depend on stable and predictable production of malt, and also the craft brewers that seek different malts to produce beer with varying characteristics.”

PhD student Matthew Aubert used the variation to examine levels of enzymes involved in malt production.

He discovered that barley grains possessing more aleurone had noticeably more activity in one of the key enzymes that breaks down starch and determines malt quality of barley, an enzyme called free beta-amylase.

Aubert said grains with more aleurone could have an advantage that allowed them to break down complex sugars faster or more thoroughly than grains with less aleurone.

The researchers are now trying to find the genes that explain this natural variation.

Aubert’s research was supported by the Australian Research Council Centre of Excellence in plant cell walls and the Grains Research and Development Corporation.",Research helps towards creating more stable brewing processes
,"August 1, 2018",https://www.foodmag.com.au/wp-content/uploads/2018/08/SouthTrade-1024x768.jpg,https://www.foodmag.com.au/southtrade-takes-vodka-portfolio/,"Continuing its vision to build a premium and strong local craft portfolio, SouthTrade International will have exclusive distribution of Australian craft spirit brand 666 Pure Tasmanian Vodka, from the 1st of October 2018.

This follows the announcement that Think Spirits will be taking over the distribution of Stolichnaya Vodka trademark in Australia.

Founder of 666 Vodka, Dean Lucas, said SouthTrade International was a business with fantastic energy and momentum as evidenced by recent brand additions.

“We are thrilled to be joining the SouthTrade family and what we consider to be the leading Australian craft portfolio. With the SouthTrade team’s knowledge, expertise and highly complementary portfolio, we plan to expand 666 Vodka with the next evolution of the brand inclusive of new packaging and product innovations,” said Lucas.

“The 666 Vodka brand transitions to SouthTrade after a period of strong growth over the last 12 months,” he said.

SouthTrade International managing director Ray Noble said joining future icon brands of Mr. Black, Starward Whisky and Adelaide Hills Distillery, SouthTrade was excited to expand and strengthen its local craft spirits portfolio with 666 Pure Tasmanian Vodka.

“[It] marries with SouthTrade’s vision of driving long-term success for premium local craft brands across Australia. While this is a fantastic opportunity for both companies, we would also like to acknowledge the great work Think Spirits has undertaken on the brand to maintain a leading position within the Australian premium vodka category,” said Noble.

“Established in 2007 and committed to sustainability, we were drawn to the brand’s authenticity using local ingredients and capturing the purity of the surrounding environment of Cape Grim and North West Tasmania,” he said.

Stockists of 666 Vodka include Dan Murphy’s, First Choice and Vintage Cellars.",SouthTrade International takes 666 Pure Tasmanian Vodka into its portfolio
,"September 25, 2017",https://www.foodmag.com.au/wp-content/uploads/2017/09/drink-428319_1280-1.jpg,https://www.foodmag.com.au/australian-alcohol-consumption-a-key-to-reducing-cancer-deaths/,"New research has found that reducing alcohol consumption at the population level would lead to a reduction in cancer deaths in Australia.

The study found that there would be a significant preventive effect on liver, head and neck cancer deaths, particularly among men and older age groups as a result.

Published today by the Centre for Alcohol Policy Research (CAPR) and Foundation for Alcohol Research and Education (FARE), the report, Alcohol consumption and liver, pancreatic, head and neck cancers in Australia: Time-series analyses, provides the first suggestive evidence that a decrease in population level drinking could reduce the prevalence of liver, head and neck cancer mortality in Australia.

The long-term use of alcohol has long been recognised as a risk factor for cancer, and the relationship has been widely addressed in individual-level studies. However, the relationship of alcohol consumption and cancer mortality at a population level have rarely been examined.

The study revealed that across a 20-year period, a one litre decrease in annual alcohol consumption per capita was associated with reductions of 11.6 per cent in male and 7.3 per cent in female head and neck cancer mortality, and a 15 per cent reduction of male liver cancer mortality.

Lead author, CAPR’s Dr Jason Jiang sought to understand whether or not the trend of population-level alcohol consumption is related to the trend of population-level cancer mortality– a question not answered by individual-level studies.

CAPR Deputy Director, Dr Michael Livingston says the results suggest that a change in alcohol consumption per capita is significantly and positively associated with change in male liver cancer mortality.

“Alcohol is a major contributor to Australia’s burden of disease. The epidemiological evidence provided over the last several decades shows that alcohol contributes to the development of specific cancers. This study demonstrates that reductions in per-capita alcohol consumption would lead to lower rates of mortality for liver and head and neck cancers,” Dr Livingston said.

Compared with other age groups, stronger and more significant associations were found between per capita alcohol consumption and head and neck cancer mortality among both males and females aged 50 and above compared to younger age groups – reflecting the long-term effects of alcohol consumption on the development of cancer in the human body.

“This study has extended our understanding of the role that alcohol plays with respect to liver, pancreatic, head and neck cancers in Australia, and the importance of addressing the nation’s alcohol consumption levels,” Dr Jiang said.

The Australian Guidelines to Reduce Health Risk from Drinking Alcohol suggests that an adult should drink no more than two standard drinks on any day to reduce the lifetime risk of harm attributed to alcohol.

FARE Chief Executive, Michael Thorn says that the population-level study adds further weight to what we know about the links between alcohol and cancer.

“There is no doubt that alcohol-related cancers would be significantly reduced if more of the population reduced their alcohol consumption and followed the national drinking guidelines, yet a lack of recognition of the links between alcohol and cancer remains,” Mr Thorn said.

“The study exposes the need for improved public health education campaigns, better public health policies on alcohol, and more promotion of the guidelines – to reduce the toll of cancer-related diseases and deaths in Australia.”",Australian alcohol consumption a key to reducing cancer deaths
,"August 14, 2018",https://www.foodmag.com.au/wp-content/uploads/2018/08/CorkWine-1024x768.jpg,https://www.foodmag.com.au/direct-to-consumer-wine-sales/,"Wine companies are being encouraged to participate in Wine Australia’s inaugural Cellar door and direct-to-consumer survey to help develop best practice customer engagement.

Wine Australia chief executive officer Andreas Clark said that, in 2017, the small winemaker production and sales survey found that direct-to-consumer sales channels accounted for 43 per cent of total sales revenue for Australia’s 2000+ small winemakers, with cellar door the strongest growing channel.

“Wine businesses were found to be making significant investments in tourism-related offerings and developing a range of alternatives to traditional cellar door tastings,” said Clark.

However, there was very little in-depth information available on direct-to-consumer total sales, cellar door visits, conversion rates, wine club retention rates and other benchmark statistics that helped wineries develop strategies and assess their performance in these profitable and growing channels, he said.

“This survey delivers on an initiative of Wine Industry Suppliers Australia (WISA) and will be used to develop a series of key benchmarks and statistics to assist wineries in the development of best practice wine tourism,” he said.

“It’s important for producers to benchmark themselves to improve overall performance, make informed business decisions and manage factors that affect consumers’ demand, loyalty and preference for their wine brand. This survey will provide meaningful and actionable insights for wine producers throughout Australia and will be an essential tool when building long-term sales strategies,” said Clark.

WISA executive officer Matt Moate said the research was imperative to define the capability gaps in Australian direct-to-consumer wine sales.

“The supply sector will be able to utilise this data to deliver opportunities to accelerate producers’ knowledge and skills resulting in a new level of competitiveness in this space,” said Moate.

The survey incorporates and expands on Wine Australia’s annual small winemaker production and sales survey and respected social research company Harrison Research will undertake the inaugural 2018 survey on behalf of Wine Australia.

Wine companies will receive a link to the survey in mid-August.

The survey will be anonymous, with the information presented in a report that will be published using aggregated, de-identified data.

The report will be released at WISA’s inaugural wine industry impact conference in Adelaide on the 18th of October.",Survey seeks to identify best practice in direct-to-consumer wine sales
,"December 7, 2017",https://www.foodmag.com.au/wp-content/uploads/2017/12/Alcohol-med.jpg,https://www.foodmag.com.au/choice-calls-for-clearer-labelling-on-alcohol/,"Consumer group Choice has called for improved labelling on alcoholic drinks to help people compare their kilojoule options on beverages.

Choice spokesperson Katinka Day said many people enjoy a festive drink at Christmas but cannot easily compare the kilojoule options.

“While consumers can find out the amount of kilojoules they’ll be consuming if they bite into a hamburger or a packet of chocolate biscuits, a loophole in Australia’s food regulation means that alcohol companies are exempt from providing this information,” Day said.

“It doesn’t make sense that there’s one rule for a can of coke and another for a premix can of coke and whiskey.”

Kilojoule labelling would reveal that a can of a popular premix vodka drink has almost two and a half the kilojoules as a glass of medium dry white wine, Choice found.

“Our current labelling means that consumers can’t make side-by-side comparisons of alcoholic beverages and we can’t rely on alcohol companies fixing this themselves,” Day said.

“While some alcohol companies voluntarily provide nutrition information, on closer look, they pull the sneaky tactic of not disclosing kilojoules on all of their products, especially their high kilojoule options.”

Alcohol is classified as a discretionary food by Australia’s Dietary Guidelines – meaning it’s packed with kilojoules but offers little or nothing in the way of beneficial nutrients – and is the number one food group contributing to Australians’ energy intake from discretionary foods.

Australia’s Health and Food Ministers recently agreed to launch a public consultation on kilojoule labelling in alcoholic beverages in early 2018.

Choice is calling on Health Ministers to require alcohol companies to be honest about what’s in their drinks, and warns against allowing the industry to self-regulate.

“It’s absurd alcohol companies can exploit this labelling loophole,” Day said. “Without such basic information, consumers aren’t able to make an informed choice.”",Choice calls for clearer labelling on alcohol
,"December 14, 2016",https://www.foodmag.com.au/wp-content/uploads/2016/12/dairy-story-1024x719.jpg,https://www.foodmag.com.au/animal-rights-groups-cheesed-off-over-dairy-production/,"Vegan Australia and the Animal Justice Party (AJP) have reportedly told federal politicians the best long-term solution to the dairy sector’s farm-gate pricing crisis is to phase-out the industry over a decade according to a North Queenslander report.

The two groups have submitted their views and suggestions into the Senate Economics References Committee’s current examination of the Australian dairy industry. In response, industry leaders have hit back saying the dairy sector employs “world-leading practices” while generating $4.7 billion in farm-gate value that enriches regional Australian communities.

The Senate inquiry was instigated in September in response to the dairy industry farm gate pricing crisis that ignited earlier this year and is scheduled to report its findings by February 24 next year.

Public hearings have already been held in Canberra on October 26 and in Melbourne on November 15 with a range of industry and government agencies giving evidence.

The inquiry’s terms of reference include examining the legality of retrospective elements of milk supply contracts and the behaviour of Murray Goulburn in relation to the late season claw-back of farm-gate returns to producers, revealed in April.

Vegan Australia’s rationale was that it said it was “very aware” agriculture was a fundamental part of society and it wanted to see the “continued prosperity” of farming and farmers but was recommended pursuing that goal could be achieved without the “use and exploitation of animals”. It envisions the long term solution to the dairy crisis is to phase out dairy.

According to the North Queenslander, they are hoping for the day that technology is able to offer what Vegan Australia terms as “superior alternatives” to dairy products.

Vegan Australia said Australian consumers may hold out some loyalty to the dairy industry, but others in countries like Australia’s largest export market China were, “unlikely to show the same loyalty”.

It said Chinese policy would also shift to domestic production using advanced technology as soon as it became more cost efficient than importing Australian milk.

Vegan Australia said government assistance should be given to current dairy farmers that wanted to transition to plant-based agriculture, as part of the 10-year phase-out.

The AJP’s submission accused the dairy industry of inflicting animal cruelty while causing harm to human health and the environment.

“The most responsible course of action for the government to take is to transition away from animal-based milk and dairy, to humane, healthy, and sustainable plant-based milks,” the AJP said.

“Instead of focussing on trying to rescue an unsustainable industry that is harmful to humans and animals, the government should be turning its attention to innovative transition solutions.

“Consumers are increasingly embracing plant-based milks and it is the position of the Animal Justice Party that the government should embrace this trend and promote plant-based milks as healthier, more humane and more sustainable industries.”

In response, the Australian Dairy Farmers said the industry’s quality and safety processes were “among the best in the world” and the nation’s dairy sector – comprising 6128 dairy farmers of which 98 per cent are family-owned businesses – made a “vital contribution to the national economy”.

“With a farm gate value alone of $4.7 billion, dairy enriches regional Australian communities,” it said.

“Dairy farmers have had a tough past season and it is pleasing to note that the outlook for dairy in the future is more positive with a rebalancing of supply and demand fundamentals globally taking place.

“While we are an industry that has been under intense pressure, we are also an industry that has the know-how and resilience to overcome adversity and thrive in the long term.”

In its submission to the Senate inquiry, the Australian Food and Grocery Council (AFGC) said the food and grocery manufacturing sector employed more than 322,900 Australians, paying around $16.1 billion a year in salaries and wages.

The AFGC said the sector’s contribution to the economic and social well-being of Australia “cannot be overstated” and the dairy export industry had “solid” long term prospects.

“In the long term, global demand for dairy products is expected to remain strong with some analysts predicting a 25 per cent increase in consumption by 2025,” the submission said.

“With continued consumption growth in the Asia region, including China, the medium to long term prospects for Australian dairy exports are solid.”",Animal rights groups cheesed off over dairy production
,"March 8, 2017",https://www.foodmag.com.au/wp-content/uploads/2017/03/arkadia.png,https://www.foodmag.com.au/tumeric-rich-arkadia-golden-latte-released/,"Arkadia Beverages has released a blend of high of turmeric, spices and organic panela sugar and called it Arkadia Golden Latte.

This turmeric blend is designed to be ready to drunk with hot or cold milk.

With no added dairy, vegan friendly and gluten and caffeine free, Arkadia Golden Latte is claimed to imbue the natural benefits of turmeric – often referred to as the most powerful herb on the planet for helping to fight a range of diseases.",Tumeric-rich Arkadia Golden Latte released
