abstract,date_published,image_link,link,text,title
Drinks Retailing News - Championing the Off-Trade since  1863.  Brought to you by Agile Media Ltd.,"11 February, 2019",http://cdn744.pressflex.net/images//18469.photo.2.jpg?m=1549656664,http://drinksretailingnews.co.uk/news/fullstory.php/aid/18469/Kopparberg_appoints_off_and_on-trade_sales_director.html,"Kopparberg has appointed former off-trade director Neil Robinson as its new sales director for both off and on-trade channels.

Robinson joined the company nearly nine years ago, initially managing all UK grocery multiples, before moving on to manage the off-trade channel for five years.

He will now be responsible for the off-trade, on-trade, cash & carry and routes to market, and he will also be tasked with developing Kopparberg’s core packaged business, alongside the brand’s premium draught proposition and evolving further NPD.

Meanwhile an internal restructure has taken place to create a new senior sales team to drive the business channels forward.

Anthony Clarey, who is stepping down from the operational role of on-trade sales director to pursue other business interests, will remain involved in the Kopparberg business on a consultancy basis.

Peter Bronsman, owner and managing director of Kopparberg Breweries, said: “Neil’s experience in the off-trade channel has been invaluable to the business, delivering brilliant results as our UK business has grown year-on-year. He has a strong understanding of Kopparberg and our central vision for being the UK’s number one fruit cider brand across both the on and off Trade. Neil’s appointment comes at an exciting time for the brand, with category defining NPD launching this year.”

Neil Robinson said: “I’m honoured to be taking on this new role, of which Anthony has made fantastic groundwork for me to build from. The off trade continues to see positive volume growth, but we need to be careful to grow in the right way. My new role will see new challenges in terms of leading the on trade and aligning with continually evolving retailer and market trends, which is more important than ever.

“I am looking forward to working closely with the wider sales team, marketing, the brewery and the new senior sales team to develop the Kopparberg brand for our customers and continue to drive the total cider category.”

Last year the company launched Kopparberg Rhubarb, Kopparberg Passionfruit, and its first draught variant of Kopparberg Black.
• Beefeater Blood Orange to tap into surging demand for flavoured gin",Kopparberg appoints off and on-trade sales director
Drinks Retailing News - Championing the Off-Trade since  1863.  Brought to you by Agile Media Ltd.,"09 February, 2019",http://cdn744.pressflex.net/images//18470.photo.2.jpg?m=1549708049,http://drinksretailingnews.co.uk/news/fullstory.php/aid/18470/Famille_Oksen_brings_infused_rums_to_UK_market.html,"Famille Oksen is bringing its range of ‘artisan craft spiced rum’ to the UK market.

The family-run producer has prepared infused rums using a traditional method since 1973 in Cap Ferret, near Bordeaux in France.

In 2009 Franck Oksen created his own range, with the aim of launching these into the wider market.

He said: “The three different flavours in the range all use natural ingredients and they have done well in taste competitions. They are attracting a lot of interest and I am now ready to launch these into the UK market.”

The drinks use agricultural rum from Martinique, blended with a range of spices, berries and fruits and using a natural and slow maceration process.

The first in the range is made with entire cinnamon sticks, macerated for a length of time to ensure the spice and woody flavours are present in the drink. The second uses bananas from Ecuador, while the third uses vanilla beans.

Famille Oksen has raised E100,000 via crowdfunding platform Seedrs and it is currently seeking an importer and distributor in the UK. Oksen is also exploring other European markets.
• Beefeater Blood Orange to tap into surging demand for flavoured gin",Famille Oksen brings infused rums to UK market
Drinks Retailing News - Championing the Off-Trade since  1863.  Brought to you by Agile Media Ltd.,"09 February, 2019",http://cdn744.pressflex.net/images/18471.photo.2.jpg?m=1549885751,http://drinksretailingnews.co.uk/news/fullstory.php/aid/18471/Greenwood_Distillers_reveals_first_Ardross_Distillery_release.html,"Greenwood Distillers has revealed its first release: a Scottish gin called Theodore.

The first edition of Theodore Gin has been created with guidance from olfactory expert and perfume designer, Barnabe Fillion.

The gin is made using 16 botanicals including pine, Damask rose, pomelo and bourbon vetiver, which have been distilled in a multi-stage process using an old charentais still alongside a rotovap to extract the best flavours and aromas from each.

The gin is the first spirit produced at the new Ardross Distillery, although a limited-edition batch was released earlier this year. It will be priced at £39 for a 70cl bottle.

The brand name has been inspired by the spirit of the Picts, an ancient tribe that once settled near the brand’s home in Ardoss, Northern Highlands. The tribe is alleged to have travelled from as far as Scythia and Scandinavia to settle in the Scottish Highlands during the late Iron Age and early medieval periods. Theodore de Bry was a 16th century engraver who brought the Picts to life through his art.

Founder Barthelemy Brosseau said: “We have collaborated with an eclectic team of individuals who are pushing boundaries in their respective fields to create something special. Theodore pays tribute to the Picts with a bold and characterful gin that embodies the Pictish spirit. It is for anyone who is looking to whet a curious appetite.”

Greenwood Distillers was founded in 2018 by Barthlemy Brousseau and presided by “legendary chief blender” Andrew Rankin. It will operate its Scotch whisky distillery later on this year and its portfolio already has a diverse range of global spirits including gin, mezcal, Armagnac and whisky. It has plans to “build bridges from Scotland to Kentucky (boubon) and Japan (Japanese whisky).
• Beefeater Blood Orange to tap into surging demand for flavoured gin",Greenwood Distillers reveals first Ardross Distillery release
Drinks Retailing News - Championing the Off-Trade since  1863.  Brought to you by Agile Media Ltd.,"11 February, 2019",http://cdn744.pressflex.net/images//18472.photo.2.jpg?m=1549884174,http://drinksretailingnews.co.uk/news/fullstory.php/aid/18472/WSET_and_IWSC_join_forces_to_launch_The_Future_50.html,"WSET and IWSC join forces to launch The Future 50

The Wine & Spirit Education Trust (WSET) and International Wine & Spirit Competition (IWSC) have joined forces to celebrate their 50th anniversaries.

The duo have announced they will launch ‘The Future 50’, a new initiative that aims to recognise the next generation of top wine and spirits professionals.

The Future 50 awards will identify 50 of the global industry’s up-and-coming talent from all areas of the trade at a range of levels.

It will be open to those working in product development, design and distribution through to marketing, journalism, hospitality and everything in between.

The WSET and IWSC are calling on professionals across the industry to nominate themselves or impressive colleagues for the awards. Nominees must be under 40 years of age and can be working in any profession as long as they prove direct contribution to the industry.

The winners will be chosen by an illustrious panel of judges from around the world including Joe Fattorini (The Wine Show), Stephanie Macleod (Master Blender, Dewar’s), Christine Parkinson (Group Head of Wine, Hakkasan), Richard Paterson (Master Blender, Whyte & Mackay), Xavier Rousset MS (restaurateur), Ian Harris (CEO - WSET), and Allen Gibbons (CEO - IWSC).

The main judging panel will be supported by a global regional advisory panel covering 17 countries and including Debra Meiburg MW (Hong Kong), Ian Dai (China), James Tidwell MS (USA) and Pedro Ballesteros MS (Spain).

Judges will assess nominees based on their achievements in the drinks industry in the last three years in a range of areas including, but not limited to, career, academia, social responsibility and innovation.

The final ‘Future 50’ will be announced in November 2019 ahead of IWSC’s annual Awards Banquet. Nominations are open until March 14, 2019. Visit http://bit.ly/Future50Awards for more information.

Ian Harris, WSET Chief Executive, said: “Both WSET and IWSC have reputations as the international benchmark for excellence in our fields. As 2019 marks 50 years of success for each of our organisations, it offers the perfect opportunity to emphasise the importance of developing new talent through education and awards to secure an equally prosperous future for the industry. At WSET we are delighted to be looking to the future and showcasing the next generation of talent in the wines and spirits industry through our joint Future 50 project.""

IWSC Chief Executive, Allen Gibbons, said: “The IWSC and WSET are both founded in 50 years of heritage and unparalleled industry expertise, but the Future 50 is as much about looking ahead as it is about looking backwards. As we set our sights on the next 50 years, it’s important to identify and recognise the key players who are going to be setting the trends for decades to come.

""The Future 50 is our way of demonstrating support for those who will be driving forward the top quality standards that have been set across the industry – from brands, to products, to venues – and ensuring that the drinks world continues to innovate and advance.”
• Bancroft Wines to become exclusive UK agent for Barossa Valley's Glaetzer",WSET and IWSC join forces to launch The Future 50
Drinks Retailing News - Championing the Off-Trade since  1863.  Brought to you by Agile Media Ltd.,"11 February, 2019",http://cdn744.pressflex.net/images//18473.photo.2.jpg?m=1549885461,http://drinksretailingnews.co.uk/news/fullstory.php/aid/18473/SWA_wins_six-year_battle_with_German_Distillery.html,"The Scotch Whisky Association has won a long-running battle to stop a German Distillery from using the name Glen Buchenbach for its single malt whisky.

The brand, which is produced by the Waldhorn Distillery in Berglen, near Stuttgart, does flag up its German origins on the label.

Despite this, the SWA claimed the product could confuse consumers – specifically because of the inclusion of the word “Glen” in the branding - and “mislead them as to the true origin of the whisky”. In a dispute that started in 2013, the SWA claimed the word “Glen” could make consumers believe the product was produced in Scotland.

The court has now ruled that the German Whisky has breached the geographical indication (GI) of Scotch Whisky by using the word “Glen”.

The dispute started when the SWA took legal action through Hamburg’s regional court, which then asked the European Court of Justice (ECJ) to interpret the GI to help assess the use of the word “Glen” in this case.

The ECJ started that for the GI to have been breached the word “Glen” must make consumers think of Scotch whisky, as well as conjuring up images of Scotland. The decision was made this week by the Hamburg court, which ruled that the word on a German whisky could confuse and mislead consumers.

Alan Park, SWA’s Director of Legal Affairs, said: “The SWA has consistently taken action in our global markets to prevent the use of Scottish indicators of origin on whisky to prevent the use of Scottish indications of origin on whisky, which is not Scotch Whisky. This is vital to protecting Scotland’s national drink and is a deterrent to those who seek to take advantage of the quality reputation of Scotch Whisky and potentially mislead consumers.

“Courts across many jurisdictions have ruled that names, such as “Highland” and “Glen” and images, such as bagpipers, are so strongly associated with Scotland and Scotch Whisky that their use on whisky of another origin is misleading.

“Our case against Glen Buchenback presented clear and compelling evidence to the court that ‘Glen’ is strongly associated with Scotland and Scotch Whisky, and the only reason to use ‘Glen’ for a German whisky is because of its undoubted association with Scotch Whisky.

“We are pleased with the court’s decision that the use of Glen on a German whisky is misleading.”
• The London Distillery Co sets sights on expansion
• Austria offers elegance and value for buyers seeking quality in the mid-market price brackets",SWA wins six-year battle with German Distillery
Drinks Retailing News - Championing the Off-Trade since  1863.  Brought to you by Agile Media Ltd.,"11 February, 2019",http://cdn744.pressflex.net/images//18474.photo.2.jpg?m=1549886327,http://drinksretailingnews.co.uk/news/fullstory.php/aid/18474/Berkmann_Wine_Cellars_reveals_plans_to_stablise_pricing_ahead_of_Brexit_.html,"Berkmann Wine Cellars will reveal its new pricing strategy for 2019 and it has announced it plans to freeze prices until March 2020, to protect customers from “potential Brexit fall out”.

The importer will go live with new prices from March 18, 2019, which will be frozen until March 1, 2020.

This pricing policy excludes any additional tariffs in the event of a No Deal Brexit, or any changes to duty, which will be passed on.

Alongside this, Berkmann will offer business certainty through continuity of supply, ensuring there is enough stock on hand to cover its customers and prospective clients during Brexit, thus protecting their business during this period of uncertainty.

Charles Marshall, Commercial Director at Berkmann Wine Cellars said: “Much consideration has been given to maintaining continuity of pricing during this turbulent period to provide our loyal customers with commercial stability. We want to provide them with firm pricing across the key trading periods of Easter, summer and Christmas, so business plans can be made accordingly.”
• WSET and IWSC join forces to launch The Future 50
• Bancroft Wines to become exclusive UK agent for Barossa Valley's Glaetzer",Berkmann Wine Cellars reveals plans to stablise pricing ahead of Brexit 
Drinks Retailing News - Championing the Off-Trade since  1863.  Brought to you by Agile Media Ltd.,"12 February, 2019",http://cdn744.pressflex.net/images//18475.photo.2.jpg?m=1549966172,http://drinksretailingnews.co.uk/news/fullstory.php/aid/18475/Beefeater_Blood_Orange_to_tap_into_surging_demand_for_flavoured_gin.html,"Beefeater Blood Orange to tap into surging demand for flavoured gin

Beefeater is bidding to capitalise on the soaring popularity of flavoured gin by launching a new Blood Orange variant.

Gin remains the star performer in the UK drinks trade, with sales up 48% to £903 million in the past year (Nielsen).

Within this popular category, flavoured gin is leading the charge after growing sales by 457% in the past year. It is now a £253 million sub-category in its own right, accounting for more than a quarter of gin sales.

Some purists in the industry lament the advent of flavoured gin, claiming it moves the category away from its heartland and threatens its future health. But the new Beefeater Blood Orange actually takes inspiration from the orange gin distilled by its founder, James Burroughs, all the way back in 1876, when Queen Victoria was made Empress of India and George Eliot was writing Daniel Deronda, so it certainly ticks the heritage and provenance boxes that modern consumers appear to demand.

There is also no denying the success of flavoured gin, as brand owner Pernod Ricard highlighted Beefeater pink gin as the standout performer when it released its H1 results last week. It is growing so strongly that Pernod Ricard has taken the decision to scale back leading wine brands such as Jacob’s Creek and focus on gin, which offers everyone a considerably higher margin.

Pernod Ricard also owns Plymouth gin, which has released a Fruit Cup variant designed to take on Diageo’s Pimm’s brand, and it is keen to continue tapping into this growing market.

“Orange gin has swiftly become the second fastest growing gin flavour, after pink, yet the majority of orange gins currently on the market are only available at a super-premium price,” said Chris Ellis. Beefeater Blood Orange is designed to make the category more accessible to consumers. Ellis said the team was blown away by Beefeater Pink’s success, and it has high hopes for the newcomer.

Beefeater Blood Orange will be released exclusively in the UK and Ireland from next month with an rrp of £18.99. Pernod Ricard recommends serving it with tonic, or perhaps ginger ale, which could represent a cross-merchandising opportunity for retailers.",Beefeater Blood Orange to tap into surging demand for flavoured gin
Drinks Retailing News - Championing the Off-Trade since  1863.  Brought to you by Agile Media Ltd.,"12 February, 2019",http://cdn744.pressflex.net/images//18476.photo.2.jpg?m=1549969029,http://drinksretailingnews.co.uk/news/fullstory.php/aid/18476/UK_beer_growth_highest_for_45_years__96_BBPA.html,"The UK beer market is experienced its fastest growth for 45 years, according to the British Beer & Pub Association.



 Combined on- and off-trade sales rose 2.6% in 2018, with take-home leading the way with an annual sales increase of 4.7%. On-trade sales were up just 0.1%.



 After a slow start to the year, with sales down 1.7% in the first quarter, the World Cup and the hot summer drove rapid growth in Q2 and Q3.



 The BBPA said that the freeze on beer duty also helped sales increase in the fourth quarter.



 BBPA chief executive Brigid Simmonds said: “Considering the heavy cost burdens the industry faces, it’s great to see beer sales doing the best they have for some years.



 “A significant amount of the growth in beer sales in 2018 can be attributed to the England team’s performance at the World Cup and the good weather over the summer months.”",UK beer growth highest for 45 years – BBPA
Drinks Retailing News - Championing the Off-Trade since  1863.  Brought to you by Agile Media Ltd.,"13 February, 2019",http://cdn744.pressflex.net/images//18479.photo.2.jpg?m=1550051134,http://drinksretailingnews.co.uk/news/fullstory.php/aid/18479/Vegan_and_organic_to_take_centre_stage_at_Wines_from_Spain_s_2019_tasting.html,"Vegan and organic to take centre stage at Wines from Spain's 2019 tasting

Vegan wines and a focus on organic and sustainable winemaking will be highlighted at this year’s Wines from Spain annual tasting event.

The event, which takes place on March 7 at London’s Sky Garden, will feature a selection of around 1,000 wines from 300 varieties for visitors to explore, all under one roof.

This year’s event will focus on “some of the growing styles for the environmentally and health-conscious consumer”.

As part of this, there will be a self-pour tasting area dedicated to two themes: Going Green, which focuses on Spain’s organic and sustainable winemaking; and Vegan Wines, covering a selection of Spanish wines suitable for vegan consumers.

One of the mini-tutorials explores this theme further. The Spanish Wines, naturally tutorial, which takes place between 11am and 11.30am and also at 4pm to 4.30pm, will be hosted by Sarah Jane Evans MW, who will present five wines, highlighting recent developments in Spain, and showcasing the new styles of wine produced for today’s increasingly mindful consumer.

Marianne Rodriguez, assistant director at Wines from Spain, told DRN: “The energy and innovation found in Spanish wineries today is resulting in the ever increasing quality of Spanish wines across the board but also in the evolution of the country's production.

“Spain is one of the world's leaders in the production of organic wines. Our geography, climate and winemaking heritage are key factors which allow our grape growers and winemakers to explore or re-discover natural and low intervention practices.

“We are well placed to meet the demands of the increasingly conscious consumers and we are delighted to be able to showcase some of Spain's organic and biodynamic wines at the next Annual Tasting on March 7th as well as present a selection of vegan wines in our self-pour tastings.

“Sarah Jane Evans MW will also be exploring Spain's recent developments and Spain's ability to meet modern consumer expectations. She will cover key topics such as the emergence of natural or amphorae wines, lower abv wines, organic and biodynamic wines. Of course, our 59 exhibitors will have a lot of great examples of these wines on their tables, alongside new vintages and releases. They will also have plenty to say on recent developments.”

A second tutorial – Rueda Verdejo – Spain’s Exceptional White Wine - will take place at 12-12.30pm and again at 3-3.30pm. This event, which looks at the indigenous Verdejo grape, involves a tasting of different styles including young, barrel fermented, sur lie and old vine Verdejos.

To register for the event and to find out more information, visit: www.winesfromspainfair.london. The website also features blogs from Patricia Langton and Andrew Catchpole, and an exhibitors list.
• Bancroft Wines to become exclusive UK agent for Barossa Valley's Glaetzer",Vegan and organic to take centre stage at Wines from Spain's 2019 tasting
Drinks Retailing News - Championing the Off-Trade since  1863.  Brought to you by Agile Media Ltd.,"13 February, 2019",http://cdn744.pressflex.net/images//18482.photo.2.jpg?m=1550055022,http://drinksretailingnews.co.uk/news/fullstory.php/aid/18482/Popularity_of_pink_drinks_boosts_gin_and_ros_E9_sales.html,"The nation's love of pink drinks is driving sales of gin, rosé and ”instagrammable” cocktail liqueurs, according to the latest stats from the Wine and Spirit Trade Association.

Flavoured gin has driven more than half of all growth in gin sales recorded over the last 12 months, despite only making up one fifth of total sales, and almost three quarters of the flavoured gin sector’s growth has been driven by pink gin.

As a result, 2018 was a record year for gin sales with Brits buying 66 million bottles over the 12 months, up 41% on the same period the year before.

Other categories are also benefiting from the interest in pink drinks.

The WSTA’s latest figures show that UK consumers bought more than 100 million bottles of rosé in the off-trade last year, which is more than 2 million more bottles than in the previous year, with value growth of 5%.

Miles Beale chief executive of the WSTA, said: “Pink drinks are increasingly popular thanks to our innovative distillers and wine makers who are responding to consumer demands for quality drinks with a splash of colour.

“We have seen a massive increase in the choices of pink and flavoured gins, there are signs of a renewed fondness in rosé wines and liqueurs like Campari and Aperol mixed with sparkling wine have boosted Brits love of pink cocktails.”

Aldi, which saw huge success last year with its rosé sales, said it expects to sell 13 million bottles in 2019, enough to fill four Olympic swimming pools.

Julie Ashfield, managing director of buying at Aldi UK, said: “We usually see a rise in rosé sales as the weather gets warmer and we move into Spring, but recently we’ve started to see an increased demand for rosé all year round, thanks to drinkers who love to post about it on Instagram, and pair it with a variety of foods.

“To meet this rising demand, we’ve stocked our shelves already and are expecting an early rush on sales. Our new Beaujolais style will be joined by our biggest ever rosé collection this Easter, which we’re confident will be incredibly popular with our shoppers.”

In the cocktail category the popularity of herbal bitter liqueurs mixed with sparkling wine shows an interest in colourful “instagrammable” cocktails, the WSTA said.

During the 2018 heatwave Britons bought more than 4 million bottles of non-cream liqueur cocktails from the off-trade and sales rose by 56% on the same 12 weeks for the year before, which is the equivalent of an extra 1.4 million bottles.

Beale added: “The introduction of new products combined with a fantastic long hot summer has helped boost the pink category and Valentine’s Day will no doubt see another pink spike. There is no doubt that the pink category has benefited by consumers love for sharing vibrant, colourful drink trends on social media.”
• Gin sales in UK almost double that of 'Year of Gin' 2016
• Beefeater Blood Orange to tap into surging demand for flavoured gin",Popularity of pink drinks boosts gin and rosé sales
