abstract,date_published,image_link,link,text,title
"Alexandre Ricard has left little room for ambiguity regarding recent speculation that Pernod Ricard faced pressure to consider merging with another big group, stressing his firm will “remain a consolidator” in the industry.",12 February 2019,https://www.thespiritsbusiness.com/content/http://www.thespiritsbusiness.com/media/2017/09/Alexandre-Ricard-1.jpg,https://www.thespiritsbusiness.com/2019/02/pernod-ceo-shoots-down-merger-talk/,"Alexandre Ricard has left little room for ambiguity regarding recent speculation that Pernod Ricard faced pressure to consider merging with another big group, stressing his firm will “remain a consolidator” in the industry.

After Elliott Management Corporation announced it had built a stake of more than 2.5% in Pernod at the end of last year, reports claimed the New York-based hedge fund had recommended that the Absolut maker should explore the option of a merger.

However, at a media briefing in London this morning (12 February), group chairman and CEO Alexandre Ricard called the news “pure market speculation” and reaffirmed Pernod’s position as an industry “consolidator”.

He said: “[We] have been a consolidator in the industry and I hope that it will be no surprise as I reiterate very clearly and specifically: Pernod Ricard is here, Pernod Ricard is here to stay, and Pernod Ricard is and will remain a consolidator.”

Pernod Ricard was formed in 1975 with the merger of pastis makers Pernod and Ricard. Since then the business has grown to become the world’s second largest spirits firm with a market cap of €40 billion, aided through transformative acquisitions including Absolut vodka, Irish Distillers and Allied Domecq.

Elliott, run by Wall Street billionaire Paul Singer, has called for improvements to Pernod’s margins and governance, which it claimed needed more outside influence. The founding family of Pernod Ricard remains its largest shareholder with a 14.2% stake and the biggest board room presence.

Hedge fund Elliott has a reputation for aggressive lobbying of company boards, but Ricard described ongoing talks as “cordial and constructive”.

“We have always said we are open to dialogue with our shareholders generally speaking, and Elliott being one of our shareholders, we continue to be open to dialogue with them,” he said.

“The fact that we can improve operating margin is not a secret – actually it’s at the core of our three-year strategic plan, which we designed alongside our teams a year ago. We are in the first year of that plan and [are] already seeing operating margin pull through.

“The fact that governance can be improved is an endless process. Governance will endlessly evolve today as it has over the last few years, and you should expect to see this continue.”

At the same time as announcing its latest H1 results last week, Pernod revealed its ‘Transform & Accelerate’ plan, a three-year programme that aims to improve operational leverage. Soon after, Elliott issued a statement claiming the strategy set “modest goals” and lacked “specificity and clarity”.

In January, Pernod named former Christie’s CEO Patricia Barbizet as its lead independent director, at the same time as the group’s ex-CEO Pierre Pringuet took a step back.

Ricard said his firm approaches corporate governance with a view of “endless improvement” and “constant evolution” since “static organisations tend to die”.

He continued: “Having outside information and perspective on yourself is always interesting and is always enriching. It doesn’t mean you have to be okay with everything, it doesn’t mean you have to agree with everything.

“But I do like debate and I like to listen: it is always an enrichment.”",Pernod CEO shoots down merger talk
"Retaliatory tariffs curtailed American whiskey exports in 2018, according to the Distilled Spirits Council, which has called for a swift resolution to the “harmful” taxes.",13 February 2019,https://www.thespiritsbusiness.com/content/http://www.thespiritsbusiness.com/media/2019/02/Big-story-American-flag-US-goverment-shutdown.jpg,https://www.thespiritsbusiness.com/2019/02/harmful-tariffs-curtail-american-whiskey-exports/,"Retaliatory tariffs curtailed American whiskey exports in 2018, according to the Distilled Spirits Council, which has called for a swift resolution to the “harmful” taxes.

Trade body the Distilled Spirits Council said during its annual economic briefing that retaliatory tariffs, sparked by US president Donald Trump’s 10% and 25% tariffs on aluminium and steel respectively, have had a “negative impact” on American whiskey exports – particularly to the EU.

American whiskey exports to the EU were buoyant during the first half of 2018, growing at 33%. However, exports dropped by 8.7% after retaliatory tariffs were put in place, compared to the same July-November period in 2017.

Globally, during the first six months of 2018, American whiskey exports were growing at 28% (US$595 million). Following the introduction of retaliatory tariffs, value exports declined by 8.2% to US$526m between July and November, compared to the same period in 2017.

Chris Swonger, Distilled Spirits Council president and CEO, said: “We strongly encourage the administration and our trading partners in the EU, Canada and Mexico to quickly resolve these harmful tariffs that are undercutting economic growth in this sector and adversely affecting American workers.”

Overall, spirits sales in the US delivered record results for the ninth consecutive year in 2018. Supplier sales grew by US$1.3 billion (5.1%) to reach US$27.5bn last year, while volume rose 2.2% to 231m cases – a 5m increase on the previous year.

“These robust results show adult consumers are continuing to favour spirits over beer and wine, particularly among millennials,” said Swonger.

“The spirits sector is benefiting from millennials who demand diverse and authentic experiences, and desire innovative and higher-end products.”

Looking across the majority of spirit categories, the strongest growth came from the high-end premium and super-premium products, with revenue for these price points up 8.9% and 10.5% respectively. Volume was up 8% and 7.5% respectively.

American whiskey was noted to be a “key driver”, up 6.6% to US$3.6bn; Tequila rose 10.2% to US$3bn; Cognac grew 14.2% to US$1.8bn; and Irish whiskey increased 12% to US$1bn.

Single malt Scotch also returned to growth, increasing 9.4% to US$843m. Super-premium gin grew 15.6%, and super-premium rum rose 28.5%.

Vodka, which accounts for a third of all volume, saw volume sales rise by 1.6%, while value grew 2.9% to US$6.4bn.

David Ozgo, Distilled Spirits Council chief economist, said: “Growth was concentrated in the higher priced categories, allowing the industry to enjoy significant revenue growth while also picking up drinking occasions from other beverages.

“The continued excitement surrounding super-premium American whiskeys is creating a halo effect for the entire whiskey category.”",‘Harmful’ tariffs curtail American whiskey exports
Industry watchdog the Portman Group has upheld a complaint against Three Pugs Bubblegum Gin Liqueur that argued the product would appeal to children due to its cartoon label.,8 February 2019,https://www.thespiritsbusiness.com/content/http://www.thespiritsbusiness.com/media/2019/02/Three-Pugs-Gin-Liqueur-280x280.jpg,https://www.thespiritsbusiness.com/2019/02/three-pugs-gin-liqueur-rapped-for-appealing-to-children/,"Industry watchdog the Portman Group has upheld a complaint against Three Pugs Bubblegum Gin Liqueur that argued the product would appeal to children due to its cartoon label.

The Portman Group’s independent complaints panel upheld the complaint under code rule 3.2(h), which states a drink, its packaging and any promotional material should not in any direct or indirect way have a particular appeal to under-18s.

A member of the public believed that “the pink liquid and label with the cartoon pictures of the pugs on is too appealing to children”.

The Portman Group took action in lieu of the member of the public. The complaints panel took the overall packaging into account and concluded the use of “pugalicious” as a description of the bubblegum flavour on the label, along with the fact the product was pink, were not problematic on their own.

However, combined with the cartoon pug illustration, which depicted the dogs in a hot air balloon overlooking a “Willy Wonka-like sweet land” across a pink liquid, the panel said the gin liqueur “was likely to have a particular appeal to under-18s”.

A spokesperson for the Portman Group said: “This decision once again highlights that producers should steer clear of references and imagery related to childhood and childhood memories.

“They should think carefully about what is conveyed by the overall impression of the product and speak to our advisory service if in any doubt.”

During the complaints process, Silverback Distillers, which makes Three Pugs Gin, explained to the panel that it had sought advice from the Wine and Spirits Trade Association (WSTA), Trading Standards and Business Growth Hub, and consulted various distributors and specialist retail outlets when designing the label.

The company highlighted it had ensured the words ‘gin liqueur’ were displayed prominently on the front of the bottle to stress it was aimed at adults.

Silverback Distillers also argued that the picture of the pugs on the front of the bottle was not a cartoon, but a caricature of the owner’s three pet pugs and “represented their true likeness without any embellishment to ensure that they did not appeal to under-18s”.

Furthermore, the bubblegum bubbles on the front of the bottle were “relevant to the flavour” of the liquid, which was also stated on the front of the label as required by EU law.

It also said the product was priced “relatively high” and therefore unaffordable to under-18s. The company also said it was currently “not willing” to commit to any labelling changes due to the uncertainty of Brexit, which could result in changes to labelling laws next year.

Following the ruling, Three Pugs Gin has agreed to edit its label by 1 June 2019, and has said it is “fully supportive” of the Portman Group’s code.

Christine Ditchfield, director of Three Pugs Gin, said: “We had taken advice from many independent organisations prior to printing this label and had spent a considerable amount of time and resource and money to obtain certification to ensure we met EU regulations with regard to our label.

“When we received the complaint from the Portman Group we had in-depth conversations with them. Based on the independent panel’s decision, we are working to make relevant changes to the label for this product and have agreed with the Portman Group that this will be achieved no later than 1st June 2019.

“With this in mind, we would like to state that we are fully supportive of the Portman Group guidelines to ensure alcoholic products do not appeal to under-18s.

“We are passionate about what we do and feel that the industry as a whole, particularly craft distillers, need to be made aware sooner rather than later of the existence of the Portman Group and guidelines.”

A copy of the Portman Group’s Code of Practice on Naming, Packaging and Promotion of Alcoholic Drinks can be downloaded from the Portman Group’s website.

The trade body also offers free and confidential advice to alcohol producers, which can be accessed by contacting advice@portmangroup.org.uk.",Three Pugs Gin Liqueur rapped for appealing to children
Research published by two leading British and German universities has debunked the myth “beer before wine and you’ll feel fine; wine before beer and you’ll feel queer”.,8 February 2019,https://www.thespiritsbusiness.com/content/http://www.thespiritsbusiness.com/media/2018/10/Cocktail-Drinking.jpg,https://www.thespiritsbusiness.com/2019/02/order-in-which-alcohol-is-consumed-has-no-effect-on-hangovers/,"Research published by two leading British and German universities has debunked the myth “beer before wine and you’ll feel fine; wine before beer and you’ll feel queer”.

The research, carried out by the University of Cambridge and Witten/Herdecke University in Germany, aimed to discover how the order in which alcoholic drinks are consumed can affect the next morning’s hangover.

To test this, 90 volunteers aged between 19- and 40-years-old were recruited and split into three groups. The first group consumed two and a half pints of beer followed by four large glasses of wine. The second group consumed the same amount of alcohol, but in reverse order. Subjects in the third control group consumed either only beer or only wine.

A week later, participants in the first and second study groups were switched to the opposite drinking order. Control group subjects who drank only beer the first time around received only wine on the second study day, and vice versa.

After each day of drinking, participants were asked about their hangover and gave a score for how they felt from 0-56, based on factors including thirst, fatigue, headache, dizziness, nausea, stomach ache, increased heart rate and loss of appetite.

The research, published in the American Journal of Clinical Nutrition, found that none of the three groups had a significantly different hangover score with different orders of alcoholic drinks. It also found that women tended to have slightly worse hangovers than men.

“Using white wine and lager beer, we didn’t find any truth in the idea that drinking beer before wine gives you a milder hangover than the other way around,” said first author Jöran Köchling from Witten/Herdecke University.

Hangover symptoms occur when higher-than-normal blood alcohol concentrations drop back to zero. Hangovers are likely to be influenced by ingredients other than pure alcohol, such as colourings and flavourings, it is therefore suggested that dark spirits such as rum and Bourbon may cause a more severe hangover than vodka.

Dr Kai Hensel, a senior clinical fellow at the University of Cambridge and senior author of the study, said: “Unpleasant as hangovers are, we should remember that they do have one important benefit, at least: they are a protective warning sign that will certainly have aided humans over the ages to change their future behaviour. In other words, they can help us learn from our mistakes.”",Order in which alcohol is consumed has no effect on hangovers
"Staggering statistics and shocking stories have depicted the disturbing frequency of harassment in the hospitality industry. While movements and initiatives have started to bring the issue to the fore, there is still more to be done to combat abuse.",8 February 2019,https://www.thespiritsbusiness.com/content/http://www.thespiritsbusiness.com/media/2018/04/vodka-people.jpg,https://www.thespiritsbusiness.com/2019/02/sb-voices-the-dark-side-of-hospitality/,"Staggering statistics and shocking stories have depicted the disturbing frequency of harassment in the hospitality industry. While movements and initiatives have started to bring the issue to the fore, there is still more to be done to combat abuse.

If you work in the hospitality industry you may be no stranger to stories of being overworked, unfair pay, drug use, bullying, violence and sexual harassment in bars, pubs and restaurants.

The prevalence of sexual harassment in our culture today is shocking. There have been plenty of studies in the last couple of years that have shown the unrivalled amount of harassment in the on-trade. Preliminary findings of the Not on the Menu survey by Unite in January 2018 showed that nine out 10 hospitality staff have experienced sexual harassment at work.

Of those who reported that they were sexually harassed at work, more than half said the perpetrators were members of the public and another 22% said they were harassed at the hands of a manager.

In the workplace, harassment can happen between two employees, but also between a customer and employee.

As the face of the venue, bartenders and front-of-house staff are depended upon to provide a welcoming and friendly service, which can all too easily be misconstrued by patrons, who then exhibit unwanted attention and inappropriate behaviour.

Just yesterday, I wrote about a new initiative from journalist Victoria Stewart and public relations officer Hannah Norris that seeks to address “toxic behaviour” in the hospitality industry, called Hospitality Speaks.

Launching at the end of March, the non-for-profit platform will create a “safe online space” for hospitality workers to share their stories of bullying, harassment and discrimination, anonymously.

The aim is to improve working conditions in the hospitality industry by engaging with employers and workers to identify abusive behaviours and practices, champion employers who are pioneers in staff welfare, and establish an industry standard for behaviour and ethics.

Around the world, game-changing movements including Time’s Up and #MeToo have helped to instigate a wave of reaction throughout numerous industries, including hospitality.

The #NotTheJob campaign was launched in October 2018 by Birmingham Yardley MP Jess Philips, calling for “zero tolerance of sexual harassment” in the workplace. Philips asked followers on social media to share their experiences of harassment while working as service staff across all industries, but it was those working in pubs and bars who were the most vocal.

The UK government also recently announced a package of commitments to tackle sexual harassment in the workplace, which will include the introduction of a statutory code of practice on sexual harassment.

Another prominent example in the UK is the Ask for Angela campaign, which aims to prevent violence and anti-social behaviour and to empower victims to make a decision on whether to report incidents. The campaign encourages visitors in bars, restaurants and cafes to ask for ‘Angela’, a code word to notify staff that they are in an uncomfortable situation and need to safely leave the premises.

Meanwhile, education and training have also been critical to addressing and preventing threatening situations. Washington DC-based firm Safe Bars, which launched in 2016, holds two-hour bystander-intervention training for bar staff with the goal of creating a safer and more welcoming nightlife culture.

Last year also saw annual New Orleans festival Tales of the Cocktail take a stand for sexual abuse and partner with Sexual Trauma Awareness and Response (STAR), a Louisiana non-profit organisation that provides support and education for those affected by sexual trauma. The festival also provided a 24-­hour hotline to report sexual violence and held a seminar on the issue.

Undoubtedly there is a great amount of work left for the bar industry to do in order to stamp out harassment. But it’s taking these small steps towards open discussion that can lead to a safer and more positive working environment. We need more education, open dialogues and a strict code of conduct in the industry if we’re going to make a change for the better.",SB Voices: The dark side of hospitality
"Activist investor Elliott Management has maintained its tough stance with Pernod Ricard, stating the group’s financial objectives “could be more ambitious”.",8 February 2019,https://www.thespiritsbusiness.com/content/http://www.thespiritsbusiness.com/media/2018/10/Pernod-Ricard.jpg,https://www.thespiritsbusiness.com/2019/02/investor-accuses-pernod-ricard-of-setting-modest-goals/,"Activist investor Elliott Management has maintained its tough stance with Pernod Ricard, stating the group’s financial objectives “could be more ambitious”.

Elliott revealed it had built a stake of more than 2.5% in the French drinks giant at the end of last year, and called for better governance and margins.

Yesterday (7 February) Pernod announced that it had increased its organic profit forecast for FY19 to between +6% and +8% following a 7.8% organic sales growth in H1 to €5.18 billion (US$5.87bn) and an organic profit gain of 12.8% to €1.7bn (US$1.9bn).

The firm also said the first semester of its new ‘Transform & Accelerate’ plan, a three-year programme that aims to improve operational leverage, had been “very strong”. Under the plan, Pernod is working to save €100m (US$113m) by the end of its 2021 fiscal year.

Elliott said Pernod’s H1 results “confirmed the strong growth potential and solid financial performance” of the company, and showed it had taken a “first small step” to address its “shortcomings in operational efficiency”.

However, Elliott called for greater ambition in the group’s strategy, which it claimed set “modest goals” and lacked “specificity and clarity”.

The American hedge fund also said “necessary enhancements” to Pernod’s board of directors “have yet to be addressed”. Elliott had previously accused Pernod of “inadequate” corporate governance due to a “lack of outside perspectives”.

At the end of last month, Pernod named former Christie’s CEO Patricia Barbizet as its lead independent director, as the same time as the firm’s former CEO, Pierre Pringuet, stepped down from his role as vice-chairman of the board of directors.

Elliott’s statement continued: “Elliott trusts that Pernod’s management will continue to engage in a mutually constructive dialogue to deliver much needed additional improvements while capturing the strong growth of the company’s underlying markets.”

While Pernod is establishing change, CEO Alexandre Ricard previously insisted the group’s strategy for growth “is the right one”.

In response to Elliott’s latest criticism, Pernod Ricard said in a statement: “Our results announced yesterday prove once again the effectiveness of our strategy and its ability to deliver sustainable and profitable growth for all our stakeholders. We remain focused on executing our three-year Transform & Accelerate strategic plan.

“We continue our regular dialogue with our shareholders and have no other comments to make at this stage.”

The founding family of Pernod Ricard remains its largest shareholder with a 14.2% stake. Belgian investment firm Groupe Bruxelles Lambert owns a 7.5% stake in the group.",Investor accuses Pernod Ricard of setting ‘modest goals’
"The low- and no-alcohol ‘spirits’ category is expected to grow 81.1% between 2018 and 2022 in the UK, however the booze-free sector is “poorly served with few clear category leaders”, according to the IWSR.",8 February 2019,https://www.thespiritsbusiness.com/content/http://www.thespiritsbusiness.com/media/2018/11/No-alcohol-Portman-Group.jpg,https://www.thespiritsbusiness.com/2019/02/low-and-no-alcohol-category-poorly-served/,"The low- and no-alcohol ‘spirits’ category is expected to grow 81.1% between 2018 and 2022 in the UK, however the booze-free sector is “poorly served with few clear category leaders”, according to the IWSR.

In the IWSR Global Opportunities in Low- and No-Alcohol report, the Dry January movement is described as “the start of a wider health and wellness trend that is gaining traction across the world, providing new opportunities for the global beverage alcohol industry”.

The study assessed market sizing by volume, key players in the industry, the on-trade, product innovation and consumer trends.

“The Dry January movement isn’t new, but one of the reasons we’ve heard so much more about it this year is the broader trend that points to consumers’ increased interest in physical and mental health,” said Mark Meek, IWSR CEO.

“And that’s creating an interesting shift in consumer preference for low- and no-alcohol beverages, outside of soft drinks.

“For leading producers of beverage alcohol, this obviously presents considerable opportunity to develop new products, claim their share of the category and ultimately grow revenue.”

While the category is predicted to “grow significantly”, the IWSR claims the current marketplace “is still small in most parts of the world”.

In the UK, low- and no-alcohol brands represent 1.3% of the country’s total alcohol market, while in the US the category represents only 0.5%.

In the on-trade, most venues surveyed offered non-alcoholic beer, but zero-alcohol wine “was notably absent”.

The off-trade offers “significantly more” low- and no-alcohol products than bars and restaurants.

Looking at the US market, 52% of consumers surveyed said they were trying to reduce their alcohol intake, while more than 70% said they had not considered drinking low- or no-alcohol offerings.

Ready-to-drink (RTD) products are expected to lead the low- and no-alcohol sector in the US, forecast to increase by 38% CAGR between 2018 to 2022. Wine will follow at 17.7%, then spirits at 7.1%, with beer predicted to grow by 5.6%.

In the UK, spirits are expected to lead the growth of the low- and no-booze sector (81.1%), followed by RTDs (44.3%), cider (13%), wine (6.6%) and beer (4.9%).

According to the IWSR, 65% of the UK’s heaviest drinkers (25- to 34-year-olds) are trying, or have tried, to cut back on their alcohol intake.

The IWSR also noted that Spain is one of Europe’s largest and most well established markets for low- and no-alcohol, led by beer and mixed drinks. The country’s low- and no-alcohol sector is expected to grow by 36.8% CAGR between 2018 and 2022, with wine growing by 19.8% and beer by 6.7%.

In Australia, non-alcoholic beer represents the largest share of the low- and no-alcohol market in Australia but is expected to decline by 0.1% (CAGR 2018-2022). The low- and no-alcohol ‘spirits’ category is predicted to grow 28.6%.

The German market for low- and no-booze is showing growth with 60% of drinkers stating they have, or would consider consuming products in the category.

The sector is forecast to be led by spirits, which are expected to grow by 14.4% in Germany by 2022. This is followed by RTDs (13.3%), cider (11.4%), wine (4%) and beer (1.6%).

A number of leading drinks producers have launched low-alcohol versions of their existing brands, while others have joined the alcohol-free ‘spirits’ category.

To explore the issue of education and transparency in alcohol-free ‘spirits’, see SB’s recent in-depth feature on the topic.

As the low- and no-alcohol trend continues its unstoppable rise, we rounded up the latest zero-alcohol ‘spirits’ offering an alternative to booze.",Low- and no-alcohol category ‘poorly served’
A court has ruled that a German whisky has breached the geographical indication (GI) of Scotch whisky by using the word ‘Glen’ in its name.,8 February 2019,https://www.thespiritsbusiness.com/content/http://www.thespiritsbusiness.com/media/2018/12/Scotch-whisky-WSR.jpg,https://www.thespiritsbusiness.com/2019/02/german-whiskys-use-of-glen-deemed-misleading/,"A court has ruled that a German whisky has breached the geographical indication (GI) of Scotch whisky by using the word ‘Glen’ in its name.

German single malt whisky brand Glen Buchenbach is made by a distillery in Berglen and states it is a German product on its label.

However, the Scotch Whisky Association (SWA) argued the product could confuse consumers and “mislead them as to the true origin of the whisky” due to the Scottish connotation of the word ‘Glen’.

In June 2018, the SWA took legal action against Glen Buchenbach through Hamburg’s regional court, which asked the European Court of Justice (ECJ) to “interpret” the GI.

While the ECJ did not rule on the case, it did offer guidance to assess whether the German distiller had breached EU laws on protected GI statuses.

The ECJ stated that for the GI to have been breached, the word ‘Glen’ must conjure more than associations with Scotland – it must make consumers think of Scotch whisky specifically.

Furthermore, the ECJ ruled that Germany’s national court should decide “whether an average European consumer thinks directly of the protected geographical indication ‘Scotch whisky’ when he is confronted with a comparable product bearing the designation ‘Glen’”.

The decision was made this week by the Hamburg court that the use of the word ‘Glen’ on a German whisky could be misleading for consumers.

Alan Park, SWA director of legal affairs, said: “The SWA has consistently taken action in our global markets to prevent the use of Scottish indications of origin on whisky which is not Scotch whisky.

“This is vital to protecting Scotland’s national drink and is a deterrent to those who seek to take advantage of the quality reputation of Scotch whisky and potentially mislead consumers.

“Courts across many jurisdictions have ruled that names, such as ‘Highland’ and ‘Glen’, and images, such as bagpipers, are so strongly associated with Scotland and Scotch whisky that their use on whisky of another origin is misleading.

“Our case against Glen Buchenbach presented clear and compelling evidence to the court that ‘Glen’ is strongly associated with Scotland and Scotch whisky, and the only reason to use ‘Glen’ for a German whisky is because of its undoubted association with Scotch whisky.

“We are pleased with the court’s decision that the use of Glen on a German whisky is misleading.”",German whisky’s use of ‘Glen’ deemed ‘misleading’
"More than 100,000 bottles of rare single malt Scotch were sold in UK auctions last year – a record high that demonstrates growing interest in whisky investments.",8 February 2019,https://www.thespiritsbusiness.com/content/http://www.thespiritsbusiness.com/media/2017/07/Bowmore-1957-54-year-old.jpg,https://www.thespiritsbusiness.com/2019/02/record-sales-for-scotch-at-uk-auctions-in-2018/,"More than 100,000 bottles of rare single malt Scotch were sold in UK auctions last year – a record high that demonstrates growing interest in whisky investments.

According to figures released by consultancy and brokerage Rare Whisky 101 (RW101), the volume and value of rare Scotch sold through UK auction houses reached record figures.

In total, 107,890 bottles of single malt Scotch were sold at auction in the UK in 2018, a 29% increase on 2017. The value of bottles sold rose by 63% to £40.7 million (US$52.7m).

The average bottle price rose 26% to a record £377.91 (US$490), while the number of bottles that fetched £10,000 (US$13,000) or more increased by a massive 191% to 265.

In November last year, the only bottle of 1926 Macallan featuring a hand-painted design by Irish artist Michael Dillon became the world’s most expensive whisky after fetching £1.2m at Christie’s in London. It is the only standard-sized bottle of whisky to sell for more than £1m (US$1.3m) to date.

RW101’s index for rare whisky, called the Apex Index, which tracks the best performing 1,000 bottles of rare whisky, was up 30% by the end of 2018, outperforming commodities such as fine wine and gold.

Bowmore became the number one distillery in RW101’s ranking of the most investible whiskies, knocking Macallan off the top spot.

According to David Robertson, co-founder of RW101, demand for rare whiskies will remain strong, but Brexit may hamper access to bottles.

“While demand for rare and vintage whisky shows no signs of slowing, the fundamentals of investing in the rare whisky market remains strong,” he said.

“The UK auction market remains the biggest and most active market worldwide, and there’s nothing to suggest that will change. As consumption continues to increase, driven by connoisseurs, collectors and investors, the stocks of rare whisky will continue to diminish, creating the ideal conditions for escalating hammer prices.

“However, with the uncertainty of Brexit hanging over us, it is extremely difficult to second guess what will happen with cross border trade and access to bottles. From both a volume and value perspective, 2019 is very difficult to predict.”",Record sales for Scotch at UK auctions in 2018
"Best-selling drinks author Fred Minnick has released a new series on Amazon Prime featuring talks with key Bourbon personalities and famous fans, including the late WhistlePig master distiller Dave Pickerell.",11 February 2019,https://www.thespiritsbusiness.com/content/http://www.thespiritsbusiness.com/media/2019/02/BourbonUp-Fred-Minnick.jpg,https://www.thespiritsbusiness.com/2019/02/fred-minnick-creates-new-amazon-prime-series/,"Best-selling drinks author Fred Minnick has released a new series on Amazon Prime featuring talks with key Bourbon personalities and famous fans, including the late WhistlePig master distiller Dave Pickerell.

Produced by Minnick’s Bourbon+ Magazine film division, the Bourbon Up series launched in December and will release a new episode every month.

Series one includes celebrity chef Aarón Sánchez, Jim Beam master distiller Fred Noe, Jack Daniel’s master distiller Jeff Arnett, and the Lovell sisters from rock band Larkin Poe, among others.

The latest episode in the series features the final on-camera interview with Dave Pickerell, the celebrated late master distiller of WhistlePig who died suddenly on 1 November 2018 at the age of 62, just a month after the film was shot.

In the episode, Pickerell discusses his legacy, how he deals with critics and what they do with pigs at the WhistlePig farm. The 20-minute interview is streaming exclusively on Amazon Prime in the US and UK.

Minnick said: “Dave Pickerell was an incredible distiller. He consulted on more than 100 whiskey distilleries and served as master distiller for Maker’s Mark, Hillrock and WhistlePig. I cannot believe he’s gone, but I hope this interview gives us one more memory of the talented man.”

Fred Minnick is also author of Whiskey Women, Bourbon Curious, Rum Curious, MEAD and Bourbon: The Rise, Fall & Rebirth of An American Whiskey.",Fred Minnick creates new Amazon Prime series
